Date,Temperature,Wind speed,Clear sky GHI
2022-01-01,308.77,2.51,1132.335
2022-01-02,309.0,4.9,1141.4005
2022-01-03,308.23,5.81,1144.6432
2022-01-04,306.02,5.59,1136.2111
2022-01-05,302.84,5.23,1162.5614
2022-01-06,300.96,5.0,1173.4298
2022-01-07,300.63,4.05,1170.681
2022-01-08,301.7,3.2,1172.5762
2022-01-09,304.78,2.78,1159.0253
2022-01-10,307.42,3.34,1161.903
2022-01-11,307.85,5.26,1146.1957
2022-01-12,308.84,5.44,1124.791
2022-01-13,307.46,2.57,1129.6837
2022-01-14,308.53,1.72,1148.688
2022-01-15,308.7,3.49,1108.9235
2022-01-16,302.37,0.71,1077.3329
2022-01-17,301.86,3.97,1077.5332
2022-01-18,303.53,1.55,1062.8195
2022-01-19,302.79,4.89,1022.05
2022-01-20,306.03,3.72,997.9961
2022-01-21,302.34,2.79,986.371
2022-01-22,302.27,3.17,1078.6295
2022-01-23,303.32,1.46,1099.38
2022-01-24,305.17,1.46,1108.1144
2022-01-25,305.11,3.31,1090.2455
2022-01-26,304.2,2.49,1078.2192
2022-01-27,306.05,3.47,1068.4537
2022-01-28,305.07,5.92,1056.2839
2022-01-29,301.37,6.28,1059.6267
2022-01-30,302.41,4.86,1055.207
2022-01-31,299.69,4.96,1050.4889
2022-02-01,299.52,2.74,1042.2498
2022-02-02,294.66,6.92,1048.6401
2022-02-03,294.86,5.65,1099.0466
2022-02-04,295.93,4.89,1137.5045
2022-02-05,296.94,3.46,1130.2354
2022-02-06,299.56,2.1,1113.5956
2022-02-07,301.69,0.54,1107.387
2022-02-08,303.82,1.66,1077.7383
2022-02-09,300.77,3.36,1065.6252
2022-02-10,300.4,4.32,1096.275
2022-02-11,299.89,4.89,1101.457
2022-02-12,300.01,3.27,1106.9762
2022-02-13,301.5,3.03,1092.3466
2022-02-14,305.66,2.66,1043.8646
2022-02-15,304.23,2.9,1038.0776
2022-02-16,303.46,3.19,1051.4751
2022-02-17,302.1,5.6,1043.5418
2022-02-18,298.41,5.15,1070.2938
2022-02-19,298.7,3.0,1068.0597
2022-02-20,299.65,3.98,1073.736
2022-02-21,298.34,3.36,1050.0491
2022-02-22,299.02,2.55,1045.6992
2022-02-23,300.22,3.31,1043.7087
2022-02-24,301.7,4.61,1024.563
2022-02-25,302.84,5.01,1024.6238
2022-02-26,303.86,4.55,1005.7706
2022-02-27,303.87,3.19,989.8162
2022-02-28,304.63,2.73,997.4618
2022-03-01,304.4,1.97,998.0022
2022-03-02,304.55,2.33,987.2693
2022-03-03,304.52,3.17,990.351
2022-03-04,304.67,5.59,984.384
2022-03-05,301.21,5.34,965.2889
2022-03-06,300.3,3.8,977.412
2022-03-07,300.15,5.38,980.3423
2022-03-08,297.95,5.28,997.2907
2022-03-09,298.32,4.22,992.681
2022-03-10,298.16,3.83,990.7943
2022-03-11,298.39,3.57,979.4518
2022-03-12,299.78,3.17,974.1039
2022-03-13,301.6,1.97,951.6622
2022-03-14,303.04,2.53,946.1436
2022-03-15,303.76,2.0,937.7786
2022-03-16,305.96,2.07,938.0062
2022-03-17,305.22,3.71,930.64
2022-03-18,304.87,2.82,911.0947
2022-03-19,304.25,3.93,911.9932
2022-03-20,302.89,4.87,913.1685
2022-03-21,302.71,2.93,909.1796
2022-03-22,303.2,2.32,917.6165
2022-03-23,302.55,4.37,893.7133
2022-03-24,301.19,5.23,874.0939
2022-03-25,297.59,4.76,868.0217
2022-03-26,296.47,3.31,894.3539
2022-03-27,297.2,2.57,912.7598
2022-03-28,298.75,3.05,886.936
2022-03-29,299.79,3.19,852.7609
2022-03-30,298.85,5.22,847.1849
2022-03-31,295.52,5.58,857.4985
2022-04-01,293.89,4.21,880.5052
2022-04-02,294.22,3.32,842.3539
2022-04-03,294.07,1.95,863.5594
2022-04-04,296.24,2.01,875.365
2022-04-05,298.67,1.26,850.795
