Date,Temperature,Wind speed,Clear sky GHI
2022-01-01,268.63,4.64,288.9489
2022-01-02,268.04,1.34,305.2808
2022-01-03,269.49,3.17,303.3387
2022-01-04,268.7,1.13,287.2503
2022-01-05,269.54,1.54,270.5632
2022-01-06,270.49,0.82,302.418
2022-01-07,271.03,1.8,205.0167
2022-01-08,273.47,2.23,339.0267
2022-01-09,270.35,0.92,248.7859
2022-01-10,266.2,4.22,372.0666
2022-01-11,266.13,1.08,317.6841
2022-01-12,266.11,4.39,344.277
2022-01-13,268.22,2.39,360.6642
2022-01-14,268.61,0.32,268.3386
2022-01-15,267.06,4.81,370.7333
2022-01-16,266.77,0.7,326.4972
2022-01-17,268.86,1.4,370.5392
2022-01-18,268.7,1.86,312.5904
2022-01-19,266.2,2.23,286.959
2022-01-20,266.45,2.14,310.9632
2022-01-21,268.55,2.05,306.7349
2022-01-22,267.82,1.15,322.7482
2022-01-23,269.33,0.71,291.6229
2022-01-24,269.9,0.94,302.5755
2022-01-25,269.65,4.16,374.0283
2022-01-26,268.5,2.59,401.5119
2022-01-27,267.45,2.95,399.2345
2022-01-28,267.95,2.29,413.8266
2022-01-29,269.14,0.6,404.9826
2022-01-30,269.98,1.33,281.1048
2022-01-31,267.14,6.0,447.4044
2022-02-01,267.11,2.48,440.0005
2022-02-02,268.24,2.53,430.8052
2022-02-03,267.02,3.92,445.0677
2022-02-04,265.71,4.63,494.5354
2022-02-05,268.22,4.12,480.7666
2022-02-06,270.03,2.55,473.8764
2022-02-07,269.9,1.38,471.0501
2022-02-08,272.27,1.17,466.4653
2022-02-09,274.09,0.82,326.8656
2022-02-10,274.12,1.85,419.0816
2022-02-11,273.41,1.89,450.4781
2022-02-12,270.68,2.64,351.024
2022-02-13,265.5,1.62,429.0498
2022-02-14,264.99,3.58,544.5195
2022-02-15,264.02,1.29,479.7358
2022-02-16,265.58,2.28,523.0393
2022-02-17,266.81,2.46,431.4307
2022-02-18,268.24,4.32,475.6184
2022-02-19,266.46,4.1,554.7184
2022-02-20,268.37,3.45,510.8645
2022-02-21,268.32,4.5,542.8695
2022-02-22,268.98,2.98,591.8781
2022-02-23,271.24,1.44,541.0545
2022-02-24,274.51,1.48,533.7404
2022-02-25,275.83,2.23,480.632
2022-02-26,276.09,3.27,604.5803
2022-02-27,278.07,1.1,540.1957
2022-02-28,276.61,4.03,444.7632
2022-03-01,275.66,3.7,627.8787
2022-03-02,277.51,2.39,606.0478
2022-03-03,276.38,0.42,566.5478
2022-03-04,274.7,7.2,663.6227
2022-03-05,274.29,2.72,667.9061
2022-03-06,276.01,1.69,547.832
2022-03-07,279.39,0.37,653.1931
2022-03-08,279.7,1.91,561.3898
2022-03-09,280.98,0.69,495.7948
2022-03-10,282.19,2.71,501.9491
2022-03-11,278.92,1.85,433.3246
2022-03-12,279.15,1.52,491.1172
2022-03-13,278.99,2.29,498.2287
2022-03-14,281.8,1.04,676.7899
2022-03-15,282.58,0.57,614.8621
2022-03-16,277.72,2.77,640.8909
2022-03-17,271.42,1.79,648.8197
2022-03-18,270.74,1.09,628.4264
2022-03-19,273.04,0.59,723.8028
2022-03-20,275.31,1.83,612.1162
2022-03-21,276.15,3.44,721.144
2022-03-22,275.17,1.54,672.0649
2022-03-23,277.94,0.29,604.4697
2022-03-24,279.33,0.8,510.9336
2022-03-25,279.22,3.97,690.7507
2022-03-26,281.8,5.93,715.0427
2022-03-27,279.63,2.45,804.5202
2022-03-28,282.1,5.1,710.1245
2022-03-29,280.45,2.7,540.4469
2022-03-30,278.68,1.16,685.2077
2022-03-31,278.58,4.98,837.1232
2022-04-01,280.32,1.54,726.1639
2022-04-02,282.67,0.79,845.6061
2022-04-03,284.42,3.96,801.8386
2022-04-04,285.85,2.05,711.7883
2022-04-05,285.63,2.97,827.4919
2022-04-06,279.38,2.6,767.9137
2022-04-07,286.26,1.21,799.8781
2022-04-08,288.56,1.23,750.1143
2022-04-09,288.94,2.18,690.0404
2022-04-10,290.71,1.09,662.465
2022-04-11,289.13,5.72,679.4495
2022-04-12,285.0,1.45,852.1178
2022-04-13,283.7,2.63,796.6457
2022-04-14,283.97,5.17,931.9766
2022-04-15,284.53,3.73,947.828
2022-04-16,287.68,2.41,893.9824
2022-04-17,286.31,1.32,782.7754
2022-04-18,287.51,0.39,877.9174
2022-04-19,290.68,2.95,908.604
2022-04-20,291.54,4.18,851.0265
2022-04-21,289.35,5.26,824.0416
2022-04-22,287.73,2.53,926.3344
2022-04-23,292.71,2.39,826.5461
2022-04-24,290.12,2.96,721.645
2022-04-25,291.71,0.26,772.1903
2022-04-26,286.51,6.32,981.6934
2022-04-27,282.22,2.59,843.09
2022-04-28,283.12,0.97,911.7536
2022-04-29,287.53,2.07,841.4866
2022-04-30,287.35,4.59,1009.929
2022-05-01,290.31,3.73,943.4521
2022-05-02,291.5,2.44,895.0259
2022-05-03,295.88,3.5,906.7562
2022-05-04,296.65,4.13,943.1683
2022-05-05,295.92,0.46,872.8547
2022-05-06,285.81,1.65,944.999
2022-05-07,284.52,2.09,970.2559
2022-05-08,283.5,0.68,909.6914
2022-05-09,285.12,2.46,959.3206
2022-05-10,287.36,1.59,851.9123
2022-05-11,287.38,2.05,938.6251
2022-05-12,285.83,1.4,914.9765
2022-05-13,287.97,5.13,1046.6925
2022-05-14,289.15,4.44,1035.6814
2022-05-15,292.86,3.31,1024.4591
2022-05-16,293.95,0.4,1017.9234
2022-05-17,295.01,1.23,952.6315
2022-05-18,295.89,1.51,993.9344
2022-05-19,296.23,1.02,844.0927
2022-05-20,297.56,1.47,866.9763
2022-05-21,300.15,1.7,982.1459
2022-05-22,300.81,1.42,938.6145
2022-05-23,297.7,2.09,929.8068
2022-05-24,299.38,0.96,928.8166
2022-05-25,296.05,2.41,1090.0399
2022-05-26,298.4,3.64,1074.9657
2022-05-27,299.87,2.72,1030.7084
2022-05-28,302.18,3.6,923.9595
2022-05-29,293.5,5.96,978.3618
2022-05-30,297.38,2.56,1033.6746
2022-05-31,297.57,1.31,946.7476
2022-06-01,300.15,1.41,1012.616
2022-06-02,300.76,3.03,987.1085
2022-06-03,301.17,0.82,887.2046
2022-06-04,298.73,1.69,907.2616
2022-06-05,298.91,6.02,1074.8992
2022-06-06,295.56,1.8,1061.0099
2022-06-07,294.06,3.36,942.8862
2022-06-08,293.14,3.09,907.6893
2022-06-09,294.88,2.98,844.7946
2022-06-10,295.45,2.85,791.0803
2022-06-11,295.14,3.82,802.2034
2022-06-12,294.9,2.27,823.5218
2022-06-13,294.91,0.93,912.0612
2022-06-14,294.96,1.82,928.2485
2022-06-15,296.37,2.38,893.8563
2022-06-16,297.16,2.05,822.3597
2022-06-17,298.06,2.72,850.9193
2022-06-18,298.61,2.34,844.3201
2022-06-19,299.45,2.66,848.5024
2022-06-20,301.88,2.41,884.5299
2022-06-21,301.43,1.82,874.813
2022-06-22,298.0,1.43,806.9233
2022-06-23,301.89,1.81,1028.311
2022-06-24,303.56,1.5,1037.4554
2022-06-25,305.12,0.82,946.9519
2022-06-26,298.58,3.57,859.4486
2022-06-27,299.23,1.15,961.5811
2022-06-28,296.39,2.53,944.8866
2022-06-29,298.49,1.74,967.4737
2022-06-30,298.5,1.17,958.1434
2022-07-01,298.4,1.01,917.716
2022-07-02,299.45,2.36,870.0154
2022-07-03,297.66,2.83,916.2104
2022-07-04,299.52,2.49,921.0655
2022-07-05,299.68,2.36,846.251
2022-07-06,297.39,1.64,970.6846
2022-07-07,301.4,0.82,978.3011
2022-07-08,301.21,1.28,833.0517
2022-07-09,299.25,0.67,981.792
2022-07-10,296.41,0.75,955.8313
2022-07-11,297.11,1.0,911.0201
2022-07-12,296.36,2.47,929.5644
2022-07-13,300.53,1.54,932.5272
2022-07-14,300.08,0.58,1009.6288
2022-07-15,301.78,0.43,968.1199
2022-07-16,300.04,1.51,834.6475
2022-07-17,302.21,3.1,1007.5338
2022-07-18,300.78,0.73,993.2557
2022-07-19,298.93,0.91,971.1988
2022-07-20,298.86,2.26,965.5599
2022-07-21,300.32,1.6,896.5128
2022-07-22,299.45,1.21,894.9832
2022-07-23,299.23,1.01,927.9554
2022-07-24,301.43,2.23,864.8514
2022-07-25,301.05,3.07,861.5786
2022-07-26,300.19,2.85,830.3587
2022-07-27,297.8,2.03,828.0029
2022-07-28,297.14,1.45,947.9846
2022-07-29,298.42,1.3,927.5956
2022-07-30,299.69,2.05,839.4004
2022-07-31,300.33,1.05,839.6082
2022-08-01,301.85,1.37,810.3148
2022-08-02,302.25,2.3,763.0443
2022-08-03,302.64,2.08,820.0389
2022-08-04,302.71,1.96,772.2978
2022-08-05,303.57,0.56,853.6307
2022-08-06,301.62,1.17,767.5928
2022-08-07,302.36,1.58,866.5853
2022-08-08,297.5,0.82,897.0812
2022-08-09,294.67,1.56,911.287
2022-08-10,296.66,1.76,920.3774
2022-08-11,299.64,2.25,857.4566
2022-08-12,299.84,1.91,785.8277
2022-08-13,298.78,2.71,756.9311
2022-08-14,296.56,1.65,808.9941
2022-08-15,299.41,3.85,926.9544
2022-08-16,297.31,1.16,893.0466
2022-08-17,298.92,2.94,766.5742
2022-08-18,297.84,2.03,685.4185
2022-08-19,298.61,2.71,905.5554
2022-08-20,297.4,3.45,830.1791
2022-08-21,298.15,1.72,759.5123
2022-08-22,295.07,5.01,881.5576
2022-08-23,295.0,0.78,888.7125
2022-08-24,294.73,1.47,826.7534
2022-08-25,295.52,2.71,873.3152
2022-08-26,291.13,4.65,898.3407
2022-08-27,292.44,0.77,889.4038
2022-08-28,290.32,3.24,788.641
2022-08-29,291.98,0.21,733.8113
2022-08-30,294.47,0.25,772.9273
2022-08-31,295.12,2.59,844.9255
2022-09-01,293.22,1.04,854.7777
2022-09-02,295.1,1.52,800.1647
2022-09-03,293.72,1.67,703.6369
2022-09-04,294.94,1.22,708.7219
2022-09-05,293.04,3.85,809.6547
2022-09-06,293.41,4.81,834.0887
2022-09-07,295.91,1.46,806.4807
2022-09-08,298.26,0.41,761.7645
2022-09-09,298.41,0.64,719.593
2022-09-10,295.88,1.79,678.8212
2022-09-11,295.64,1.57,681.0021
2022-09-12,297.32,1.06,662.0374
2022-09-13,297.49,1.23,643.2422
2022-09-14,295.48,2.07,681.2932
2022-09-15,295.49,0.95,705.8904
2022-09-16,296.74,1.37,661.2873
2022-09-17,296.71,1.07,630.0801
2022-09-18,294.5,2.07,714.2659
2022-09-19,291.87,2.75,744.4134
2022-09-20,290.41,0.37,750.1892
2022-09-21,292.46,3.01,681.2815
2022-09-22,289.28,7.71,701.576
2022-09-23,289.27,4.11,752.1113
2022-09-24,290.38,2.07,701.3283
2022-09-25,291.6,0.78,617.3926
2022-09-26,293.3,1.41,610.6296
2022-09-27,294.26,1.95,606.7228
2022-09-28,293.78,1.13,571.7261
2022-09-29,294.71,1.55,560.0225
2022-09-30,295.26,1.97,580.2803
2022-10-01,293.19,1.64,555.7268
2022-10-02,292.02,1.66,597.014
2022-10-03,283.16,5.59,634.5832
2022-10-04,282.15,2.42,694.6871
2022-10-05,282.56,0.46,627.2239
2022-10-06,283.88,1.43,583.8673
2022-10-07,286.04,2.77,555.0039
2022-10-08,284.17,2.74,456.4613
2022-10-09,281.42,7.58,648.1778
2022-10-10,282.38,3.76,644.2688
2022-10-11,284.3,1.45,578.9876
2022-10-12,285.3,1.8,508.9096
2022-10-13,286.08,0.68,461.4042
2022-10-14,287.76,0.51,436.9599
2022-10-15,289.45,1.41,471.38
2022-10-16,282.87,4.86,590.9803
2022-10-17,281.0,4.26,593.7208
2022-10-18,282.73,1.67,530.7412
2022-10-19,285.4,2.59,494.3312
2022-10-20,284.35,1.3,451.5008
2022-10-21,287.26,1.18,403.6637
2022-10-22,284.64,3.82,546.7443
2022-10-23,285.15,1.97,530.0232
2022-10-24,284.28,1.31,469.324
2022-10-25,285.17,1.66,374.8727
2022-10-26,283.5,3.51,355.485
2022-10-27,282.26,1.04,456.3938
2022-10-28,283.14,2.0,358.4865
2022-10-29,282.49,2.42,334.0398
2022-10-30,283.23,1.13,331.7743
2022-10-31,280.66,4.19,506.2399
2022-11-01,280.54,1.27,423.4904
2022-11-02,281.28,2.4,352.6433
2022-11-03,278.01,1.96,413.257
2022-11-04,278.57,3.21,464.3431
2022-11-05,281.49,1.15,442.2598
2022-11-06,279.29,2.18,299.5793
2022-11-07,281.6,1.83,462.8896
2022-11-08,281.86,2.03,351.6195
2022-11-09,283.07,0.73,284.8653
2022-11-10,285.6,1.02,313.1166
2022-11-11,284.69,1.2,314.4962
2022-11-12,276.82,5.72,428.6764
2022-11-13,275.07,1.29,422.7174
2022-11-14,277.93,2.0,371.5794
2022-11-15,278.55,3.57,398.4972
2022-11-16,279.11,0.29,354.4836
2022-11-17,279.86,1.2,338.3054
2022-11-18,278.88,1.49,297.6926
2022-11-19,279.82,1.24,308.3747
2022-11-20,278.41,1.79,213.8223
2022-11-21,278.7,0.57,372.7075
2022-11-22,276.59,1.67,269.3476
2022-11-23,278.72,1.09,294.1068
2022-11-24,277.9,0.2,231.4161
2022-11-25,274.66,5.61,309.1419
2022-11-26,270.99,1.43,348.4587
2022-11-27,275.45,1.85,291.2191
2022-11-28,274.03,7.84,293.3068
2022-11-29,263.99,7.2,374.6207
2022-11-30,265.17,3.64,364.7226
2022-12-01,267.55,2.2,333.7174
2022-12-02,268.13,0.88,261.2322
2022-12-03,267.34,3.81,363.7658
2022-12-04,268.03,1.88,286.364
2022-12-05,269.09,3.19,317.9455
2022-12-06,270.62,3.61,329.0584
2022-12-07,273.29,2.15,302.4482
2022-12-08,273.67,1.93,306.8257
2022-12-09,273.4,2.0,287.1723
2022-12-10,269.49,4.71,352.5489
2022-12-11,270.46,1.7,329.7693
2022-12-12,269.22,4.57,312.2723
2022-12-13,264.25,5.51,369.0032
2022-12-14,267.63,1.29,290.5913
2022-12-15,264.18,4.04,338.6308
2022-12-16,263.67,5.92,326.2322
2022-12-17,263.0,4.52,342.4922
2022-12-18,265.61,1.98,245.1894
2022-12-19,267.8,1.11,251.7512
2022-12-20,268.88,3.78,245.2795
2022-12-21,264.99,2.1,309.6555
2022-12-22,263.57,5.16,343.2991
2022-12-23,265.12,4.65,339.9356
2022-12-24,267.74,2.73,329.6891
2022-12-25,267.14,1.22,288.3887
2022-12-26,267.38,2.06,305.2396
2022-12-27,266.62,4.27,350.5954
2022-12-28,267.11,3.38,300.4868
2022-12-29,267.25,3.42,331.6517
2022-12-30,267.89,2.64,313.1199
2022-12-31,269.88,3.78,312.6854
