Date,Temperature,Wind speed,Clear sky GHI
2022-01-01,297.41,0.79,986.3388
2022-01-02,297.17,0.8,987.5812
2022-01-03,297.43,0.69,979.8207
2022-01-04,297.43,0.66,986.8616
2022-01-05,297.73,0.65,976.0507
2022-01-06,298.34,0.56,963.6946
2022-01-07,297.26,0.87,974.0974
2022-01-08,296.66,0.84,973.0252
2022-01-09,297.02,0.86,989.6289
2022-01-10,297.46,0.73,980.8493
2022-01-11,297.62,0.76,962.5958
2022-01-12,297.04,0.79,987.3228
2022-01-13,297.04,0.73,994.2907
2022-01-14,297.89,0.82,985.6943
2022-01-15,297.58,0.63,996.7358
2022-01-16,298.14,0.29,994.8132
2022-01-17,296.96,0.5,973.5605
2022-01-18,297.48,0.32,987.3506
2022-01-19,297.58,0.64,984.6865
2022-01-20,297.54,0.58,992.4008
2022-01-21,298.67,0.61,1008.3703
2022-01-22,299.14,0.59,1003.74
2022-01-23,299.35,0.18,976.5148
2022-01-24,298.68,0.49,955.819
2022-01-25,297.82,0.59,967.0065
2022-01-26,297.0,0.58,965.0914
2022-01-27,297.03,0.62,981.1357
2022-01-28,297.34,0.62,992.4988
2022-01-29,297.48,0.69,990.5037
2022-01-30,296.18,0.75,997.8239
2022-01-31,296.98,0.78,1002.3082
2022-02-01,297.71,0.58,989.7257
2022-02-02,298.07,0.32,976.2933
2022-02-03,297.74,0.51,974.2754
2022-02-04,298.06,0.39,979.56
2022-02-05,298.66,0.32,981.9076
2022-02-06,298.55,0.39,940.8149
2022-02-07,298.19,0.48,943.425
2022-02-08,297.74,0.3,962.455
2022-02-09,297.57,0.41,961.6794
2022-02-10,297.51,0.35,997.1282
2022-02-11,297.13,0.47,971.7726
2022-02-12,296.82,0.5,984.8308
2022-02-13,297.0,0.73,989.1422
2022-02-14,297.62,0.74,978.6202
2022-02-15,298.23,0.41,957.2412
2022-02-16,296.92,0.67,946.4371
2022-02-17,297.76,0.38,986.3049
2022-02-18,297.35,0.62,981.6349
2022-02-19,296.5,0.73,995.0346
2022-02-20,296.54,0.47,991.5548
2022-02-21,297.55,0.62,972.7533
2022-02-22,297.69,0.69,952.6287
2022-02-23,297.38,0.53,959.5168
2022-02-24,297.91,0.28,949.965
2022-02-25,298.72,0.76,965.979
2022-02-26,298.9,0.71,984.604
2022-02-27,298.64,0.48,954.7977
2022-02-28,298.53,0.25,967.7402
2022-03-01,297.76,0.49,934.9545
2022-03-02,298.24,0.51,949.9296
2022-03-03,297.46,0.51,931.6813
2022-03-04,296.81,0.4,937.5744
2022-03-05,297.62,0.57,946.766
2022-03-06,297.18,0.5,952.7276
2022-03-07,296.4,0.66,961.3945
2022-03-08,297.35,0.68,952.4703
2022-03-09,297.37,0.54,952.6314
2022-03-10,298.2,0.33,944.3682
2022-03-11,297.21,0.34,943.4839
2022-03-12,297.73,0.17,937.2578
2022-03-13,298.46,0.76,933.1299
2022-03-14,298.05,0.72,921.7087
2022-03-15,297.03,0.51,937.5158
2022-03-16,296.97,0.03,937.5006
2022-03-17,296.93,0.71,920.1772
2022-03-18,297.49,0.61,920.0646
2022-03-19,298.36,0.48,915.0693
2022-03-20,298.79,0.27,907.5818
2022-03-21,298.32,0.32,926.6522
2022-03-22,298.4,0.31,908.4832
2022-03-23,297.76,0.55,919.9802
2022-03-24,298.03,0.69,917.6175
2022-03-25,296.79,0.27,913.1885
2022-03-26,298.27,0.7,901.926
2022-03-27,298.29,0.39,898.5421
2022-03-28,298.23,0.26,891.3132
2022-03-29,297.61,0.78,898.2602
2022-03-30,297.77,0.22,898.9114
2022-03-31,297.77,0.36,893.8825
2022-04-01,297.86,0.7,901.2029
2022-04-02,298.28,0.84,875.1108
2022-04-03,298.34,0.63,887.2425
2022-04-04,298.17,0.38,880.6541
2022-04-05,297.86,0.14,857.3951
2022-04-06,298.72,0.81,886.5433
2022-04-07,298.78,0.86,862.424
2022-04-08,298.82,0.93,876.7775
2022-04-09,298.79,0.83,879.7339
2022-04-10,299.11,0.67,869.2601
2022-04-11,298.57,0.49,861.5391
2022-04-12,298.33,0.38,822.0102
2022-04-13,298.12,0.38,839.5052
