Date,Temperature,Wind speed,Clear sky GHI
2022-01-01,295.22,3.45,1151.0587
2022-01-02,296.48,1.78,1147.6724
2022-01-03,295.8,2.44,1150.8994
2022-01-04,295.25,1.97,1138.1953
2022-01-05,296.02,1.32,1129.0695
2022-01-06,294.76,2.35,1070.4597
2022-01-07,294.6,2.84,1089.5374
2022-01-08,294.01,3.1,1091.8619
2022-01-09,294.07,2.91,1104.8104
2022-01-10,295.19,2.13,1124.2649
2022-01-11,296.95,0.15,1097.8434
2022-01-12,294.8,2.63,1046.4319
2022-01-13,295.4,1.94,1042.5365
2022-01-14,295.63,3.09,1087.2041
2022-01-15,294.88,2.71,1103.3281
2022-01-16,294.58,2.04,1097.6685
2022-01-17,294.05,2.01,1098.3805
2022-01-18,292.85,0.86,1091.0092
2022-01-19,294.81,2.13,1049.4923
2022-01-20,293.9,2.8,1119.835
2022-01-21,293.24,4.01,1155.7809
2022-01-22,291.41,4.96,1147.09
2022-01-23,291.56,3.58,1133.3892
2022-01-24,294.47,1.95,1093.3746
2022-01-25,296.55,2.53,1076.549
2022-01-26,296.01,3.26,1083.2057
2022-01-27,294.53,3.04,1084.8927
2022-01-28,295.53,2.15,1078.5933
2022-01-29,293.97,4.12,1068.3076
2022-01-30,292.58,3.19,1078.6246
2022-01-31,293.56,3.44,1095.606
2022-02-01,293.86,2.68,1112.9741
2022-02-02,296.22,1.67,1104.3408
2022-02-03,298.02,1.05,1082.1494
2022-02-04,296.95,2.15,1003.6001
2022-02-05,292.61,5.68,1030.6257
2022-02-06,292.77,4.51,1082.0208
2022-02-07,294.51,1.85,1083.9146
2022-02-08,295.05,0.99,1037.9351
2022-02-09,297.35,0.68,1042.0205
2022-02-10,296.8,1.46,1019.839
2022-02-11,295.95,2.46,1045.1304
2022-02-12,294.63,2.76,1082.7336
2022-02-13,296.18,0.48,1062.1426
2022-02-14,296.75,4.05,1030.9487
2022-02-15,295.67,2.82,1039.2472
2022-02-16,296.89,0.49,997.2442
2022-02-17,296.46,1.76,981.4237
2022-02-18,294.99,1.91,984.5977
2022-02-19,295.09,1.65,993.11
2022-02-20,297.28,2.8,998.506
2022-02-21,297.41,2.09,1020.009
2022-02-22,297.04,1.01,1005.5088
2022-02-23,296.47,1.35,954.6725
2022-02-24,296.65,0.43,962.1865
2022-02-25,296.24,0.81,972.9816
2022-02-26,295.67,0.32,959.1199
2022-02-27,295.26,1.04,957.7141
2022-02-28,294.87,0.98,964.3533
2022-03-01,295.87,0.59,941.4485
2022-03-02,295.96,0.64,944.5605
2022-03-03,296.42,2.04,941.9781
2022-03-04,295.98,0.45,941.0297
2022-03-05,294.7,3.03,903.7103
2022-03-06,293.84,2.82,978.1469
2022-03-07,295.18,1.16,966.565
2022-03-08,294.53,1.35,922.9222
2022-03-09,293.25,0.87,885.2854
2022-03-10,295.37,1.58,885.5433
2022-03-11,295.29,3.27,899.1981
2022-03-12,295.21,1.24,905.9437
2022-03-13,295.43,1.8,914.5071
2022-03-14,295.93,1.4,917.808
2022-03-15,293.46,1.68,895.4787
2022-03-16,291.45,3.33,899.8518
2022-03-17,290.3,3.7,884.4858
2022-03-18,291.48,2.33,878.3107
2022-03-19,292.3,2.03,895.1234
2022-03-20,292.69,1.91,879.9172
2022-03-21,290.86,1.28,861.326
2022-03-22,292.02,1.39,852.9141
2022-03-23,292.61,1.72,846.2003
2022-03-24,293.6,2.94,868.8234
2022-03-25,292.71,1.69,841.3451
2022-03-26,292.73,0.78,824.6805
2022-03-27,293.66,0.88,851.5046
2022-03-28,292.49,2.56,812.1776
2022-03-29,292.43,2.53,849.2082
2022-03-30,292.9,1.34,854.1932
2022-03-31,293.29,1.38,829.9364
2022-04-01,292.98,1.14,806.6522
2022-04-02,293.78,1.61,804.5964
2022-04-03,293.17,2.44,794.6506
2022-04-04,291.18,1.15,785.8448
2022-04-05,291.74,2.17,807.7304
2022-04-06,292.45,2.76,806.581
2022-04-07,290.22,2.93,817.3846
2022-04-08,289.66,3.63,785.642
2022-04-09,288.51,4.4,759.3541
2022-04-10,288.02,4.58,770.1767
2022-04-11,289.11,1.82,768.7804
2022-04-12,289.89,1.98,757.548
