Date,Temperature,Wind speed,Clear sky GHI
2022-01-01,284.89,2.33,316.8298
2022-01-02,286.94,2.16,339.5136
2022-01-03,274.87,7.01,355.9678
2022-01-04,269.74,1.1,365.683
2022-01-05,272.49,4.07,361.9139
2022-01-06,274.96,2.65,369.5144
2022-01-07,271.67,5.25,387.214
2022-01-08,268.76,2.45,381.0967
2022-01-09,273.36,4.65,347.6061
2022-01-10,273.34,6.08,393.0712
2022-01-11,269.11,4.57,398.1842
2022-01-12,271.64,4.16,381.9989
2022-01-13,274.63,0.3,377.63
2022-01-14,275.22,5.03,383.8622
2022-01-15,269.15,5.12,407.3571
2022-01-16,266.72,4.16,377.6506
2022-01-17,274.91,3.66,398.9293
2022-01-18,272.74,6.29,411.0339
2022-01-19,274.13,4.12,388.1032
2022-01-20,274.67,3.16,400.1659
2022-01-21,267.72,5.59,420.6881
2022-01-22,267.49,2.77,442.6234
2022-01-23,270.27,2.4,420.4202
2022-01-24,272.34,1.12,434.3842
2022-01-25,274.14,2.3,427.2352
2022-01-26,269.85,4.03,456.3892
2022-01-27,268.67,0.77,450.1965
2022-01-28,272.49,0.6,417.6879
2022-01-29,268.99,8.19,475.9474
2022-01-30,266.75,2.93,449.8645
2022-01-31,270.23,2.99,424.3702
2022-02-01,270.78,2.65,452.9972
2022-02-02,273.79,2.52,467.6739
2022-02-03,276.58,3.09,442.6612
2022-02-04,280.11,1.61,457.5952
2022-02-05,271.5,6.49,512.3754
2022-02-06,270.39,2.01,495.951
2022-02-07,273.22,0.95,499.2986
2022-02-08,274.61,3.61,510.8529
2022-02-09,275.43,2.02,514.5642
2022-02-10,278.41,3.79,509.5051
2022-02-11,279.42,2.19,528.0314
2022-02-12,281.89,3.25,521.3447
2022-02-13,274.57,4.1,519.7942
2022-02-14,270.04,3.68,553.9434
2022-02-15,270.75,1.15,549.6788
2022-02-16,274.63,4.35,551.3359
2022-02-17,282.44,5.79,539.4573
2022-02-18,282.66,5.52,591.0861
2022-02-19,272.87,4.66,581.9483
2022-02-20,271.5,1.2,597.1855
2022-02-21,277.15,3.52,602.876
2022-02-22,283.81,5.29,543.0756
2022-02-23,288.32,4.63,586.2303
2022-02-24,275.55,3.63,580.6934
2022-02-25,276.72,1.57,611.4967
2022-02-26,274.4,3.65,628.4056
2022-02-27,276.76,3.55,639.6933
2022-02-28,276.4,2.88,621.666
2022-03-01,276.55,3.58,616.4318
2022-03-02,281.17,1.84,619.494
2022-03-03,281.15,3.74,659.346
2022-03-04,274.27,1.89,676.5222
2022-03-05,278.03,3.67,636.9603
2022-03-06,286.55,5.34,602.7452
2022-03-07,290.77,6.74,644.0332
2022-03-08,281.8,5.34,700.9579
2022-03-09,277.66,1.85,671.2557
2022-03-10,277.52,1.8,688.4282
2022-03-11,279.54,3.17,693.2109
2022-03-12,276.28,4.95,707.2219
2022-03-13,270.89,5.23,734.7176
2022-03-14,277.58,3.01,725.7569
2022-03-15,282.28,3.02,719.3364
2022-03-16,285.37,0.74,732.8887
2022-03-17,284.12,2.31,693.8978
2022-03-18,286.6,1.3,741.8433
2022-03-19,289.65,4.88,726.0487
2022-03-20,284.63,5.93,766.4038
2022-03-21,283.42,4.37,754.9724
2022-03-22,284.07,2.16,761.8734
2022-03-23,282.85,5.1,729.79
2022-03-24,286.96,1.29,745.4211
2022-03-25,285.38,3.18,795.8351
2022-03-26,281.28,5.4,817.2472
2022-03-27,277.21,6.96,838.0494
2022-03-28,272.75,6.37,854.9119
2022-03-29,272.91,5.04,865.8326
2022-03-30,279.59,2.33,786.5505
2022-03-31,288.53,7.26,779.6494
2022-04-01,285.46,5.82,851.6704
2022-04-02,279.87,2.07,863.387
2022-04-03,282.42,2.91,859.9002
2022-04-04,280.04,2.76,844.4794
2022-04-05,282.47,2.09,795.2632
2022-04-06,285.91,3.68,847.3442
2022-04-07,284.04,1.64,830.4924
2022-04-08,283.58,2.59,877.6931
2022-04-09,282.42,3.11,896.3152
2022-04-10,280.49,5.75,915.7284
2022-04-11,281.64,1.23,889.5065
2022-04-12,288.65,1.8,886.6493
2022-04-13,291.25,3.06,855.4475
2022-04-14,292.85,4.65,869.4021
2022-04-15,286.78,1.64,952.0201
2022-04-16,288.74,4.7,895.2835
2022-04-17,284.38,5.12,962.7327
2022-04-18,278.92,4.45,905.7502
2022-04-19,279.54,6.5,971.9241
2022-04-20,281.29,2.61,967.0462
2022-04-21,284.96,4.22,898.4105
2022-04-22,289.07,1.9,959.8702
2022-04-23,288.9,2.75,856.1463
2022-04-24,290.67,2.46,923.8406
2022-04-25,288.51,3.63,918.4924
2022-04-26,288.76,2.0,903.8381
2022-04-27,284.85,5.91,987.0209
2022-04-28,280.82,5.82,1022.5192
2022-04-29,282.86,3.39,1035.8613
2022-04-30,285.19,1.26,1024.009
2022-05-01,285.47,3.3,902.6022
2022-05-02,290.18,0.52,973.9134
2022-05-03,290.02,3.03,918.4546
2022-05-04,290.55,1.24,947.9054
2022-05-05,289.39,2.28,994.4297
2022-05-06,287.98,3.7,929.4202
2022-05-07,284.24,7.58,991.4954
2022-05-08,281.86,6.0,1007.6392
2022-05-09,284.71,3.74,1060.3149
2022-05-10,286.84,4.18,1045.398
2022-05-11,288.0,3.79,1018.6419
2022-05-12,290.44,3.55,997.4712
2022-05-13,291.49,3.45,994.5992
2022-05-14,291.58,2.27,997.6927
2022-05-15,293.35,1.6,974.3792
2022-05-16,294.02,2.7,998.756
2022-05-17,292.3,4.07,1050.5327
2022-05-18,290.58,2.17,1027.7935
2022-05-19,293.56,1.59,1014.162
2022-05-20,296.7,2.09,975.532
2022-05-21,299.72,2.52,1014.1799
2022-05-22,298.69,2.99,964.6345
2022-05-23,292.65,3.3,992.8928
2022-05-24,289.64,3.24,1015.753
2022-05-25,289.51,3.55,1020.7551
2022-05-26,290.88,3.11,1008.8749
2022-05-27,293.24,3.91,1014.1042
2022-05-28,293.57,2.94,1056.4271
2022-05-29,294.4,1.22,1045.1084
2022-05-30,296.7,2.13,1040.6116
2022-05-31,299.24,1.45,1044.0171
2022-06-01,300.82,2.56,1013.9132
