Date,Temperature,Wind speed,Clear sky GHI
2022-01-01,249.93,5.46,1397.386
2022-01-02,253.56,9.47,1369.9783
2022-01-03,254.88,5.27,1368.0704
2022-01-04,251.23,2.91,1383.2232
2022-01-05,250.98,3.26,1374.5494
2022-01-06,252.07,2.2,1365.609
2022-01-07,251.1,2.94,1367.9321
2022-01-08,250.35,4.33,1368.8307
2022-01-09,251.18,6.28,1351.3235
2022-01-10,253.41,5.16,1327.49
2022-01-11,250.7,5.26,1318.5216
2022-01-12,251.66,2.04,1288.8212
2022-01-13,249.78,3.37,1305.6194
2022-01-14,248.22,5.64,1298.4285
2022-01-15,249.81,5.01,1274.5836
2022-01-16,247.44,6.27,1285.0979
2022-01-17,249.31,8.39,1252.1233
2022-01-18,250.37,8.53,1228.0081
2022-01-19,253.41,8.79,1212.5801
2022-01-20,258.93,9.7,1155.4082
2022-01-21,257.01,7.96,1175.5658
2022-01-22,253.85,6.83,1162.5649
2022-01-23,255.0,8.93,1153.0664
2022-01-24,252.53,5.53,1156.4557
2022-01-25,252.79,5.05,1138.976
2022-01-26,252.06,3.25,1093.8412
2022-01-27,252.79,0.81,1086.259
2022-01-28,249.09,2.26,1091.2365
2022-01-29,247.03,2.75,1074.3384
2022-01-30,244.92,2.59,1063.4535
2022-01-31,243.94,6.95,1049.2637
2022-02-01,244.61,6.45,1025.6901
2022-02-02,245.48,4.66,1012.4806
2022-02-03,250.63,5.02,973.6986
2022-02-04,248.66,7.14,953.829
2022-02-05,242.98,9.6,954.8326
2022-02-06,242.52,9.5,926.1614
2022-02-07,243.08,6.83,901.5256
2022-02-08,242.64,5.33,881.7936
2022-02-09,242.2,4.95,864.4337
2022-02-10,240.55,7.38,842.8888
2022-02-11,241.53,5.18,819.8356
2022-02-12,246.85,3.26,793.1308
2022-02-13,245.26,2.72,767.5059
2022-02-14,240.12,6.9,754.9489
2022-02-15,245.7,7.94,716.6326
2022-02-16,245.15,5.52,698.0441
2022-02-17,241.16,5.38,684.7323
2022-02-18,241.18,7.45,668.9595
2022-02-19,242.27,6.67,642.6998
2022-02-20,241.48,4.53,623.3526
