Date,Temperature,Wind speed,Clear sky GHI
2022-01-01,283.12,4.96,118.6512
2022-01-02,281.13,6.7,123.2322
2022-01-03,280.94,7.76,129.357
2022-01-04,278.77,4.14,132.8906
2022-01-05,275.76,6.99,136.0548
2022-01-06,272.24,4.54,151.7487
2022-01-07,272.7,5.63,138.7038
2022-01-08,272.64,4.23,146.0854
2022-01-09,272.99,3.82,144.0532
2022-01-10,273.39,1.31,141.1929
2022-01-11,270.22,2.65,156.8372
2022-01-12,273.06,3.47,147.5449
2022-01-13,275.33,6.8,145.7446
2022-01-14,275.98,6.37,148.5573
2022-01-15,272.98,2.46,159.3271
2022-01-16,273.99,5.61,153.785
2022-01-17,275.51,8.33,170.5205
2022-01-18,274.19,3.71,171.752
2022-01-19,275.52,5.94,172.1774
2022-01-20,273.34,8.45,182.8553
2022-01-21,271.94,6.55,193.5416
2022-01-22,274.39,3.06,181.3075
2022-01-23,276.34,2.84,183.1703
2022-01-24,276.45,2.23,192.6477
2022-01-25,275.71,4.35,195.8646
2022-01-26,274.94,6.32,200.3578
2022-01-27,276.05,9.67,203.3976
2022-01-28,276.36,7.89,220.1206
2022-01-29,278.04,10.01,204.8769
2022-01-30,277.25,12.51,224.5864
2022-01-31,273.82,0.76,213.8046
2022-02-01,275.47,7.76,232.1886
2022-02-02,276.5,8.38,242.2183
2022-02-03,275.81,4.68,236.3897
2022-02-04,278.28,6.1,236.9599
2022-02-05,276.82,8.35,256.3886
2022-02-06,277.58,9.77,259.4414
2022-02-07,275.94,8.4,268.1493
2022-02-08,278.41,7.57,260.2617
2022-02-09,281.17,6.88,273.8625
2022-02-10,279.41,4.39,262.5261
2022-02-11,275.82,3.94,289.2538
2022-02-12,272.83,3.65,309.2932
2022-02-13,274.72,5.86,308.9093
2022-02-14,277.51,6.48,296.8741
2022-02-15,278.23,4.98,309.6222
2022-02-16,279.77,9.86,312.9463
2022-02-17,280.82,14.61,326.7367
2022-02-18,279.0,8.85,327.9369
2022-02-19,277.73,11.84,347.4126
2022-02-20,278.21,7.91,348.3259
2022-02-21,278.22,10.08,355.2048
2022-02-22,277.98,7.22,366.2619
2022-02-23,277.79,6.75,370.8313
2022-02-24,277.72,7.06,370.7598
2022-02-25,276.85,7.68,386.6042
2022-02-26,276.21,2.8,404.6963
2022-02-27,274.42,2.5,411.205
2022-02-28,272.9,3.33,419.522
2022-03-01,273.23,4.05,435.6375
2022-03-02,275.0,1.45,423.5554
2022-03-03,273.4,2.93,443.4805
2022-03-04,274.16,2.9,458.7718
2022-03-05,273.31,2.37,461.143
2022-03-06,273.22,2.37,472.029
2022-03-07,274.73,3.24,476.73
2022-03-08,276.96,0.69,484.377
2022-03-09,276.56,1.05,488.5496
2022-03-10,274.85,5.41,503.0653
2022-03-11,273.4,7.74,522.3607
2022-03-12,274.59,6.0,521.983
2022-03-13,276.11,5.93,538.8126
2022-03-14,277.69,3.28,508.9627
2022-03-15,279.28,0.72,517.1511
2022-03-16,279.06,2.81,502.845
2022-03-17,279.39,2.22,484.9517
2022-03-18,279.38,4.01,553.2341
2022-03-19,277.5,4.93,557.9113
2022-03-20,277.06,6.57,578.0276
2022-03-21,277.3,5.15,597.0609
2022-03-22,279.1,3.22,622.7158
2022-03-23,280.94,1.49,594.6452
2022-03-24,279.46,1.97,610.1223
2022-03-25,281.57,2.08,557.4914
2022-03-26,280.62,3.87,591.4731
2022-03-27,280.86,1.54,626.056
2022-03-28,280.64,3.99,643.0869
2022-03-29,279.7,4.16,596.8055
2022-03-30,277.46,2.96,633.4435
2022-03-31,275.98,7.18,650.8641
2022-04-01,275.7,7.74,684.0084
2022-04-02,274.57,6.59,669.3135
2022-04-03,275.09,4.13,699.6288
2022-04-04,276.41,9.98,687.1718
2022-04-05,279.54,5.83,712.2791
2022-04-06,283.07,7.25,700.5396
2022-04-07,282.45,9.48,708.6335
2022-04-08,279.32,7.56,744.6229
2022-04-09,277.71,6.86,750.1047
2022-04-10,277.16,6.42,750.9172
2022-04-11,278.98,2.48,763.3383
2022-04-12,281.03,4.15,763.8034
2022-04-13,284.58,3.94,750.7581
2022-04-14,284.66,2.26,688.964
2022-04-15,279.99,4.7,778.8788
2022-04-16,278.92,4.5,813.0168
2022-04-17,280.36,2.59,806.08
2022-04-18,280.75,3.47,816.0762
2022-04-19,280.7,4.34,799.655
2022-04-20,281.52,4.25,784.5651
2022-04-21,282.16,3.41,804.9419
2022-04-22,282.91,4.88,818.2277
2022-04-23,283.33,4.49,848.5753
2022-04-24,283.96,5.46,837.2789
2022-04-25,281.4,4.09,839.2566
2022-04-26,283.53,1.37,847.4365
2022-04-27,284.28,2.93,861.7319
2022-04-28,283.83,2.25,837.6879
2022-04-29,285.36,1.02,874.3736
2022-04-30,285.68,0.56,851.2869
2022-05-01,284.59,3.0,835.1573
2022-05-02,285.61,1.81,874.763
2022-05-03,285.29,2.42,902.6707
2022-05-04,287.11,0.05,862.639
2022-05-05,286.7,2.66,853.8269
2022-05-06,287.31,0.95,915.5076
2022-05-07,288.48,2.01,876.7188
2022-05-08,286.79,3.13,930.7507
2022-05-09,286.76,3.12,942.33
2022-05-10,290.63,3.2,926.361
2022-05-11,293.44,3.74,907.4036
2022-05-12,288.87,5.55,973.7534
2022-05-13,287.48,4.93,923.6696
2022-05-14,288.1,4.9,931.545
2022-05-15,288.16,1.94,985.0328
2022-05-16,290.92,3.79,966.9551
2022-05-17,288.7,2.22,891.4862
2022-05-18,290.62,4.69,945.8185
2022-05-19,293.88,3.92,966.9978
2022-05-20,293.44,4.17,954.6512
2022-05-21,287.79,8.6,1005.3586
2022-05-22,287.61,2.31,1005.0893
2022-05-23,290.49,5.92,998.4242
2022-05-24,290.1,3.5,987.7896
2022-05-25,288.4,3.54,1008.7166
2022-05-26,289.91,6.79,1001.2874
2022-05-27,287.81,8.62,1027.1074
2022-05-28,284.89,8.32,1037.6411
2022-05-29,285.3,3.62,1030.8889
2022-05-30,285.18,3.59,1035.0684
2022-05-31,288.03,1.51,1017.1548
2022-06-01,287.88,4.01,1012.2891
2022-06-02,287.97,3.68,1051.8154
2022-06-03,291.93,2.14,1054.268
2022-06-04,291.38,4.54,1013.8988
2022-06-05,293.49,3.72,1035.6742
2022-06-06,293.61,3.13,1013.6488
2022-06-07,292.43,2.7,1046.4919
2022-06-08,293.7,2.32,1019.4468
2022-06-09,292.11,3.78,1000.411
2022-06-10,293.2,3.32,1072.077
2022-06-11,295.38,2.26,1022.8532
2022-06-12,294.35,2.1,1036.4153
2022-06-13,289.44,5.33,1055.3972
2022-06-14,289.1,3.63,1059.7286
2022-06-15,292.92,1.33,1059.6361
2022-06-16,292.24,3.69,1027.905
2022-06-17,293.41,2.37,1059.5524
2022-06-18,299.39,2.99,968.3286
2022-06-19,298.02,2.15,961.2518
2022-06-20,288.33,2.76,988.775
2022-06-21,291.91,3.68,1079.5912
2022-06-22,294.75,1.49,1062.162
2022-06-23,296.18,2.87,1071.2234
2022-06-24,298.25,4.34,1048.0848
2022-06-25,296.15,0.55,992.0679
2022-06-26,299.31,2.31,960.6518
2022-06-27,301.18,2.0,1003.9269
2022-06-28,294.71,2.65,1049.4829
2022-06-29,294.85,3.82,1025.8508
2022-06-30,295.98,1.96,987.0832
2022-07-01,293.78,3.29,965.949
2022-07-02,294.03,1.72,1051.5898
2022-07-03,297.44,3.06,1030.6864
2022-07-04,294.91,3.94,1042.7116
2022-07-05,294.0,3.08,1021.4819
2022-07-06,291.66,4.61,1052.7933
2022-07-07,289.89,4.34,1012.88
2022-07-08,290.93,5.68,1042.0526
2022-07-09,289.32,5.06,1027.1615
2022-07-10,289.92,6.05,1055.7064
2022-07-11,291.63,4.05,1037.7668
2022-07-12,294.03,4.15,1033.2992
2022-07-13,297.63,4.44,990.3287
2022-07-14,293.06,4.63,1040.4873
2022-07-15,290.73,5.56,1035.0004
2022-07-16,290.61,5.76,1021.231
2022-07-17,290.89,3.24,1014.674
2022-07-18,295.83,1.34,957.0752
2022-07-19,300.02,0.47,975.1056
2022-07-20,302.43,3.32,943.3546
2022-07-21,298.74,3.22,900.5438
2022-07-22,295.48,3.39,951.4202
2022-07-23,293.25,3.27,931.496
2022-07-24,294.95,1.11,979.5133
2022-07-25,299.97,3.03,925.0781
2022-07-26,293.76,5.09,950.2661
2022-07-27,291.13,4.08,966.5739
2022-07-28,291.54,1.53,970.0867
2022-07-29,294.58,4.73,917.0391
2022-07-30,294.61,3.32,886.9161
2022-07-31,296.46,2.01,897.6764
2022-08-01,294.87,4.19,898.2972
2022-08-02,295.44,1.14,928.7475
2022-08-03,300.64,2.12,895.7441
2022-08-04,302.52,3.08,886.4966
2022-08-05,297.05,3.67,838.3172
2022-08-06,292.02,4.02,936.6971
2022-08-07,293.5,1.26,905.0693
2022-08-08,295.27,1.66,882.8672
2022-08-09,294.95,3.38,877.644
2022-08-10,295.61,2.61,872.6372
2022-08-11,296.97,2.63,876.7696
