# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): -24.7761
# Longitude (positive East, ISO 19115): 134.7550
# Altitude (m): 275.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;11921.6211;9058.6797;8004.3677;1054.3120;11400.5664
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;11916.3594;9131.2041;8035.9194;1095.2845;11242.6865
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;11910.5752;9157.1455;7848.1841;1308.9619;10818.4395
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;11904.1094;9089.6885;7783.9932;1305.6957;11033.0391
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;11897.0215;9300.4912;8183.2290;1117.2621;11578.9795
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;11889.2998;9387.4385;8339.1641;1048.2745;11851.0732
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;11881.0068;9365.4482;8208.8359;1156.6130;11608.0029
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;11872.0928;9380.6094;8255.5947;1125.0146;11600.6387
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;11862.5020;9272.2021;8001.6514;1270.5510;11269.9990
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;11852.3154;9295.2236;8162.3716;1132.8521;11547.5068
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;11841.4600;9169.5654;7942.5610;1227.0044;11017.0850
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;11829.9561;8998.3281;7482.8867;1515.4413;10315.8975
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;11817.7998;9037.4697;7611.4351;1426.0348;10671.7227
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;11805.0361;9189.5039;7988.5801;1200.9233;11279.9033
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;11791.5850;8871.3877;7604.5029;1266.8850;10422.1963
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;11777.4688;8618.6631;7097.8555;1520.8082;9718.1650
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;11762.6846;8620.2656;7257.1499;1363.1156;10315.4561
2022-01-18T00:00:00.0/2022-01-19T00:00:00.0;11747.2754;8502.5557;6679.9053;1822.6501;8729.0303
2022-01-19T00:00:00.0/2022-01-20T00:00:00.0;11731.1211;8176.4004;5005.4863;3170.9138;6385.3550
2022-01-20T00:00:00.0/2022-01-21T00:00:00.0;11714.3369;7983.9688;4309.1157;3674.8533;5458.3403
2022-01-21T00:00:00.0/2022-01-22T00:00:00.0;11696.8672;7890.9678;3496.5208;4394.4468;4734.7593
2022-01-22T00:00:00.0/2022-01-23T00:00:00.0;11678.7559;8629.0361;6941.7305;1687.3053;9771.3115
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;11659.9229;8795.0400;7906.3784;888.6615;11328.2734
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;11640.3535;8864.9150;7999.5420;865.3727;11414.3281
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;11620.1416;8721.9639;7819.7993;902.1647;11155.4023
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;11599.2734;8625.7539;7696.8887;928.8646;10911.9121
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;11577.6660;8547.6299;7457.5303;1090.0995;10419.0801
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;11555.3301;8450.2715;7242.4824;1207.7887;10154.2090
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;11532.3213;8477.0137;7575.4097;901.6035;10712.1338
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;11508.6123;8441.6562;7372.2446;1069.4115;10421.4707
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;11484.2178;8403.9111;7464.4868;939.4239;10623.6279
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;11459.0967;8337.9980;7228.1523;1109.8461;10241.4131
2022-02-02T00:00:00.0/2022-02-03T00:00:00.0;11433.2383;8389.1211;7293.4893;1095.6321;10149.1514
2022-02-03T00:00:00.0/2022-02-04T00:00:00.0;11406.7646;8792.3730;7589.7124;1202.6611;10679.7822
2022-02-04T00:00:00.0/2022-02-05T00:00:00.0;11379.5059;9100.0361;7976.8804;1123.1561;11315.4639
2022-02-05T00:00:00.0/2022-02-06T00:00:00.0;11351.5635;9041.8828;7982.4219;1059.4607;11364.4453
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;11322.9414;8908.7646;7872.0420;1036.7224;11271.5264
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;11293.5557;8859.0957;7884.8374;974.2582;11348.5576
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;11263.5225;8621.9062;7761.6641;860.2419;11200.0176
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;11232.7822;8525.0020;7554.5659;970.4358;10879.3721
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;11201.3496;8770.2002;7872.5635;897.6362;11423.4238
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;11169.1689;8811.6562;7739.8667;1071.7900;11047.8184
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;11136.3379;8855.8096;7716.6631;1139.1467;10991.1729
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;11102.8232;8738.7725;7463.7178;1275.0548;10516.2734
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;11068.5635;8350.9170;6986.9463;1363.9706;9712.0898
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;11033.6748;8304.6211;6822.5293;1482.0920;9697.3486
2022-02-16T00:00:00.0/2022-02-17T00:00:00.0;10998.0918;8411.8008;7056.6450;1355.1559;9989.9209
2022-02-17T00:00:00.0/2022-02-18T00:00:00.0;10961.8408;8348.3340;7017.6138;1330.7201;9936.0723
2022-02-18T00:00:00.0/2022-02-19T00:00:00.0;10924.8760;8562.3506;7355.7778;1206.5729;10537.0625
2022-02-19T00:00:00.0/2022-02-20T00:00:00.0;10887.2227;8544.4775;7392.8418;1151.6353;10596.9004
2022-02-20T00:00:00.0/2022-02-21T00:00:00.0;10848.9658;8589.8877;7629.0312;960.8566;11009.6709
2022-02-21T00:00:00.0/2022-02-22T00:00:00.0;10810.0537;8400.3926;7315.4141;1084.9784;10637.0918
2022-02-22T00:00:00.0/2022-02-23T00:00:00.0;10770.4932;8365.5938;7403.1313;962.4622;10738.1064
2022-02-23T00:00:00.0/2022-02-24T00:00:00.0;10730.2432;8349.6699;7346.4390;1003.2309;10601.3262
2022-02-24T00:00:00.0/2022-02-25T00:00:00.0;10689.3926;8196.5039;6914.1436;1282.3599;9992.8115
2022-02-25T00:00:00.0/2022-02-26T00:00:00.0;10647.8809;8196.9902;7253.5605;943.4293;10428.3584
2022-02-26T00:00:00.0/2022-02-27T00:00:00.0;10605.7773;8046.1646;6973.5645;1072.6002;9957.0469
2022-02-27T00:00:00.0/2022-02-28T00:00:00.0;10563.0928;7918.5298;6601.7671;1316.7628;9539.5635
2022-02-28T00:00:00.0/2022-03-01T00:00:00.0;10519.7461;7979.6948;6925.9116;1053.7831;10059.9756
2022-03-01T00:00:00.0/2022-03-02T00:00:00.0;10475.8721;7984.0176;6903.7383;1080.2793;10138.7197
2022-03-02T00:00:00.0/2022-03-03T00:00:00.0;10431.3584;7898.1543;6906.7627;991.3916;10149.5068
2022-03-03T00:00:00.0/2022-03-04T00:00:00.0;10386.3369;7922.8076;6963.8042;959.0035;10269.0830
2022-03-04T00:00:00.0/2022-03-05T00:00:00.0;10340.7021;7875.0723;6843.0669;1032.0052;9948.8594
2022-03-05T00:00:00.0/2022-03-06T00:00:00.0;10294.5811;7722.3115;6633.5947;1088.7166;9751.4395
2022-03-06T00:00:00.0/2022-03-07T00:00:00.0;10247.8721;7819.2959;6923.5635;895.7324;10273.0791
2022-03-07T00:00:00.0/2022-03-08T00:00:00.0;10200.7051;7842.7383;6976.1284;866.6096;10422.7324
2022-03-08T00:00:00.0/2022-03-09T00:00:00.0;10152.9746;7978.3257;7048.9609;929.3650;10501.2998
2022-03-09T00:00:00.0/2022-03-10T00:00:00.0;10104.8154;7941.4482;6955.9888;985.4595;10398.3594
2022-03-10T00:00:00.0/2022-03-11T00:00:00.0;10056.1162;7926.3545;6964.4536;961.9010;10349.4902
2022-03-11T00:00:00.0/2022-03-12T00:00:00.0;10007.0195;7835.6143;6713.9082;1121.7062;9834.1055
2022-03-12T00:00:00.0/2022-03-13T00:00:00.0;9957.4551;7792.8315;6780.0918;1012.7401;10160.6211
2022-03-13T00:00:00.0/2022-03-14T00:00:00.0;9907.4287;7613.2974;6536.6260;1076.6714;9863.5020
2022-03-14T00:00:00.0/2022-03-15T00:00:00.0;9857.0146;7569.1489;6645.6558;923.4932;10027.4043
2022-03-15T00:00:00.0/2022-03-16T00:00:00.0;9806.1602;7502.2290;6595.5820;906.6467;10066.9219
2022-03-16T00:00:00.0/2022-03-17T00:00:00.0;9754.9551;7504.0493;6707.9160;796.1334;10294.6953
2022-03-17T00:00:00.0/2022-03-18T00:00:00.0;9703.3301;7445.1196;6617.8311;827.2888;10050.3994
2022-03-18T00:00:00.0/2022-03-19T00:00:00.0;9651.3955;7288.7578;6175.3950;1113.3628;9273.9150
2022-03-19T00:00:00.0/2022-03-20T00:00:00.0;9599.0625;7295.9453;6264.7656;1031.1796;9488.4746
2022-03-20T00:00:00.0/2022-03-21T00:00:00.0;9546.4629;7305.3481;6210.7881;1094.5598;9372.9834
2022-03-21T00:00:00.0/2022-03-22T00:00:00.0;9493.5361;7273.4370;6226.7515;1046.6854;9620.5068
2022-03-22T00:00:00.0/2022-03-23T00:00:00.0;9440.2881;7340.9321;6486.3848;854.5477;10079.9795
2022-03-23T00:00:00.0/2022-03-24T00:00:00.0;9386.7969;7149.7061;6219.1865;930.5197;9516.8750
2022-03-24T00:00:00.0/2022-03-25T00:00:00.0;9333.0059;6992.7515;5946.5957;1046.1561;8962.4902
2022-03-25T00:00:00.0/2022-03-26T00:00:00.0;9279.0225;6944.1738;5873.2231;1070.9506;8991.0195
2022-03-26T00:00:00.0/2022-03-27T00:00:00.0;9224.7627;7154.8311;5989.4111;1165.4202;9409.8838
2022-03-27T00:00:00.0/2022-03-28T00:00:00.0;9170.3613;7302.0781;6310.3462;991.7321;10000.8682
2022-03-28T00:00:00.0/2022-03-29T00:00:00.0;9115.7617;7095.4878;6185.7524;909.7355;9623.9678
2022-03-29T00:00:00.0/2022-03-30T00:00:00.0;9060.9678;6822.0874;5793.3394;1028.7479;9189.2295
2022-03-30T00:00:00.0/2022-03-31T00:00:00.0;9006.0684;6777.4790;5940.9351;836.5441;9358.5439
2022-03-31T00:00:00.0/2022-04-01T00:00:00.0;8951.0029;6859.9878;6041.7900;818.1980;9665.7861
2022-04-01T00:00:00.0/2022-04-02T00:00:00.0;8895.8857;7044.0420;6149.1616;894.8804;9652.2305
2022-04-02T00:00:00.0/2022-04-03T00:00:00.0;8840.6309;6738.8315;5502.0244;1236.8070;8607.5596
2022-04-03T00:00:00.0/2022-04-04T00:00:00.0;8785.3799;6908.4751;5890.9224;1017.5527;9613.9512
2022-04-04T00:00:00.0/2022-04-05T00:00:00.0;8730.0752;7002.9199;6211.8203;791.0994;10146.7441
2022-04-05T00:00:00.0/2022-04-06T00:00:00.0;8674.7148;6806.3604;6035.5264;770.8340;9814.4863
2022-04-06T00:00:00.0/2022-04-07T00:00:00.0;8619.4033;6630.7085;5800.8604;829.8483;9505.4922
2022-04-07T00:00:00.0/2022-04-08T00:00:00.0;8564.0703;6672.9824;5835.4883;837.4941;9402.7578
2022-04-08T00:00:00.0/2022-04-09T00:00:00.0;8508.8369;6607.8647;5621.6753;986.1892;9102.7002
2022-04-09T00:00:00.0/2022-04-10T00:00:00.0;8453.6113;6585.2896;5573.7417;1011.5482;9158.5068
2022-04-10T00:00:00.0/2022-04-11T00:00:00.0;8398.5400;6530.5176;5631.5386;898.9789;9253.1855
2022-04-11T00:00:00.0/2022-04-12T00:00:00.0;8343.5615;6239.3076;5239.1343;1000.1733;8526.5107
2022-04-12T00:00:00.0/2022-04-13T00:00:00.0;8288.6787;6257.0938;5294.5054;962.5883;8780.6553
2022-04-13T00:00:00.0/2022-04-14T00:00:00.0;8233.9854;6229.1387;5349.3770;879.7617;8858.3252
2022-04-14T00:00:00.0/2022-04-15T00:00:00.0;8179.4185;6230.4277;5316.0981;914.3300;8888.1709
2022-04-15T00:00:00.0/2022-04-16T00:00:00.0;8125.0923;6086.0967;5177.3013;908.7957;8707.8535
