# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-79.406
# Site longitude (positive means East);0.315
# Site altitude (m);2399
# Date beginning;2022-01-01
# Date end;2022-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;24:00;249.93;73.67;729.84;5.46;353.17;0.000000;0.277167;-999.000000;9213.9110
2022-01-02;24:00;253.56;72.05;727.80;9.47;343.02;0.000000;0.616985;-999.000000;8476.5400
2022-01-03;24:00;254.88;76.70;738.29;5.27;351.13;0.000000;0.459003;-999.000000;8820.8060
2022-01-04;24:00;251.23;72.83;733.14;2.91;18.44;0.000000;0.004838;-999.000000;10182.4100
2022-01-05;24:00;250.98;76.52;735.34;3.26;5.78;0.000000;0.027464;-999.000000;9920.0320
2022-01-06;24:00;252.07;74.17;733.85;2.20;43.31;0.000000;0.022750;-999.000000;9738.2550
2022-01-07;24:00;251.10;71.46;726.18;2.94;38.89;0.000000;0.000070;-999.000000;9991.3470
2022-01-08;24:00;250.35;71.96;720.77;4.33;10.71;0.000000;0.000096;-999.000000;9954.6010
2022-01-09;24:00;251.18;77.25;722.16;6.28;347.53;0.000000;0.167144;-999.000000;9151.2780
2022-01-10;24:00;253.41;75.42;723.78;5.16;358.09;0.000000;0.176434;-999.000000;9218.3860
2022-01-11;24:00;250.70;74.48;727.53;5.26;352.98;0.000000;0.109129;-999.000000;9222.3460
2022-01-12;24:00;251.66;74.90;732.62;2.04;8.29;0.000000;0.181962;-999.000000;9001.1410
2022-01-13;24:00;249.78;75.32;728.64;3.37;16.91;0.000000;0.020396;-999.000000;9456.5250
2022-01-14;24:00;248.22;73.02;725.70;5.64;356.49;0.000000;0.028673;-999.000000;9369.6980
2022-01-15;24:00;249.81;73.41;729.67;5.01;341.87;0.000000;0.204294;-999.000000;8404.8900
2022-01-16;24:00;247.44;67.41;729.15;6.27;41.46;0.000000;0.024299;-999.000000;9289.3840
2022-01-17;24:00;249.31;70.83;723.01;8.39;23.40;0.000000;0.000017;-999.000000;9282.4010
2022-01-18;24:00;250.37;67.88;719.87;8.53;36.59;0.000000;0.001837;-999.000000;9090.6230
2022-01-19;24:00;253.41;68.69;729.63;8.79;14.70;0.000000;0.196191;-999.000000;8131.1950
2022-01-20;24:00;258.93;73.26;729.60;9.70;32.37;0.000000;0.395158;-999.000000;7253.7140
2022-01-21;24:00;257.01;69.95;734.83;7.96;10.62;0.000000;0.000645;-999.000000;8360.8000
2022-01-22;24:00;253.85;69.30;738.51;6.83;27.44;0.000000;0.000000;-999.000000;8662.7810
