# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-24.776
# Site longitude (positive means East);134.755
# Site altitude (m);260
# Date beginning;2022-01-01
# Date end;2022-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;24:00;308.77;22.86;967.83;2.51;254.69;0.000027;0.000000;0.000000;8786.5400
2022-01-02;24:00;309.00;18.20;970.31;4.90;140.18;0.000000;0.000000;0.000000;8957.8000
2022-01-03;24:00;308.23;15.97;971.67;5.81;132.00;0.000000;0.000000;0.000000;9088.6810
2022-01-04;24:00;306.02;16.85;973.51;5.59;167.31;0.000001;0.000000;0.000000;8281.4550
2022-01-05;24:00;302.84;19.61;973.34;5.23;163.28;0.000000;0.000000;0.000000;9152.3240
2022-01-06;24:00;300.96;20.36;974.04;5.00;170.55;0.000000;0.000000;0.000000;9244.9290
2022-01-07;24:00;300.63;20.19;975.49;4.05;145.64;0.000000;0.000000;0.000000;9287.4270
2022-01-08;24:00;301.70;18.97;974.57;3.20;117.02;0.000000;0.000000;0.000000;9252.8830
2022-01-09;24:00;304.78;14.26;972.87;2.78;81.62;0.000000;0.000000;0.000000;9181.8970
2022-01-10;24:00;307.42;11.43;973.72;3.34;121.80;0.000000;0.000000;0.000000;9195.3910
2022-01-11;24:00;307.85;12.32;974.88;5.26;132.21;0.000002;0.000000;0.000000;9050.0460
2022-01-12;24:00;308.84;15.14;973.69;5.44;138.92;0.000004;0.000000;0.000000;8713.6250
2022-01-13;24:00;307.46;15.58;972.02;2.57;138.40;0.000043;0.000000;0.000000;8846.1370
2022-01-14;24:00;308.53;16.27;969.19;1.72;357.97;0.000000;0.000000;0.000000;8699.9580
2022-01-15;24:00;308.70;31.39;969.42;3.49;263.17;0.791820;0.000000;0.000000;6221.2790
2022-01-16;24:00;302.37;54.44;971.44;0.71;139.73;21.724060;0.000000;0.000000;3935.5660
2022-01-17;24:00;301.86;61.00;968.91;3.97;358.19;0.710646;0.000000;0.000000;5494.2270
2022-01-18;24:00;303.53;52.91;970.50;1.55;130.57;0.882674;0.000000;0.000000;6626.0420
2022-01-19;24:00;302.79;50.31;973.38;4.89;155.36;0.311875;0.000000;0.000000;7030.7230
2022-01-20;24:00;306.03;39.19;972.72;3.72;135.37;0.231460;0.000000;0.000000;6924.3470
2022-01-21;24:00;302.34;67.14;972.85;2.79;61.49;2.581064;0.000000;0.000000;6291.4800
2022-01-22;24:00;302.27;65.11;971.04;3.17;45.92;12.635676;0.000000;0.000000;6673.0640
2022-01-23;24:00;303.32;56.29;967.58;1.46;177.15;2.299744;0.000000;0.000000;7551.0190
2022-01-24;24:00;305.17;41.13;965.90;1.46;63.00;0.171107;0.000000;0.000000;8392.0350
2022-01-25;24:00;305.11;49.43;967.20;3.31;27.54;14.256140;0.000000;0.000000;6367.9660
2022-01-26;24:00;304.20;47.24;967.81;2.49;15.13;1.627528;0.000000;0.000000;4749.9560
2022-01-27;24:00;306.05;40.47;967.77;3.47;104.69;0.159122;0.000000;0.000000;7701.0890
2022-01-28;24:00;305.07;49.47;969.56;5.92;129.34;3.536262;0.000000;0.000000;7352.9100
2022-01-29;24:00;301.37;71.48;969.35;6.28;106.39;4.542156;0.000000;0.000000;7199.8570
2022-01-30;24:00;302.41;60.30;967.78;4.86;78.99;2.429854;0.000000;0.000000;7294.5500
2022-01-31;24:00;299.69;84.38;965.40;4.96;57.28;12.249940;0.000000;0.000000;4445.6710
2022-02-01;24:00;299.52;80.22;966.07;2.74;151.16;48.956292;0.000000;0.000000;3947.2690
2022-02-02;24:00;294.66;78.44;972.24;6.92;156.39;4.878169;0.000000;0.000000;5638.3210
2022-02-03;24:00;294.86;41.75;975.41;5.65;139.42;0.000000;0.000000;0.000000;8638.0390
2022-02-04;24:00;295.93;32.43;975.91;4.89;124.53;0.000000;0.000000;0.000000;9017.6580
2022-02-05;24:00;296.94;31.27;975.01;3.46;137.91;0.000000;0.000000;0.000000;8963.4280
2022-02-06;24:00;299.56;31.32;974.27;2.10;133.42;0.000000;0.000000;0.000000;8816.0300
2022-02-07;24:00;301.69;26.63;972.36;0.54;47.41;0.000000;0.000000;0.000000;8619.9320
2022-02-08;24:00;303.82;32.96;971.53;1.66;197.36;0.000010;0.000000;0.000000;7586.2240
2022-02-09;24:00;300.77;40.17;975.07;3.36;154.80;0.000013;0.000000;0.000000;6665.3450
2022-02-10;24:00;300.40;32.19;977.51;4.32;156.27;0.000003;0.000000;0.000000;7972.1480
2022-02-11;24:00;299.89;32.20;976.38;4.89;149.18;0.000000;0.000000;0.000000;8632.0360
2022-02-12;24:00;300.01;26.31;974.55;3.27;132.10;0.000000;0.000000;0.000000;8631.1680
2022-02-13;24:00;301.50;21.60;975.87;3.03;141.85;0.000000;0.000000;0.000000;8687.1590
2022-02-14;24:00;305.66;34.54;977.58;2.66;86.14;0.039919;0.000000;0.000000;8152.4370
2022-02-15;24:00;304.23;33.32;976.26;2.90;82.46;0.000102;0.000000;0.000000;7881.6130
2022-02-16;24:00;303.46;30.58;974.96;3.19;140.22;0.000000;0.000000;0.000000;7962.0140
2022-02-17;24:00;302.10;36.17;977.04;5.60;151.95;0.000163;0.000000;0.000000;8313.0560
2022-02-18;24:00;298.41;34.04;978.92;5.15;158.60;0.000000;0.000000;0.000000;8407.2900
2022-02-19;24:00;298.70;30.79;976.83;3.00;134.49;0.000000;0.000000;0.000000;8399.4410
2022-02-20;24:00;299.65;29.93;973.31;3.98;154.15;0.000000;0.000000;0.000000;8407.0350
2022-02-21;24:00;298.34;35.36;973.97;3.36;159.94;0.000000;0.000000;0.000000;8283.0400
2022-02-22;24:00;299.02;29.43;973.98;2.55;150.01;0.000000;0.000000;0.000000;8324.6090
2022-02-23;24:00;300.22;26.35;974.58;3.31;168.03;0.000000;0.000000;0.000000;8266.3480
2022-02-24;24:00;301.70;31.23;974.29;4.61;135.24;0.000000;0.000000;0.000000;8169.4200
2022-02-25;24:00;302.84;35.37;973.35;5.01;135.96;0.000400;0.000000;0.000000;8019.6740
2022-02-26;24:00;303.86;35.75;972.73;4.55;129.31;0.000208;0.000000;0.000000;7961.3600
2022-02-27;24:00;303.87;33.05;972.56;3.19;106.16;0.000000;0.000000;0.000000;7914.7440
2022-02-28;24:00;304.63;29.51;972.15;2.73;123.31;0.000000;0.000000;0.000000;7924.6120
2022-03-01;24:00;304.40;27.79;971.48;1.97;119.42;0.000000;0.000000;0.000000;7933.6720
2022-03-02;24:00;304.55;25.54;971.25;2.33;84.94;0.000000;0.000000;0.000000;7856.8520
2022-03-03;24:00;304.52;24.95;972.73;3.17;95.46;0.000000;0.000000;0.000000;6487.4350
2022-03-04;24:00;304.67;29.05;974.22;5.59;138.71;0.000000;0.000000;0.000000;7728.0070
2022-03-05;24:00;301.21;35.31;976.73;5.34;148.50;0.000007;0.000000;0.000000;7310.3960
2022-03-06;24:00;300.30;35.16;976.75;3.80;145.60;0.000422;0.000000;0.000000;7369.1600
2022-03-07;24:00;300.15;30.95;975.47;5.38;167.53;0.000000;0.000000;0.000000;7739.1220
2022-03-08;24:00;297.95;31.08;977.48;5.28;162.56;0.000000;0.000000;0.000000;7842.0200
2022-03-09;24:00;298.32;26.84;978.63;4.22;140.06;0.000000;0.000000;0.000000;7771.5280
2022-03-10;24:00;298.16;23.66;978.28;3.83;137.89;0.000000;0.000000;0.000000;7674.2480
2022-03-11;24:00;298.39;19.84;977.43;3.57;132.46;0.000000;0.000000;0.000000;7450.5020
2022-03-12;24:00;299.78;16.34;977.22;3.17;130.89;0.000000;0.000000;0.000000;7764.7150
2022-03-13;24:00;301.60;15.66;976.53;1.97;106.08;0.000000;0.000000;0.000000;7258.4830
2022-03-14;24:00;303.04;16.80;974.54;2.53;107.65;0.000000;0.000000;0.000000;7470.4290
2022-03-15;24:00;303.76;21.07;973.17;2.00;85.98;0.000000;0.000000;0.000000;7418.2720
2022-03-16;24:00;305.96;24.25;973.08;2.07;51.50;0.000001;0.000000;0.000000;7221.3510
2022-03-17;24:00;305.22;23.05;974.61;3.71;147.41;0.000000;0.000000;0.000000;7184.3650
2022-03-18;24:00;304.87;25.58;974.81;2.82;104.38;0.000006;0.000000;0.000000;7184.9580
2022-03-19;24:00;304.25;26.59;976.09;3.93;108.35;0.000000;0.000000;0.000000;7210.6780
2022-03-20;24:00;302.89;27.77;977.20;4.87;129.61;0.000000;0.000000;0.000000;7193.5160
2022-03-21;24:00;302.71;25.76;975.85;2.93;98.97;0.000000;0.000000;0.000000;7160.1670
2022-03-22;24:00;303.20;22.85;973.65;2.32;133.05;0.000000;0.000000;0.000000;7143.0000
2022-03-23;24:00;302.55;30.46;973.86;4.37;109.16;0.000069;0.000000;0.000000;6343.0470
2022-03-24;24:00;301.19;39.06;976.20;5.23;124.56;0.001088;0.000000;0.000000;6287.2740
2022-03-25;24:00;297.59;36.26;978.95;4.76;121.08;0.000100;0.000000;0.000000;6251.8870
2022-03-26;24:00;296.47;22.55;977.79;3.31;127.49;0.000000;0.000000;0.000000;7124.0430
2022-03-27;24:00;297.20;21.69;976.94;2.57;101.89;0.000000;0.000000;0.000000;7189.6630
2022-03-28;24:00;298.75;21.70;977.59;3.05;113.75;0.000000;0.000000;0.000000;6929.8750
2022-03-29;24:00;299.79;25.03;977.71;3.19;106.04;0.000000;0.000000;0.000000;6517.3380
2022-03-30;24:00;298.85;36.10;979.94;5.22;148.93;0.000002;0.000000;0.000000;4952.0130
2022-03-31;24:00;295.52;30.08;980.89;5.58;150.50;0.000000;0.000000;0.000000;6692.6890
2022-04-01;24:00;293.89;27.90;979.59;4.21;142.49;0.000000;0.000000;0.000000;5492.6970
2022-04-02;24:00;294.22;32.28;978.31;3.32;135.15;0.000000;0.000000;0.000000;5643.0050
2022-04-03;24:00;294.07;21.72;978.56;1.95;122.07;0.000000;0.000000;0.000000;6886.9310
