# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);39.906
# Site longitude (positive means East);116.391
# Site altitude (m);222
# Date beginning;2022-01-01
# Date end;2022-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;24:00;268.63;52.20;1010.50;4.64;335.32;0.000000;0.000476;0.000238;2547.2810
2022-01-02;24:00;268.04;58.07;1008.43;1.34;211.42;0.000000;0.000000;0.000222;2678.2290
2022-01-03;24:00;269.49;49.03;1009.70;3.17;359.34;0.000000;0.000000;0.000194;2740.3750
2022-01-04;24:00;268.70;75.17;1011.14;1.13;82.40;0.000000;0.029399;0.000180;2405.4530
2022-01-05;24:00;269.54;68.46;1011.95;1.54;351.80;0.000000;0.002206;0.000154;2359.7860
2022-01-06;24:00;270.49;68.30;1014.53;0.82;79.06;0.000000;0.027359;0.000126;2708.4910
2022-01-07;24:00;271.03;74.90;1007.77;1.80;289.48;0.000002;0.005145;0.000099;2089.2190
2022-01-08;24:00;273.47;56.04;1006.76;2.23;357.71;0.000000;0.002796;0.000071;2811.3660
2022-01-09;24:00;270.35;79.30;1006.17;0.92;42.17;0.002437;0.024842;0.000058;1794.4490
2022-01-10;24:00;266.20;46.89;1009.48;4.22;354.35;0.000000;0.000002;0.000054;2941.4100
