# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);52.517
# Site longitude (positive means East);13.389
# Site altitude (m);49
# Date beginning;2022-01-01
# Date end;2022-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;24:00;283.12;94.65;1014.55;4.96;263.43;0.708575;0.000000;0.000145;563.4345
2022-01-02;24:00;281.13;92.14;1004.99;6.70;230.53;1.745705;0.000000;0.000002;224.1186
2022-01-03;24:00;280.94;89.76;998.94;7.76;251.33;3.003708;0.000000;0.000000;587.0479
2022-01-04;24:00;278.77;94.62;989.29;4.14;240.39;0.559714;0.000000;0.000000;252.3146
2022-01-05;24:00;275.76;90.00;991.01;6.99;251.97;2.087925;0.000210;0.000000;779.4153
2022-01-06;24:00;272.24;89.61;1007.20;4.54;286.64;0.104503;0.005436;0.000000;1121.3260
2022-01-07;24:00;272.70;91.93;1006.38;5.63;205.25;0.970061;0.200246;0.000164;418.1564
2022-01-08;24:00;272.64;92.28;1001.09;4.23;211.85;0.021635;0.132869;0.003250;839.7853
2022-01-09;24:00;272.99;93.46;992.41;3.82;159.42;0.904159;0.026481;0.003162;565.9944
2022-01-10;24:00;273.39;95.64;1013.76;1.31;71.92;0.430555;0.015492;0.002827;585.2968
2022-01-11;24:00;270.22;89.02;1028.25;2.65;152.55;0.000000;0.028527;0.003049;1201.3730
