# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-10.333
# Site longitude (positive means East);-53.200
# Site altitude (m);308
# Date beginning;2022-01-01
# Date end;2022-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;24:00;297.41;91.07;972.78;0.79;348.45;19.845482;0.000000;0.000000;5021.7770
2022-01-02;24:00;297.17;91.24;974.26;0.80;359.95;11.014884;0.000000;0.000000;5317.9120
2022-01-03;24:00;297.43;90.62;974.58;0.69;343.88;3.494116;0.000000;0.000000;5017.4780
2022-01-04;24:00;297.43;89.18;973.52;0.66;317.98;3.417190;0.000000;0.000000;5421.9730
2022-01-05;24:00;297.73;86.67;973.02;0.65;343.72;4.265809;0.000000;0.000000;6070.9060
2022-01-06;24:00;298.34;85.08;973.01;0.56;346.82;4.947822;0.000000;0.000000;6168.7450
2022-01-07;24:00;297.26;93.02;973.10;0.87;328.13;10.796540;0.000000;0.000000;3863.6440
2022-01-08;24:00;296.66;93.41;973.69;0.84;332.37;11.103998;0.000000;0.000000;3630.9570
2022-01-09;24:00;297.02;92.03;974.46;0.86;321.96;18.572116;0.000000;0.000000;5223.3830
2022-01-10;24:00;297.46;88.27;974.22;0.73;329.77;7.615206;0.000000;0.000000;5899.5110
2022-01-11;24:00;297.62;87.76;973.22;0.76;354.54;3.683992;0.000000;0.000000;5998.9630
2022-01-12;24:00;297.04;89.68;974.48;0.79;1.33;5.510527;0.000000;0.000000;3911.3680
2022-01-13;24:00;297.04;89.78;975.75;0.73;33.92;6.533446;0.000000;0.000000;4938.2570
2022-01-14;24:00;297.89;88.39;977.11;0.82;88.95;5.953694;0.000000;0.000000;5091.0000
2022-01-15;24:00;297.58;93.42;977.39;0.63;107.34;7.349854;0.000000;0.000000;2537.4700
2022-01-16;24:00;298.14;87.05;975.61;0.29;34.56;4.193903;0.000000;0.000000;6220.6650
2022-01-17;24:00;296.96;89.81;975.61;0.50;64.46;7.204342;0.000000;0.000000;3703.8660
2022-01-18;24:00;297.48;90.60;975.54;0.32;142.39;6.978197;0.000000;0.000000;5083.1660
2022-01-19;24:00;297.58;91.19;976.66;0.64;100.20;14.339686;0.000000;0.000000;4606.6410
2022-01-20;24:00;297.54;84.72;976.16;0.58;72.68;8.403095;0.000000;0.000000;7620.1750
2022-01-21;24:00;298.67;82.89;974.87;0.61;90.41;2.544668;0.000000;0.000000;7533.3960
2022-01-22;24:00;299.14;81.18;973.89;0.59;181.30;2.595093;0.000000;0.000000;7530.4940
2022-01-23;24:00;299.35;84.43;973.38;0.18;159.34;6.278630;0.000000;0.000000;4375.3270
2022-01-24;24:00;298.68;87.70;972.78;0.49;357.51;9.874019;0.000000;0.000000;5311.6180
2022-01-25;24:00;297.82;89.42;973.73;0.59;0.92;6.296854;0.000000;0.000000;5307.3280
2022-01-26;24:00;297.00;92.02;974.04;0.58;352.28;10.210306;0.000000;0.000000;3217.7150
2022-01-27;24:00;297.03;87.14;974.18;0.62;355.86;14.152374;0.000000;0.000000;5147.8500
2022-01-28;24:00;297.34;86.23;972.60;0.62;4.17;5.580043;0.000000;0.000000;6599.1730
2022-01-29;24:00;297.48;88.29;972.38;0.69;3.43;20.968157;0.000000;0.000000;4609.7580
2022-01-30;24:00;296.18;94.58;974.39;0.75;10.13;17.557600;0.000000;0.000000;2949.7600
2022-01-31;24:00;296.98;89.57;974.50;0.78;3.08;7.085617;0.000000;0.000000;7029.8490
2022-02-01;24:00;297.71;88.15;974.66;0.58;12.49;9.207216;0.000000;0.000000;5692.3110
2022-02-02;24:00;298.07;87.21;974.64;0.32;26.12;7.908365;0.000000;0.000000;3695.4970
2022-02-03;24:00;297.74;89.15;974.71;0.51;305.85;11.851488;0.000000;0.000000;3406.8410
2022-02-04;24:00;298.06;85.81;975.03;0.39;341.39;1.887194;0.000000;0.000000;5641.0820
2022-02-05;24:00;298.66;86.02;974.17;0.32;329.17;5.133121;0.000000;0.000000;4846.3870
2022-02-06;24:00;298.55;86.27;974.16;0.39;163.98;8.337010;0.000000;0.000000;4058.6200
2022-02-07;24:00;298.19;85.06;974.73;0.48;190.04;5.867273;0.000000;0.000000;6555.5360
2022-02-08;24:00;297.74;90.20;974.12;0.30;188.72;10.314788;0.000000;0.000000;3636.5890
2022-02-09;24:00;297.57;87.31;973.61;0.41;295.22;6.926911;0.000000;0.000000;5640.1430
2022-02-10;24:00;297.51;89.46;973.63;0.35;141.76;6.086891;0.000000;0.000000;6600.4340
2022-02-11;24:00;297.13;91.58;973.53;0.47;42.44;19.461470;0.000000;0.000000;3908.4440
2022-02-12;24:00;296.82;91.82;973.81;0.50;43.53;12.051630;0.000000;0.000000;2597.3250
2022-02-13;24:00;297.00;89.96;973.55;0.73;51.73;6.418969;0.000000;0.000000;5646.7910
2022-02-14;24:00;297.62;87.71;973.57;0.74;30.30;9.829087;0.000000;0.000000;6436.5780
2022-02-15;24:00;298.23;87.19;974.61;0.41;308.39;42.787548;0.000000;0.000000;5577.1570
2022-02-16;24:00;296.92;92.20;975.27;0.67;273.34;54.696672;0.000000;0.000000;2303.1960
2022-02-17;24:00;297.76;85.14;975.01;0.38;3.35;3.428008;0.000000;0.000000;6093.8750
2022-02-18;24:00;297.35;91.67;972.78;0.62;347.87;7.018898;0.000000;0.000000;4471.0420
2022-02-19;24:00;296.50;91.19;973.30;0.73;327.69;8.169260;0.000000;0.000000;3991.6170
2022-02-20;24:00;296.54;88.13;975.15;0.47;39.71;10.745953;0.000000;0.000000;4782.4720
2022-02-21;24:00;297.55;91.77;975.21;0.62;90.78;10.571497;0.000000;0.000000;4897.7470
2022-02-22;24:00;297.69;92.45;974.98;0.69;137.45;10.158098;0.000000;0.000000;3251.9320
2022-02-23;24:00;297.38;91.74;974.40;0.53;171.51;7.892424;0.000000;0.000000;2881.9970
2022-02-24;24:00;297.91;84.60;974.61;0.28;64.74;2.519610;0.000000;0.000000;6868.1460
2022-02-25;24:00;298.72;87.21;975.47;0.76;109.34;5.042275;0.000000;0.000000;5830.0560
2022-02-26;24:00;298.90;89.57;975.08;0.71;119.08;5.005692;0.000000;0.000000;4434.2370
2022-02-27;24:00;298.64;88.22;974.48;0.48;61.78;6.994256;0.000000;0.000000;3332.5910
