# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-25.746
# Site longitude (positive means East);28.188
# Site altitude (m);1199
# Date beginning;2022-01-01
# Date end;2022-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;24:00;295.22;70.39;863.95;3.45;326.84;1.214673;0.000000;0.000000;8506.5480
2022-01-02;24:00;296.48;58.19;863.46;1.78;329.59;0.308413;0.000000;0.000000;9074.5620
2022-01-03;24:00;295.80;65.78;863.58;2.44;355.87;1.694250;0.000000;0.000000;8130.2660
2022-01-04;24:00;295.25;69.02;864.02;1.97;2.66;2.358741;0.000000;0.000000;7707.4690
2022-01-05;24:00;296.02;62.59;864.57;1.32;323.97;1.544881;0.000000;0.000000;7354.0410
2022-01-06;24:00;294.76;71.59;865.45;2.35;50.63;13.076456;0.000000;0.000000;6545.1490
2022-01-07;24:00;294.60;70.19;866.15;2.84;45.54;9.243576;0.000000;0.000000;6397.2580
2022-01-08;24:00;294.01;67.39;867.04;3.10;43.62;2.260417;0.000000;0.000000;6922.3280
2022-01-09;24:00;294.07;64.37;865.21;2.91;40.95;1.699293;0.000000;0.000000;7625.0660
2022-01-10;24:00;295.19;58.37;862.36;2.13;358.04;0.057273;0.000000;0.000000;8727.3310
2022-01-11;24:00;296.95;56.66;862.39;0.15;10.38;1.734967;0.000000;0.000000;7660.4610
2022-01-12;24:00;294.80;72.25;865.15;2.63;81.15;4.204555;0.000000;0.000000;5161.4500
2022-01-13;24:00;295.40;68.26;866.03;1.94;62.69;1.250421;0.000000;0.000000;7542.9160
2022-01-14;24:00;295.63;67.20;865.59;3.09;55.71;2.885736;0.000000;0.000000;7534.0770
2022-01-15;24:00;294.88;65.48;864.43;2.71;40.42;1.968961;0.000000;0.000000;7962.1170
2022-01-16;24:00;294.58;70.14;863.79;2.04;351.28;3.134849;0.000000;0.000000;7478.6740
2022-01-17;24:00;294.05;72.94;864.41;2.01;28.72;5.054983;0.000000;0.000000;7025.3310
2022-01-18;24:00;292.85;74.92;865.45;0.86;22.94;3.132031;0.000000;0.000000;5196.3700
2022-01-19;24:00;294.81;70.34;865.73;2.13;119.24;4.230115;0.000000;0.000000;7604.3820
2022-01-20;24:00;293.90;69.41;866.44;2.80;107.34;4.864907;0.000000;0.000000;8369.9580
2022-01-21;24:00;293.24;55.06;867.56;4.01;110.77;0.000107;0.000000;0.000000;9196.0600
2022-01-22;24:00;291.41;58.28;870.62;4.96;105.34;0.060194;0.000000;0.000000;9021.4650
2022-01-23;24:00;291.56;56.32;870.25;3.58;97.33;0.056090;0.000000;0.000000;9172.6910
2022-01-24;24:00;294.47;53.64;867.15;1.95;150.92;0.033800;0.000000;0.000000;8611.3800
2022-01-25;24:00;296.55;51.52;864.55;2.53;99.04;0.071751;0.000000;0.000000;8217.4800
2022-01-26;24:00;296.01;56.10;864.44;3.26;81.48;0.213414;0.000000;0.000000;8967.1930
2022-01-27;24:00;294.53;72.65;863.73;3.04;63.42;8.645047;0.000000;0.000000;6181.8010
2022-01-28;24:00;295.53;69.25;862.53;2.15;61.95;9.069919;0.000000;0.000000;7356.7570
2022-01-29;24:00;293.97;75.61;864.23;4.12;83.94;9.170251;0.000000;0.000000;5530.3230
2022-01-30;24:00;292.58;78.51;865.22;3.19;61.94;3.172965;0.000000;0.000000;4193.2530
2022-01-31;24:00;293.56;72.19;864.56;3.44;38.69;2.292766;0.000000;0.000000;8060.1940
2022-02-01;24:00;293.86;64.36;863.95;2.68;38.11;0.074312;0.000000;0.000000;8512.9630
2022-02-02;24:00;296.22;54.30;863.27;1.67;19.50;0.047984;0.000000;0.000000;8731.8480
2022-02-03;24:00;298.02;52.82;862.77;1.05;274.69;0.005876;0.000000;0.000000;8732.6740
2022-02-04;24:00;296.95;64.34;863.83;2.15;93.12;41.707512;0.000000;0.000000;7123.2810
2022-02-05;24:00;292.61;73.22;866.24;5.68;110.97;15.025118;0.000000;0.000000;5739.6400
2022-02-06;24:00;292.77;64.15;866.80;4.51;107.90;0.023841;0.000000;0.000000;8675.2390
2022-02-07;24:00;294.51;60.16;865.30;1.85;109.66;0.039109;0.000000;0.000000;8582.2560
2022-02-08;24:00;295.05;61.01;863.51;0.99;244.81;0.343913;0.000000;0.000000;8158.4590
2022-02-09;24:00;297.35;46.95;862.52;0.68;196.01;0.000381;0.000000;0.000000;8453.3390
2022-02-10;24:00;296.80;53.05;863.84;1.46;46.44;0.169995;0.000000;0.000000;7696.9910
2022-02-11;24:00;295.95;53.91;865.11;2.46;55.75;0.217948;0.000000;0.000000;7803.3400
2022-02-12;24:00;294.63;46.03;866.34;2.76;49.82;0.000000;0.000000;0.000000;8104.4770
2022-02-13;24:00;296.18;43.67;864.40;0.48;97.46;0.000000;0.000000;0.000000;7971.2440
2022-02-14;24:00;296.75;51.19;864.89;4.05;82.67;0.136545;0.000000;0.000000;7755.5960
2022-02-15;24:00;295.67;55.95;867.18;2.82;67.93;0.011979;0.000000;0.000000;8358.8540
2022-02-16;24:00;296.89;55.85;865.96;0.49;101.46;0.285965;0.000000;0.000000;7799.1160
2022-02-17;24:00;296.46;58.84;864.32;1.76;62.90;1.909393;0.000000;0.000000;7134.8030
2022-02-18;24:00;294.99;66.90;865.15;1.91;41.83;2.507907;0.000000;0.000000;7152.7660
2022-02-19;24:00;295.09;65.76;864.60;1.65;316.62;1.920428;0.000000;0.000000;7153.6150
2022-02-20;24:00;297.28;46.68;862.88;2.80;208.80;0.012223;0.000000;0.000000;8162.1750
2022-02-21;24:00;297.41;41.22;862.87;2.09;174.17;0.003070;0.000000;0.000000;7699.2440
2022-02-22;24:00;297.04;46.78;863.96;1.01;60.64;0.163684;0.000000;0.000000;8093.3180
2022-02-23;24:00;296.47;56.02;865.47;1.35;55.18;0.930175;0.000000;0.000000;7252.2390
2022-02-24;24:00;296.65;49.84;864.57;0.43;55.38;0.010635;0.000000;0.000000;7902.8700
2022-02-25;24:00;296.24;56.45;864.64;0.81;64.02;0.617510;0.000000;0.000000;7342.9410
2022-02-26;24:00;295.67;56.70;865.86;0.32;35.68;0.900674;0.000000;0.000000;6596.4650
2022-02-27;24:00;295.26;61.38;865.72;1.04;359.69;1.072204;0.000000;0.000000;7010.2330
2022-02-28;24:00;294.87;61.06;864.88;0.98;213.34;0.850915;0.000000;0.000000;6267.5050
2022-03-01;24:00;295.87;54.25;863.37;0.59;322.18;0.164620;0.000000;0.000000;7462.9320
2022-03-02;24:00;295.96;56.21;863.31;0.64;333.32;0.303682;0.000000;0.000000;7427.2200
2022-03-03;24:00;296.42;52.67;863.21;2.04;29.74;0.051492;0.000000;0.000000;7508.3050
2022-03-04;24:00;295.98;60.53;862.92;0.45;353.07;0.620040;0.000000;0.000000;5819.7310
2022-03-05;24:00;294.70;69.30;865.37;3.03;72.64;9.264596;0.000000;0.000000;5728.2130
2022-03-06;24:00;293.84;56.67;866.03;2.82;56.86;0.032773;0.000000;0.000000;7932.5100
2022-03-07;24:00;295.18;59.00;864.53;1.16;48.98;0.223686;0.000000;0.000000;7500.6400
2022-03-08;24:00;294.53;62.09;864.63;1.35;182.73;3.652175;0.000000;0.000000;5695.4240
2022-03-09;24:00;293.25;74.62;865.31;0.87;98.63;5.377180;0.000000;0.000000;4108.0620
2022-03-10;24:00;295.37;64.68;865.73;1.58;118.08;1.222433;0.000000;0.000000;5958.7050
2022-03-11;24:00;295.29;62.08;867.02;3.27;78.60;1.233480;0.000000;0.000000;6036.5830
2022-03-12;24:00;295.21;56.78;864.82;1.24;46.23;0.040073;0.000000;0.000000;7120.2950
2022-03-13;24:00;295.43;55.86;861.96;1.80;338.94;0.273563;0.000000;0.000000;6794.2810
2022-03-14;24:00;295.93;51.51;861.23;1.40;320.91;7.445563;0.000000;0.000000;7101.4900
2022-03-15;24:00;293.46;73.67;862.35;1.68;44.50;9.230882;0.000000;0.000000;5048.8860
2022-03-16;24:00;291.45;75.95;864.04;3.33;61.56;2.944351;0.000000;0.000000;5539.0180
2022-03-17;24:00;290.30;75.39;867.77;3.70;73.47;0.768458;0.000000;0.000000;5158.9930
2022-03-18;24:00;291.48;69.21;869.29;2.33;77.67;0.157801;0.000000;0.000000;6465.8530
2022-03-19;24:00;292.30;53.70;868.55;2.03;83.03;0.033156;0.000000;0.000000;6476.6820
2022-03-20;24:00;292.69;54.04;867.83;1.91;58.79;0.004316;0.000000;0.000000;6664.2620
2022-03-21;24:00;290.86;63.35;868.12;1.28;84.71;1.141772;0.000000;0.000000;5560.9840
2022-03-22;24:00;292.02;60.43;867.79;1.39;36.41;0.145707;0.000000;0.000000;6412.6990
2022-03-23;24:00;292.61;58.99;866.81;1.72;357.31;0.124840;0.000000;0.000000;6646.9830
2022-03-24;24:00;293.60;51.71;863.19;2.94;279.12;0.002824;0.000000;0.000000;6789.2100
2022-03-25;24:00;292.71;67.90;862.94;1.69;267.54;2.067546;0.000000;0.000000;3641.6080
2022-03-26;24:00;292.73;68.46;864.19;0.78;30.42;2.294805;0.000000;0.000000;5240.9830
2022-03-27;24:00;293.66;51.33;866.98;0.88;134.08;0.164163;0.000000;0.000000;6928.5920
2022-03-28;24:00;292.49;63.00;868.88;2.56;29.83;0.397032;0.000000;0.000000;6656.7750
2022-03-29;24:00;292.43;59.03;867.00;2.53;19.49;0.249936;0.000000;0.000000;6780.4490
2022-03-30;24:00;292.90;47.54;866.02;1.34;347.02;0.000000;0.000000;0.000000;6905.6770
2022-03-31;24:00;293.29;42.14;866.19;1.38;8.28;0.000000;0.000000;0.000000;6864.8340
2022-04-01;24:00;292.98;51.80;865.51;1.14;327.64;0.020664;0.000000;0.000000;6387.3900
2022-04-02;24:00;293.78;52.11;864.17;1.61;13.95;0.066632;0.000000;0.000000;6316.8070
2022-04-03;24:00;293.17;65.24;863.45;2.44;21.69;0.136911;0.000000;0.000000;5376.0150
2022-04-04;24:00;291.18;74.02;862.91;1.15;15.13;11.829737;0.000000;0.000000;3741.7810
2022-04-05;24:00;291.74;59.21;863.71;2.17;291.50;0.060758;0.000000;0.000000;6606.3600
2022-04-06;24:00;292.45;49.21;864.32;2.76;257.44;0.003976;0.000000;0.000000;6342.0990
2022-04-07;24:00;290.22;42.02;866.68;2.93;184.28;0.000035;0.000000;0.000000;6598.8070
2022-04-08;24:00;289.66;71.07;869.62;3.63;45.16;2.341595;0.000000;0.000000;4645.6480
2022-04-09;24:00;288.51;75.47;869.74;4.40;51.92;2.305767;0.000000;0.000000;4563.7850
2022-04-10;24:00;288.02;76.52;869.45;4.58;58.19;26.777228;0.000000;0.000000;4966.3170
2022-04-11;24:00;289.11;78.82;868.23;1.82;39.09;3.469893;0.000000;0.000000;5523.1280
2022-04-12;24:00;289.89;73.90;865.23;1.98;275.76;0.989746;0.000000;0.000000;5248.5120
2022-04-13;24:00;289.64;63.55;862.10;2.63;235.14;0.000141;0.000000;0.000000;6253.6220
2022-04-14;24:00;289.95;60.34;862.69;1.72;259.50;0.000000;0.000000;0.000000;5592.8570
2022-04-15;24:00;292.31;46.94;865.60;0.59;284.38;0.000027;0.000000;0.000000;6203.2670
2022-04-16;24:00;289.12;78.22;869.42;4.47;88.36;20.350649;0.000000;0.000000;4473.1840
2022-04-17;24:00;286.63;87.61;869.33;2.30;60.62;11.985818;0.000000;0.000000;3206.2680
2022-04-18;24:00;287.43;74.89;868.35;3.31;160.62;0.636069;0.000000;0.000000;5045.2190
2022-04-19;24:00;287.16;70.92;870.16;4.32;116.69;0.052795;0.000000;0.000000;5475.6470
2022-04-20;24:00;287.31;66.91;870.03;2.53;98.57;0.020965;0.000000;0.000000;5866.7270
2022-04-21;24:00;289.61;67.31;868.46;0.30;96.66;0.021620;0.000000;0.000000;5753.9730
2022-04-22;24:00;290.44;67.58;866.05;0.64;227.86;0.138016;0.000000;0.000000;5247.6450
2022-04-23;24:00;289.88;74.55;865.02;1.40;339.36;0.568871;0.000000;0.000000;5347.6150
2022-04-24;24:00;290.68;72.27;864.40;2.19;328.19;0.577136;0.000000;0.000000;5182.2570
2022-04-25;24:00;288.89;71.07;865.59;2.40;217.69;0.646412;0.000000;0.000000;5207.9930
2022-04-26;24:00;286.33;51.68;867.52;2.35;184.05;0.000100;0.000000;0.000000;5800.5400
2022-04-27;24:00;285.86;57.11;869.99;1.63;91.90;0.006648;0.000000;0.000000;5716.7710
2022-04-28;24:00;285.92;74.70;869.28;1.50;295.53;0.178694;0.000000;0.000000;5029.9900
2022-04-29;24:00;287.61;71.70;866.80;3.02;263.08;0.047137;0.000000;0.000000;5349.3790
2022-04-30;24:00;288.42;63.80;866.60;3.13;210.74;5.022965;0.000000;0.000000;5283.4470
2022-05-01;24:00;287.96;57.08;871.61;1.64;117.15;0.046283;0.000000;0.000000;5392.7380
2022-05-02;24:00;287.73;55.24;872.30;0.32;49.39;0.006263;0.000000;0.000000;5391.9900
2022-05-03;24:00;287.84;61.24;871.26;1.71;232.24;0.000010;0.000000;0.000000;5309.3720
2022-05-04;24:00;288.25;51.47;870.82;2.12;194.77;0.000005;0.000000;0.000000;5285.3040
2022-05-05;24:00;288.32;59.37;869.86;0.85;127.25;0.046068;0.000000;0.000000;5203.6540
2022-05-06;24:00;288.30;53.62;867.25;1.67;233.25;0.000055;0.000000;0.000000;5200.4040
2022-05-07;24:00;288.57;50.77;865.45;1.71;278.43;0.000359;0.000000;0.000000;5204.6640
2022-05-08;24:00;288.01;60.83;865.51;0.41;49.28;0.978264;0.000000;0.000000;4120.8930
2022-05-09;24:00;286.45;64.13;866.86;1.91;169.04;0.048679;0.000000;0.000000;4998.5630
2022-05-10;24:00;286.95;55.70;867.16;0.78;217.26;0.000000;0.000000;0.000000;5158.6040
2022-05-11;24:00;288.39;53.55;866.95;1.95;233.92;0.000000;0.000000;0.000000;5071.7320
2022-05-12;24:00;288.65;55.36;868.05;0.67;339.63;0.000236;0.000000;0.000000;5008.4960
2022-05-13;24:00;288.63;55.15;868.09;1.57;272.23;0.014958;0.000000;0.000000;4971.4520
2022-05-14;24:00;290.50;50.24;868.65;1.84;278.84;0.011337;0.000000;0.000000;4704.1470
2022-05-15;24:00;288.27;68.18;872.72;3.17;69.24;0.620798;0.000000;0.000000;4191.7750
2022-05-16;24:00;286.81;71.08;874.88;3.08;80.86;0.142040;0.000000;0.000000;4474.2880
2022-05-17;24:00;286.63;72.53;872.52;1.40;57.92;1.182274;0.000000;0.000000;3861.8470
2022-05-18;24:00;285.83;69.49;869.17;1.71;1.75;0.268931;0.000000;0.000000;4365.7160
2022-05-19;24:00;286.59;62.04;866.27;1.82;313.78;0.030046;0.000000;0.000000;4598.9920
2022-05-20;24:00;286.95;61.28;862.92;3.12;6.85;0.832116;0.000000;0.000000;4532.0190
2022-05-21;24:00;283.93;82.43;863.40;1.96;25.12;25.505251;0.000000;0.000000;2868.1860
2022-05-22;24:00;283.23;72.31;866.30;2.93;140.56;1.729410;0.000000;0.000000;4116.3050
2022-05-23;24:00;285.04;69.90;866.10;4.75;187.83;0.018910;0.000000;0.000000;4603.5900
2022-05-24;24:00;286.42;59.22;867.28;3.81;193.26;0.000000;0.000000;0.000000;4722.8870
2022-05-25;24:00;287.24;51.32;868.92;2.96;201.61;0.000000;0.000000;0.000000;4805.1160
2022-05-26;24:00;287.12;49.75;870.04;3.44;183.89;0.000000;0.000000;0.000000;4735.8580
2022-05-27;24:00;286.88;53.12;870.47;0.76;1.24;0.004332;0.000000;0.000000;4652.2670
2022-05-28;24:00;286.16;69.55;868.69;2.56;305.99;0.015377;0.000000;0.000000;4531.8750
2022-05-29;24:00;285.78;63.96;867.15;2.89;283.49;0.000000;0.000000;0.000000;4585.2250
2022-05-30;24:00;283.83;48.39;869.72;1.31;187.63;0.009873;0.000000;0.000000;4767.6520
2022-05-31;24:00;281.75;49.77;871.50;4.58;188.31;0.096883;0.000000;0.000000;4729.2700
2022-06-01;24:00;281.77;45.94;872.79;3.05;180.79;0.000000;0.000000;0.000000;4646.6300
2022-06-02;24:00;283.78;41.94;873.33;1.03;127.13;0.000000;0.000000;0.000000;4620.5500
2022-06-03;24:00;283.82;46.16;873.56;0.42;162.20;0.000000;0.000000;0.000000;4578.4070
2022-06-04;24:00;283.39;46.78;872.37;3.02;183.01;0.000000;0.000000;0.000000;4547.8550
2022-06-05;24:00;284.05;51.07;873.95;4.52;107.06;0.012512;0.000000;0.000000;4577.6290
2022-06-06;24:00;284.59;60.36;875.89;2.08;119.92;0.043752;0.000000;0.000000;4417.0280
2022-06-07;24:00;285.05;48.31;873.74;2.83;140.55;0.000000;0.000000;0.000000;4472.8140
2022-06-08;24:00;285.75;42.40;873.01;2.16;93.52;0.000000;0.000000;0.000000;4530.8590
2022-06-09;24:00;284.92;45.58;871.81;2.62;175.25;0.000000;0.000000;0.000000;4509.6970
2022-06-10;24:00;284.09;57.22;872.69;3.03;82.58;0.004325;0.000000;0.000000;4430.8460
2022-06-11;24:00;284.27;66.64;873.03;0.82;17.86;0.215050;0.000000;0.000000;3737.2830
2022-06-12;24:00;284.17;54.45;870.97;1.50;260.34;0.000000;0.000000;0.000000;4474.9930
2022-06-13;24:00;284.03;47.70;867.58;1.91;288.75;0.000000;0.000000;0.000000;4516.5440
2022-06-14;24:00;284.85;55.49;863.32;3.24;301.50;0.652454;0.000000;0.000000;3476.4740
2022-06-15;24:00;280.77;56.82;865.03;5.34;200.48;0.255839;0.000002;0.000000;4506.0510
2022-06-16;24:00;279.40;43.73;868.19;1.41;178.53;0.000002;0.000017;0.000000;4558.6640
2022-06-17;24:00;282.04;44.58;868.00;1.26;288.11;0.000000;0.000000;0.000000;4439.2750
