# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);38.895
# Site longitude (positive means East);-77.037
# Site altitude (m);71
# Date beginning;2022-01-01
# Date end;2022-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-01-01;24:00;284.89;96.22;999.49;2.33;185.19;20.723677;0.000000;0.000000;775.7658
2022-01-02;24:00;286.94;91.52;994.61;2.16;272.73;24.318641;0.000000;0.000000;793.5568
2022-01-03;24:00;274.87;75.10;1007.43;7.01;358.87;2.727241;30.051158;0.023330;759.8364
2022-01-04;24:00;269.74;75.57;1019.35;1.10;303.60;0.000000;0.000017;0.048445;2927.1770
2022-01-05;24:00;272.49;92.07;1008.14;4.07;187.17;0.003882;0.011290;0.036813;878.6574
2022-01-06;24:00;274.96;75.96;1003.53;2.65;292.33;0.009809;0.000000;0.024989;2184.0580
2022-01-07;24:00;271.67;71.77;1006.16;5.25;318.80;0.565736;6.803766;0.031087;2762.9550
2022-01-08;24:00;268.76;64.54;1024.14;2.45;296.64;0.000000;0.000539;0.036380;3043.4410
2022-01-09;24:00;273.36;85.17;1017.16;4.65;191.76;11.263549;0.005319;0.031164;881.7596
2022-01-10;24:00;273.34;68.42;1013.33;6.08;308.77;1.538558;0.000285;0.016978;2917.3870
2022-01-11;24:00;269.11;53.38;1022.19;4.57;314.90;0.000000;0.011258;0.015071;3067.9400
2022-01-12;24:00;271.64;69.39;1016.17;4.16;194.81;0.000000;0.000002;0.012998;2946.9470
2022-01-13;24:00;274.63;83.69;1006.50;0.30;233.53;0.001659;0.000498;0.008117;1298.7810
2022-01-14;24:00;275.22;81.99;1001.42;5.03;347.94;0.003305;0.008018;0.005392;2833.0290
2022-01-15;24:00;269.15;60.87;1013.60;5.12;359.81;0.000465;0.000029;0.002814;1703.6750
2022-01-16;24:00;266.72;73.29;1014.34;4.16;57.51;0.374123;8.397972;0.007757;774.2955
2022-01-17;24:00;274.91;83.45;982.95;3.66;239.30;17.009111;3.961397;0.034215;2038.8500
2022-01-18;24:00;272.74;67.99;1004.36;6.29;287.44;0.004043;0.005039;0.025787;2914.8880
2022-01-19;24:00;274.13;77.62;1010.70;4.12;202.47;0.005990;0.000001;0.017673;2803.6860
2022-01-20;24:00;274.67;86.08;1010.90;3.16;325.36;6.902350;1.696621;0.014804;968.7012
2022-01-21;24:00;267.72;62.11;1022.16;5.59;7.42;0.003314;0.000540;0.020273;2465.4430
2022-01-22;24:00;267.49;61.93;1019.85;2.77;1.98;0.000000;0.027450;0.019525;3528.1610
2022-01-23;24:00;270.27;70.50;1007.06;2.40;223.11;0.006371;0.000001;0.016824;2985.9640
2022-01-24;24:00;272.34;74.92;1002.29;1.12;269.82;0.004150;0.002073;0.011572;2392.8290
2022-01-25;24:00;274.14;79.26;1004.13;2.30;280.09;0.019589;0.004571;0.008177;2929.9610
