# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): -79.4063
# Longitude (positive East, ISO 19115): 0.3149
# Altitude (m): 2387.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;12965.6523;11179.0879;9265.8779;1913.2104;23679.9746
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;12918.8291;10959.8262;9117.2256;1842.6006;23199.9570
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;12867.7871;10944.5635;9126.1973;1818.3666;23269.3887
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;12812.5430;11065.7852;9376.0781;1689.7078;24083.2617
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;12753.1406;10996.3955;9312.1963;1684.1984;24026.3066
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;12689.5576;10924.8721;9290.2520;1634.6194;24088.0879
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;12621.8408;10943.4570;9420.9121;1522.5447;24615.8164
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;12550.0166;10950.6455;9426.0010;1524.6450;24773.1426
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;12474.1123;10810.5879;9280.3613;1530.2272;24467.5586
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;12394.1582;10619.9199;8946.2451;1673.6743;23727.5996
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;12310.1836;10548.1729;8937.0762;1611.0973;23834.6523
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;12222.2217;10310.5693;8512.5225;1798.0471;22848.3965
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;12130.3047;10444.9551;8900.3750;1544.5803;24078.8398
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;12034.4688;10387.4277;8863.2842;1524.1437;24146.1191
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;11934.7480;10196.6689;8603.1055;1593.5629;23627.3008
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;11831.1797;10280.7832;8779.7305;1501.0521;24270.0918
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;11723.8027;10016.9863;8346.3252;1670.6609;23231.6738
