# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 39.9062
# Longitude (positive East, ISO 19115): 116.3913
# Altitude (m): 47.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;3842.7812;2311.5911;1421.0270;890.5641;4121.5171
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;3858.9170;2442.2461;1617.7512;824.4948;4597.5156
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;3876.4414;2426.7097;1538.1569;888.5530;4337.8315
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;3895.3489;2298.0024;1297.9404;1000.0621;3579.4236
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;3915.6252;2164.5054;1097.6814;1066.8239;3011.2026
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;3937.2781;2419.3442;1487.1162;932.2281;4096.6079
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;3960.2903;1640.1339;556.7916;1083.3423;1498.7922
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;3984.6934;2712.2139;1986.8491;725.3649;5515.1572
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;4010.4065;1990.2870;750.3032;1239.9838;2001.8746
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;4037.4487;2976.5325;2393.5317;583.0006;6736.9038
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;4065.8074;2541.4727;1637.4006;904.0721;4401.4390
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;4095.5066;2754.2161;1965.9231;788.2929;5483.1113
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;4126.4785;2885.3132;2179.1182;706.1952;6011.7363
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;4158.7256;2146.7092;1042.2830;1104.4263;2735.0974
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;4192.2769;2965.8662;2237.0352;728.8311;6120.3662
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;4227.0552;2611.9780;1613.1041;998.8738;4309.1924
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;4263.1001;2964.3137;2181.8398;782.4739;5846.8130
2022-01-18T00:00:00.0/2022-01-19T00:00:00.0;4300.3496;2500.7231;1436.4806;1064.2426;3666.5300
2022-01-19T00:00:00.0/2022-01-20T00:00:00.0;4338.8340;2295.6719;999.2265;1296.4453;2544.0542
2022-01-20T00:00:00.0/2022-01-21T00:00:00.0;4378.5322;2487.7053;1239.4352;1248.2701;3124.6768
2022-01-21T00:00:00.0/2022-01-22T00:00:00.0;4419.4077;2453.8789;1109.3970;1344.4818;2790.5596
2022-01-22T00:00:00.0/2022-01-23T00:00:00.0;4461.4053;2581.9858;1322.5786;1259.4073;3284.5554
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;4504.5957;2332.9829;922.9968;1409.9860;2311.8386
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;4548.9062;2420.6040;1072.1870;1348.4171;2629.7861
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;4594.3569;2992.2263;1986.6697;1005.5567;5031.1260
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;4640.8447;3212.0952;2336.7183;875.3771;5918.9868
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;4688.4385;3193.8757;2216.7251;977.1505;5543.7090
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;4737.0781;3310.6128;2399.7573;910.8556;6011.4126
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;4786.7417;3239.8606;2281.1924;958.6684;5583.7930
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;4837.4487;2248.8384;886.5926;1362.2458;2129.9683
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;4889.1128;3579.2349;2792.0132;787.2217;7019.9858
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;4941.7358;3520.0042;2598.9285;921.0757;6370.4922
2022-02-02T00:00:00.0/2022-02-03T00:00:00.0;4995.2935;3446.4419;2411.3452;1035.0967;5750.0430
2022-02-03T00:00:00.0/2022-02-04T00:00:00.0;5049.7617;3560.5413;2573.5381;987.0031;6191.3652
2022-02-04T00:00:00.0/2022-02-05T00:00:00.0;5105.1602;3956.2830;3295.7300;660.5531;8094.1094
2022-02-05T00:00:00.0/2022-02-06T00:00:00.0;5161.3916;3846.1331;3074.9170;771.2161;7442.1924
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;5218.4585;3791.0110;2942.2156;848.7955;6948.3301
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;5276.3345;3768.4009;2856.4990;911.9017;6618.9985
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;5334.9941;3731.7222;2829.3433;902.3788;6371.7422
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;5394.4604;2614.9246;1069.6028;1545.3217;2377.3923
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;5454.6221;3352.6531;2093.2051;1259.4479;4564.0293
