# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 52.5170
# Longitude (positive East, ISO 19115): 13.3889
# Altitude (m): 44.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;1738.5524;949.2097;509.5529;439.6567;2572.1992
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;1753.7344;985.8576;629.7717;356.0859;3168.4475
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;1770.3015;1034.8556;621.5405;413.3150;3085.3513
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;1788.1611;1063.1252;733.2565;329.8687;3737.9543
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;1807.3413;1088.4384;709.0665;379.3719;3569.1055
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;1827.8820;1213.9899;932.3817;281.6082;4781.5654
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;1849.7706;1109.6302;761.1517;348.4786;3801.1528
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;1872.9860;1168.6832;840.1102;328.5731;4167.0610
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;1897.5389;1152.4254;840.3057;312.1197;4143.9248
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;1923.4319;1129.5433;747.4520;382.0913;3625.9209
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;1950.6696;1254.6979;923.2672;331.4307;4440.6226
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;1979.2106;1180.3591;781.6230;398.7361;3718.6282
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;2009.1227;1165.9572;716.5273;449.4299;3311.4836
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;2040.3431;1188.4581;712.9431;475.5150;3277.9087
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;2072.9165;1274.6171;845.5658;429.0513;3842.9912
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;2106.8105;1230.2802;747.7849;482.4952;3466.8804
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;2142.0134;1364.1642;1000.2876;363.8766;4535.8765
2022-01-18T00:00:00.0/2022-01-19T00:00:00.0;2178.5596;1374.0159;993.7809;380.2350;4387.6206
2022-01-19T00:00:00.0/2022-01-20T00:00:00.0;2216.4194;1377.4192;962.5468;414.8724;4224.2378
2022-01-20T00:00:00.0/2022-01-21T00:00:00.0;2255.5691;1462.8424;1004.0590;458.7834;4284.7119
2022-01-21T00:00:00.0/2022-01-22T00:00:00.0;2296.0554;1548.3330;1216.5334;331.7996;5377.5879
2022-01-22T00:00:00.0/2022-01-23T00:00:00.0;2337.8396;1450.4598;992.0717;458.3882;4342.2461
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;2380.9534;1465.3625;995.2148;470.1477;4187.9282
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;2425.3286;1541.1815;1128.1078;413.0736;4724.9409
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;2470.9573;1566.9165;1133.1742;433.7422;4653.7407
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;2517.9246;1602.8625;1169.0925;433.7700;4814.3823
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;2566.1257;1627.1804;1191.5325;435.6479;4702.8154
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;2615.6089;1760.9650;1389.3533;371.6117;5576.6455
