# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): -10.3333
# Longitude (positive East, ISO 19115): -53.2000
# Altitude (m): 300.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;10956.5654;7890.7100;6636.5664;1254.1436;9370.4766
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;10958.5273;7900.6499;6624.8184;1275.8314;9385.1016
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;10960.5527;7838.5654;6380.2754;1458.2898;8926.9053
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;10962.6006;7894.8926;6670.0747;1224.8180;9463.9238
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;10964.6416;7808.4053;6315.8223;1492.5830;8882.2939
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;10966.6689;7709.5566;5983.2505;1726.3065;8215.5039
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;10968.6914;7792.7788;6406.9795;1385.7994;8972.4863
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;10970.6367;7784.2012;6323.7046;1460.4963;8800.1348
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;10972.5713;7917.0312;6836.1133;1080.9181;9739.0547
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;10974.4863;7846.7944;6426.9517;1419.8431;8984.3779
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;10976.3203;7700.7661;5833.8091;1866.9567;8025.0737
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;10978.0488;7898.5825;6646.2681;1252.3145;9311.2988
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;10979.6670;7954.3257;6759.4644;1194.8613;9512.9990
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;10981.3174;7885.5547;6471.9761;1413.5786;8992.9521
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;10982.7412;7973.8862;6685.8184;1288.0677;9379.4463
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;10984.1074;7958.5054;6686.4082;1272.0968;9337.4531
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;10985.2686;7788.4839;6109.5317;1678.9519;8439.3428
