# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): -25.7459
# Longitude (positive East, ISO 19115): 28.1879
# Altitude (m): 1338.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;11974.4248;9208.4697;8068.9551;1139.5143;11529.5859
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;11968.5693;9181.3789;7992.8394;1188.5399;11313.3359
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;11962.0986;9207.1953;7977.3032;1229.8918;11258.1982
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;11954.9062;9105.5625;7854.8730;1250.6896;11074.0322
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;11947.0352;9032.5557;7656.2988;1376.2572;10559.0264
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;11938.5830;8563.6777;5520.2622;3043.4160;7418.6499
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;11929.3760;8716.2988;6337.8730;2378.4255;8379.2090
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;11919.4805;8734.8955;6233.1880;2501.7078;8424.8955
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;11908.8955;8838.4834;6619.8584;2218.6250;9151.0996
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;11897.6816;8994.1191;7377.7749;1616.3438;10350.6123
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;11885.7324;8782.7471;6933.8940;1848.8533;9388.5342
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;11873.0869;8371.4551;5215.0381;3156.4167;6862.9976
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;11859.7432;8340.2920;5507.5415;2832.7502;7383.7168
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;11845.7588;8697.6328;6552.8462;2144.7866;8912.6387
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;11831.0283;8826.6250;6971.3613;1855.2634;9622.5918
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;11815.5898;8781.3477;7171.7822;1609.5656;9992.3994
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;11799.4404;8787.0439;7339.5249;1447.5188;10039.4355
2022-01-18T00:00:00.0/2022-01-19T00:00:00.0;11782.6318;8728.0732;6613.1235;2114.9495;9043.8770
2022-01-19T00:00:00.0/2022-01-20T00:00:00.0;11765.0293;8395.9385;5515.0923;2880.8467;7191.2153
2022-01-20T00:00:00.0/2022-01-21T00:00:00.0;11746.7598;8958.6797;7497.1606;1461.5188;10515.0303
2022-01-21T00:00:00.0/2022-01-22T00:00:00.0;11727.7666;9246.2471;8045.4761;1200.7708;11507.7041
2022-01-22T00:00:00.0/2022-01-23T00:00:00.0;11708.0918;9176.7197;7900.3481;1276.3721;11219.4248
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;11687.6582;9067.1133;7654.2378;1412.8757;10735.2832
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;11666.4658;8746.9971;6736.1714;2010.8256;9391.5654
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;11644.5850;8612.3916;6075.3540;2537.0374;8430.8975
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;11621.9629;8665.6455;6604.4761;2061.1692;8930.9639
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;11598.6328;8679.1416;7184.3008;1494.8405;10054.4160
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;11574.5713;8628.7461;7090.7134;1538.0330;9874.1504
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;11549.7197;8546.4609;6866.5430;1679.9178;9499.9854
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;11524.1953;8628.9971;7377.9492;1251.0479;10443.9443
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;11497.9766;8764.8477;7424.1479;1340.6992;10444.0596
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;11470.9541;8903.7930;7700.6235;1203.1697;10994.1885
2022-02-02T00:00:00.0/2022-02-03T00:00:00.0;11443.2305;8834.7266;7704.7666;1129.9598;11110.0938
2022-02-03T00:00:00.0/2022-02-04T00:00:00.0;11414.7363;8657.1953;7474.6909;1182.5042;10547.2549
2022-02-04T00:00:00.0/2022-02-05T00:00:00.0;11385.6064;8028.8008;5030.5020;2998.2988;6732.9976
2022-02-05T00:00:00.0/2022-02-06T00:00:00.0;11355.6729;8245.0059;5788.3975;2456.6086;7884.5718
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;11324.9941;8656.1660;7212.4482;1443.7174;10245.7500
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;11293.6973;8671.3164;7292.6748;1378.6420;10310.6846
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;11261.5967;8303.4805;6302.1855;2001.2949;8681.7939
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;11228.8164;8336.1641;6642.5479;1693.6160;9157.9150
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;11195.2812;8158.7124;5821.0469;2337.6653;7897.1924
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;11161.0859;8361.0430;6483.8594;1877.1836;9006.4912
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;11126.1816;8661.8691;7523.6675;1138.2015;10827.1289
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;11090.5322;8497.1406;7165.3574;1331.7830;10191.7188
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;11054.2363;8247.5898;6409.4634;1838.1266;8944.6475
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;11017.1943;8313.9775;6720.6724;1593.3049;9559.8174
2022-02-16T00:00:00.0/2022-02-17T00:00:00.0;10979.5078;7977.9536;5790.9150;2187.0386;7906.8101
2022-02-17T00:00:00.0/2022-02-18T00:00:00.0;10941.1582;7851.3896;5304.2188;2547.1709;7133.9551
2022-02-18T00:00:00.0/2022-02-19T00:00:00.0;10902.0762;7876.7817;5635.5684;2241.2131;7649.1392
2022-02-19T00:00:00.0/2022-02-20T00:00:00.0;10862.3574;7944.8799;6127.7764;1817.1034;8362.9590
2022-02-20T00:00:00.0/2022-02-21T00:00:00.0;10821.9443;7988.0479;6212.4419;1775.6057;8674.7754
2022-02-21T00:00:00.0/2022-02-22T00:00:00.0;10780.9111;8160.0723;6814.1025;1345.9698;9831.6094
2022-02-22T00:00:00.0/2022-02-23T00:00:00.0;10739.2383;8044.0708;6459.8140;1584.2570;9142.6143
2022-02-23T00:00:00.0/2022-02-24T00:00:00.0;10696.8789;7637.3799;5147.1450;2490.2349;6902.0083
2022-02-24T00:00:00.0/2022-02-25T00:00:00.0;10653.9180;7697.4922;5415.4238;2282.0684;7452.0820
2022-02-25T00:00:00.0/2022-02-26T00:00:00.0;10610.3057;7783.8530;5801.0435;1982.8094;8004.3652
2022-02-26T00:00:00.0/2022-02-27T00:00:00.0;10566.0635;7672.9595;5401.2661;2271.6934;7565.9038
2022-02-27T00:00:00.0/2022-02-28T00:00:00.0;10521.2705;7661.7129;5532.3335;2129.3792;7679.4048
2022-02-28T00:00:00.0/2022-03-01T00:00:00.0;10475.8350;7714.8267;6001.3447;1713.4818;8447.1309
2022-03-01T00:00:00.0/2022-03-02T00:00:00.0;10429.8594;7531.5879;5407.2207;2124.3669;7537.5391
2022-03-02T00:00:00.0/2022-03-03T00:00:00.0;10383.2773;7556.4839;5540.1279;2016.3558;7799.8291
2022-03-03T00:00:00.0/2022-03-04T00:00:00.0;10336.1680;7535.8247;5542.3887;1993.4360;7924.7896
2022-03-04T00:00:00.0/2022-03-05T00:00:00.0;10288.5342;7528.2373;5656.1157;1872.1221;8076.1387
2022-03-05T00:00:00.0/2022-03-06T00:00:00.0;10240.3047;7229.6826;4563.4707;2666.2119;6406.6846
2022-03-06T00:00:00.0/2022-03-07T00:00:00.0;10191.6182;7825.1753;6754.7051;1070.4701;10012.1885
2022-03-07T00:00:00.0/2022-03-08T00:00:00.0;10142.3662;7732.5200;6608.2559;1124.2640;9806.9336
2022-03-08T00:00:00.0/2022-03-09T00:00:00.0;10092.6836;7383.3779;5758.9751;1624.4027;8426.4346
2022-03-09T00:00:00.0/2022-03-10T00:00:00.0;10042.4658;7082.2832;4404.2788;2678.0046;6403.9551
2022-03-10T00:00:00.0/2022-03-11T00:00:00.0;9991.8438;7084.3467;4717.7383;2366.6082;6656.9175
2022-03-11T00:00:00.0/2022-03-12T00:00:00.0;9940.7178;7193.5845;5095.9922;2097.5920;7341.4648
2022-03-12T00:00:00.0/2022-03-13T00:00:00.0;9889.2158;7247.5498;5444.0845;1803.4655;7842.1685
2022-03-13T00:00:00.0/2022-03-14T00:00:00.0;9837.1982;7316.0571;5675.9932;1640.0640;8400.4795
2022-03-14T00:00:00.0/2022-03-15T00:00:00.0;9784.8818;7342.4639;6182.6123;1159.8514;9089.5518
2022-03-15T00:00:00.0/2022-03-16T00:00:00.0;9732.1211;7163.8296;5646.9150;1516.9144;8277.2979
2022-03-16T00:00:00.0/2022-03-17T00:00:00.0;9679.0498;7198.8145;5775.8936;1422.9208;8612.1865
2022-03-17T00:00:00.0/2022-03-18T00:00:00.0;9625.5635;7075.8862;5526.6997;1549.1869;8236.3867
2022-03-18T00:00:00.0/2022-03-19T00:00:00.0;9571.8018;7026.4858;5369.7363;1656.7496;8068.7266
2022-03-19T00:00:00.0/2022-03-20T00:00:00.0;9517.6973;7160.9873;5920.8135;1240.1738;9109.2295
2022-03-20T00:00:00.0/2022-03-21T00:00:00.0;9463.2646;7039.3374;5553.5342;1485.8035;8432.3711
2022-03-21T00:00:00.0/2022-03-22T00:00:00.0;9408.5693;6890.6079;5086.3569;1804.2509;7671.5928
2022-03-22T00:00:00.0/2022-03-23T00:00:00.0;9353.5742;6823.3130;4930.4766;1892.8367;7343.3228
2022-03-23T00:00:00.0/2022-03-24T00:00:00.0;9298.3574;6769.6021;4816.4307;1953.1715;7103.6226
2022-03-24T00:00:00.0/2022-03-25T00:00:00.0;9242.8691;6950.5869;5733.2642;1217.3225;8776.6221
2022-03-25T00:00:00.0/2022-03-26T00:00:00.0;9187.2031;6730.7607;5317.6167;1413.1442;8172.3828
2022-03-26T00:00:00.0/2022-03-27T00:00:00.0;9131.2959;6597.4443;4905.7012;1691.7435;7417.0596
2022-03-27T00:00:00.0/2022-03-28T00:00:00.0;9075.2568;6812.0371;5519.5454;1292.4918;8442.1445
2022-03-28T00:00:00.0/2022-03-29T00:00:00.0;9019.0078;6497.4209;4361.5576;2135.8635;6482.9150
2022-03-29T00:00:00.0/2022-03-30T00:00:00.0;8962.6748;6793.6660;5433.0205;1360.6454;8562.9941
2022-03-30T00:00:00.0/2022-03-31T00:00:00.0;8906.1641;6833.5459;5727.6567;1105.8893;9234.5586
2022-03-31T00:00:00.0/2022-04-01T00:00:00.0;8849.5742;6639.4912;5088.7783;1550.7128;8007.4185
2022-04-01T00:00:00.0/2022-04-02T00:00:00.0;8792.9375;6453.2178;4855.1177;1598.1002;7500.4873
2022-04-02T00:00:00.0/2022-04-03T00:00:00.0;8736.2188;6436.7715;5072.2920;1364.4792;8080.7456
2022-04-03T00:00:00.0/2022-04-04T00:00:00.0;8679.4961;6357.2046;5090.4365;1266.7679;8075.3604
2022-04-04T00:00:00.0/2022-04-05T00:00:00.0;8622.7256;6286.7588;5123.1133;1163.6454;8209.3223
2022-04-05T00:00:00.0/2022-04-06T00:00:00.0;8565.9971;6461.8428;5343.8818;1117.9613;8659.8291
2022-04-06T00:00:00.0/2022-04-07T00:00:00.0;8509.2617;6452.6479;5598.7729;853.8750;9268.6953
2022-04-07T00:00:00.0/2022-04-08T00:00:00.0;8452.6240;6539.0767;5447.5991;1091.4774;8982.2021
2022-04-08T00:00:00.0/2022-04-09T00:00:00.0;8396.0098;6285.1362;5165.1333;1120.0031;8320.4873
2022-04-09T00:00:00.0/2022-04-10T00:00:00.0;8339.5430;6074.8330;4527.4927;1547.3406;7350.8896
2022-04-10T00:00:00.0/2022-04-11T00:00:00.0;8283.1348;6161.4136;5173.2793;988.1340;8556.7100
2022-04-11T00:00:00.0/2022-04-12T00:00:00.0;8226.9229;6150.2432;5078.7197;1071.5234;8498.3496
2022-04-12T00:00:00.0/2022-04-13T00:00:00.0;8170.8496;6060.3843;4886.1367;1174.2476;8073.5801
2022-04-13T00:00:00.0/2022-04-14T00:00:00.0;8114.9316;6054.9556;4963.1162;1091.8395;8286.4238
2022-04-14T00:00:00.0/2022-04-15T00:00:00.0;8059.2378;6153.9512;5191.4258;962.5253;8864.0215
2022-04-15T00:00:00.0/2022-04-16T00:00:00.0;8003.7344;6201.8516;5450.4204;751.4313;9397.0332
2022-04-16T00:00:00.0/2022-04-17T00:00:00.0;7948.5015;5784.7573;4473.5176;1311.2396;7576.9287
2022-04-17T00:00:00.0/2022-04-18T00:00:00.0;7893.5386;5882.5845;5010.9575;871.6268;8573.0615
2022-04-18T00:00:00.0/2022-04-19T00:00:00.0;7838.8535;5712.3286;4232.6538;1479.6747;7155.8018
2022-04-19T00:00:00.0/2022-04-20T00:00:00.0;7784.4307;5839.9976;4798.6499;1041.3475;8228.3945
2022-04-20T00:00:00.0/2022-04-21T00:00:00.0;7730.3691;5885.2866;5055.1411;830.1456;8788.6270
2022-04-21T00:00:00.0/2022-04-22T00:00:00.0;7676.6074;5609.7114;4450.1362;1159.5751;7673.2217
2022-04-22T00:00:00.0/2022-04-23T00:00:00.0;7623.2505;5513.0879;4247.6685;1265.4194;7369.9082
2022-04-23T00:00:00.0/2022-04-24T00:00:00.0;7570.2314;5422.3159;3905.3938;1516.9219;6781.6602
2022-04-24T00:00:00.0/2022-04-25T00:00:00.0;7517.6606;5624.9502;4764.4351;860.5150;8378.0703
2022-04-25T00:00:00.0/2022-04-26T00:00:00.0;7465.4668;5439.3403;4260.2368;1179.1033;7427.2534
2022-04-26T00:00:00.0/2022-04-27T00:00:00.0;7413.8154;5811.6772;5014.8721;796.8050;9033.9795
2022-04-27T00:00:00.0/2022-04-28T00:00:00.0;7362.5454;5634.2959;4571.3398;1062.9557;8123.7036
2022-04-28T00:00:00.0/2022-04-29T00:00:00.0;7311.8071;5447.4351;4186.3228;1261.1122;7223.7378
2022-04-29T00:00:00.0/2022-04-30T00:00:00.0;7261.5293;5401.4263;4357.7729;1043.6530;7795.4194
2022-04-30T00:00:00.0/2022-05-01T00:00:00.0;7211.8232;5414.4404;4436.3486;978.0916;8069.1406
2022-05-01T00:00:00.0/2022-05-02T00:00:00.0;7162.6787;5454.3184;4508.1499;946.1682;8153.5581
2022-05-02T00:00:00.0/2022-05-03T00:00:00.0;7114.1060;5255.8159;3980.4609;1275.3550;7007.2549
2022-05-03T00:00:00.0/2022-05-04T00:00:00.0;7066.0781;5051.6323;3458.4302;1593.2021;5976.4517
2022-05-04T00:00:00.0/2022-05-05T00:00:00.0;7018.7422;5149.4023;3881.7356;1267.6665;6887.0767
2022-05-05T00:00:00.0/2022-05-06T00:00:00.0;6971.9644;5093.4844;3809.4890;1283.9951;6826.2246
2022-05-06T00:00:00.0/2022-05-07T00:00:00.0;6925.8760;5020.4814;3538.4976;1481.9838;6361.9312
2022-05-07T00:00:00.0/2022-05-08T00:00:00.0;6880.4590;5121.8794;4008.0430;1113.8367;7251.0537
2022-05-08T00:00:00.0/2022-05-09T00:00:00.0;6835.7402;4697.4795;2821.0208;1876.4586;5084.4268
2022-05-09T00:00:00.0/2022-05-10T00:00:00.0;6791.6870;5044.2622;3909.7046;1134.5575;7163.7681
2022-05-10T00:00:00.0/2022-05-11T00:00:00.0;6748.4331;5047.0044;3946.8655;1100.1388;7328.1382
2022-05-11T00:00:00.0/2022-05-12T00:00:00.0;6705.8599;5005.8350;4027.1516;978.6836;7518.4448
2022-05-12T00:00:00.0/2022-05-13T00:00:00.0;6664.1011;4868.9102;3640.8142;1228.0958;6809.3057
