# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2022-01-01T00:00:00.0
# Date end (ISO 8601): 2023-02-01T00:00:00.0
# Latitude (positive North, ISO 19115): 38.8950
# Longitude (positive East, ISO 19115): -77.0365
# Altitude (m): 10.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-02-07
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2022-01-01T00:00:00.0/2022-01-02T00:00:00.0;4024.9722;2534.6382;1783.2847;751.3535;4917.9810
2022-01-02T00:00:00.0/2022-01-03T00:00:00.0;4041.7783;2716.1091;2161.4678;554.6414;6073.7500
2022-01-03T00:00:00.0/2022-01-04T00:00:00.0;4059.9641;2847.7424;2344.2932;503.4492;6728.3647
2022-01-04T00:00:00.0/2022-01-05T00:00:00.0;4079.5232;2925.4644;2374.9441;550.5203;6781.5757
2022-01-05T00:00:00.0/2022-01-06T00:00:00.0;4100.4409;2895.3115;2368.4465;526.8650;6657.5732
2022-01-06T00:00:00.0/2022-01-07T00:00:00.0;4122.7231;2956.1155;2447.5872;508.5281;6918.4102
2022-01-07T00:00:00.0/2022-01-08T00:00:00.0;4146.3535;3097.7119;2643.6453;454.0667;7522.6655
2022-01-08T00:00:00.0/2022-01-09T00:00:00.0;4171.3203;3048.7734;2515.0989;533.6746;7073.7427
2022-01-09T00:00:00.0/2022-01-10T00:00:00.0;4197.6123;2780.8491;2063.0786;717.7703;5603.5396
2022-01-10T00:00:00.0/2022-01-11T00:00:00.0;4225.2168;3144.5696;2694.7549;449.8148;7562.9341
2022-01-11T00:00:00.0/2022-01-12T00:00:00.0;4254.1201;3185.4736;2709.3755;476.0984;7575.1660
2022-01-12T00:00:00.0/2022-01-13T00:00:00.0;4284.3452;3055.9915;2480.2334;575.7581;6776.2441
2022-01-13T00:00:00.0/2022-01-14T00:00:00.0;4315.8223;3021.0396;2405.9187;615.1210;6525.3218
2022-01-14T00:00:00.0/2022-01-15T00:00:00.0;4348.5547;3070.8972;2501.4966;569.4006;6752.6626
2022-01-15T00:00:00.0/2022-01-16T00:00:00.0;4382.5620;3258.8567;2772.5308;486.3258;7584.2285
2022-01-16T00:00:00.0/2022-01-17T00:00:00.0;4417.7827;3021.2051;2259.2461;761.9589;5939.2798
2022-01-17T00:00:00.0/2022-01-18T00:00:00.0;4454.2085;3191.4341;2680.5798;510.8544;7172.1284
2022-01-18T00:00:00.0/2022-01-19T00:00:00.0;4491.8770;3288.2712;2747.0947;541.1763;7357.1841
2022-01-19T00:00:00.0/2022-01-20T00:00:00.0;4530.6919;3104.8257;2324.0471;780.7785;5991.4395
2022-01-20T00:00:00.0/2022-01-21T00:00:00.0;4570.7524;3201.3274;2594.8408;606.4866;6780.4136
2022-01-21T00:00:00.0/2022-01-22T00:00:00.0;4611.8931;3365.5046;2754.8550;610.6497;7156.2085
2022-01-22T00:00:00.0/2022-01-23T00:00:00.0;4654.2114;3540.9875;2923.6624;617.3252;7609.0879
2022-01-23T00:00:00.0/2022-01-24T00:00:00.0;4697.6338;3363.3618;2691.1765;672.1852;6866.2036
2022-01-24T00:00:00.0/2022-01-25T00:00:00.0;4742.1255;3475.0737;2924.3733;550.7005;7566.2993
2022-01-25T00:00:00.0/2022-01-26T00:00:00.0;4787.7271;3417.8818;2756.4768;661.4050;6995.0635
2022-01-26T00:00:00.0/2022-01-27T00:00:00.0;4834.3774;3651.1133;3045.9751;605.1383;7809.5986
2022-01-27T00:00:00.0/2022-01-28T00:00:00.0;4882.0723;3601.5723;2872.1060;729.4662;7093.6357
2022-01-28T00:00:00.0/2022-01-29T00:00:00.0;4930.7900;3341.5029;2342.1477;999.3552;5626.8779
2022-01-29T00:00:00.0/2022-01-30T00:00:00.0;4980.4946;3807.5796;3273.3804;534.1990;8222.6836
2022-01-30T00:00:00.0/2022-01-31T00:00:00.0;5031.1636;3598.9160;2810.0469;788.8691;6804.4961
2022-01-31T00:00:00.0/2022-02-01T00:00:00.0;5082.7749;3394.9617;2267.2666;1127.6952;5354.5879
2022-02-01T00:00:00.0/2022-02-02T00:00:00.0;5135.3047;3623.9780;2756.4021;867.5759;6561.0566
2022-02-02T00:00:00.0/2022-02-03T00:00:00.0;5188.7778;3741.3911;2999.5320;741.8591;7142.1089
2022-02-03T00:00:00.0/2022-02-04T00:00:00.0;5243.0518;3541.2898;2695.3145;845.9753;6244.7793
2022-02-04T00:00:00.0/2022-02-05T00:00:00.0;5298.2051;3660.7612;3015.7581;645.0030;7046.9707
2022-02-05T00:00:00.0/2022-02-06T00:00:00.0;5354.1792;4099.0029;3504.4546;594.5481;8355.8213
2022-02-06T00:00:00.0/2022-02-07T00:00:00.0;5410.9458;3967.6082;3235.5996;732.0085;7542.7510
2022-02-07T00:00:00.0/2022-02-08T00:00:00.0;5468.5557;3994.3884;3330.3286;664.0598;7731.7314
2022-02-08T00:00:00.0/2022-02-09T00:00:00.0;5526.8472;4086.8230;3350.9954;735.8278;7631.4453
2022-02-09T00:00:00.0/2022-02-10T00:00:00.0;5585.8545;4116.5137;3401.8228;714.6912;7735.3760
2022-02-10T00:00:00.0/2022-02-11T00:00:00.0;5645.5518;4076.0410;3237.6707;838.3702;7334.2793
2022-02-11T00:00:00.0/2022-02-12T00:00:00.0;5705.9116;4224.2515;3557.6523;666.5988;7988.0430
2022-02-12T00:00:00.0/2022-02-13T00:00:00.0;5766.9082;4170.7578;3385.0767;785.6813;7494.9346
2022-02-13T00:00:00.0/2022-02-14T00:00:00.0;5828.5146;4158.3535;3253.2942;905.0595;7106.9004
2022-02-14T00:00:00.0/2022-02-15T00:00:00.0;5890.7871;4431.5469;3621.0674;810.4796;8003.4819
2022-02-15T00:00:00.0/2022-02-16T00:00:00.0;5953.5625;4397.4302;3520.7061;876.7239;7686.8760
2022-02-16T00:00:00.0/2022-02-17T00:00:00.0;6016.8691;4410.6870;3585.7571;824.9300;7710.2661
2022-02-17T00:00:00.0/2022-02-18T00:00:00.0;6080.6816;4315.6587;3357.2937;958.3652;7045.8770
2022-02-18T00:00:00.0/2022-02-19T00:00:00.0;6145.0137;4728.6885;4162.7036;565.9849;9067.9678
2022-02-19T00:00:00.0/2022-02-20T00:00:00.0;6209.7798;4655.5864;3799.6575;855.9290;8266.5957
2022-02-20T00:00:00.0/2022-02-21T00:00:00.0;6274.9722;4777.4839;4057.7732;719.7109;8660.4121
2022-02-21T00:00:00.0/2022-02-22T00:00:00.0;6340.5645;4823.0083;4141.4600;681.5482;8789.0400
2022-02-22T00:00:00.0/2022-02-23T00:00:00.0;6406.6328;4344.6045;3089.1270;1255.4774;6169.9995
2022-02-23T00:00:00.0/2022-02-24T00:00:00.0;6472.9775;4689.8423;3903.2217;786.6205;8071.2500
