Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI
2019-01-01,306.66,29.74,989.21,3.58,104.11,0.006837,0.0,0.0,8595.757,1490.3516,1156.7611,1032.2063,124.5548,1448.7844
2019-01-02,307.23,33.56,989.85,1.85,72.4,0.008323,0.0,0.0,8696.177,1489.713,1160.6566,1050.4522,110.2045,1499.1282
2019-01-03,309.54,31.87,990.09,1.72,48.6,0.328775,0.0,0.0,8545.869,1489.0102,1174.3505,1063.0808,111.2697,1510.428
2019-01-04,308.67,36.75,991.41,3.86,7.63,0.524678,0.0,0.0,7806.136,1488.2214,1146.503,1001.2112,145.2919,1354.8068
2019-01-05,307.73,37.02,991.82,2.58,25.81,0.095028,0.0,0.0,8064.572,1487.3542,1111.1431,915.3497,195.7933,1254.9092
2019-01-06,307.96,37.04,992.1,3.46,8.13,0.9164479999999999,0.0,0.0,8119.332,1486.4147,1149.6089,995.751,153.8579,1393.1006
2019-01-07,308.53,34.01,991.28,3.26,341.68,0.014019,0.0,0.0,8366.235,1485.393,1185.5277,1072.1973,113.3305,1524.7701
2019-01-08,309.83,29.35,990.11,0.63,349.83,0.010867,0.0,0.0,8078.876,1484.298,1190.5421,1074.4439,116.0983,1515.3193
2019-01-09,309.37,23.0,989.99,0.86,178.86,0.026598,0.0,0.0,8753.897,1483.1188,1182.6757,1063.0873,119.5884,1504.688
2019-01-10,310.21,28.22,989.82,2.01,42.95,0.34833400000000003,0.0,0.0,8375.361,1481.8672,1173.2205,1046.8346,126.3858,1466.3648
2019-01-11,308.36,41.31,991.85,3.83,38.01,19.444792,0.0,0.0,6693.129,1480.5303,1142.6974,1021.3676,121.3299,1441.6066
2019-01-12,302.67,65.69,994.59,3.44,53.82,9.146167,0.0,0.0,3162.632,1479.1126,1139.3555,1019.3108,120.0446,1420.9469
2019-01-13,304.91,50.69,992.58,3.05,18.93,0.173231,0.0,0.0,5994.276,1477.6135,1145.1685,1015.8053,129.3632,1422.8771
2019-01-14,305.68,44.86,992.68,3.22,36.91,0.46337,0.0,0.0,5870.639,1476.0406,1145.6019,1025.5712,120.0307,1438.0813
2019-01-15,304.78,50.84,993.13,3.44,46.9,2.269739,0.0,0.0,5528.698,1474.3801,1146.634,1023.3691,123.2649,1432.5543
2019-01-16,303.68,57.42,993.09,2.6,19.26,1.565878,0.0,0.0,5354.648,1472.637,1140.5164,1013.2821,127.2342,1417.1901
2019-01-17,305.67,47.59,991.89,4.09,1.43,0.272983,0.0,0.0,7412.828,1470.8103,1131.4457,1011.0925,120.3532,1431.4526
2019-01-18,306.9,44.87,992.67,4.28,17.23,0.352906,0.0,0.0,8316.132,1468.9077,1127.7195,1004.7383,122.9812,1391.6069
2019-01-19,307.17,44.11,992.86,3.71,8.38,0.32804,0.0,0.0,7434.457,1466.9153,1120.5825,975.8352,144.7474,1360.4235
