Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI
2019-01-01,278.65,85.2,1009.29,10.36,279.41,2.215512,0.0,0.0,425.6031,216.8819,124.079,66.6489,57.4301,329.6732
2019-01-02,273.73,70.35,1016.56,8.0,333.51,0.252759,7.099999999999999e-05,0.0,901.2187,218.7349,142.2954,110.404,31.8914,576.4886
2019-01-03,271.35,88.95,1025.61,4.69,327.15,0.145513,0.28317600000000004,0.00043099999999999996,599.682,220.7571,140.9799,104.632,36.348,544.4668
2019-01-04,273.83,95.32,1019.75,5.22,273.8,1.035711,0.558368,0.001678,105.6017,222.9471,134.8476,90.4624,44.3851,457.7986
2019-01-05,277.2,94.53,1013.01,4.53,326.75,3.545524,0.024571,0.001068,582.157,225.3013,140.0822,104.9486,35.1336,536.3822
2019-01-06,273.15,89.74,1020.76,2.44,341.95,0.057535,0.044661,0.0010019999999999999,824.0151,227.8243,146.5467,114.4285,32.1182,587.9189
2019-01-07,275.1,96.77,1017.48,3.54,237.34,5.919594,0.032325,0.00106,162.0565,230.5122,140.602,98.4458,42.1563,491.4508
2019-01-08,276.96,91.72,993.37,8.25,269.5,10.353389,0.016894,0.000338,186.8517,233.3699,119.7993,29.6668,90.1326,136.989
2019-01-09,274.52,92.32,999.95,8.06,344.23,4.650558,0.36603800000000003,0.0012490000000000001,283.9598,236.3954,145.9198,106.1689,39.7509,521.1523
2019-01-10,272.67,89.83,1015.04,4.14,347.28,0.169375,0.092863,0.001843,927.4834,239.5899,155.5824,117.7292,37.8532,577.7156
2019-01-11,274.25,94.64,1009.0,4.97,262.77,1.06959,2.402686,0.007961,123.8435,242.9461,141.8058,88.055,53.7508,413.9822
2019-01-12,276.51,94.23,1002.44,6.72,263.29,3.447142,0.0,0.0055780000000000005,306.0196,246.475,147.2389,94.632,52.6069,442.4225
2019-01-13,278.71,92.48,987.65,8.98,269.28,6.507194,0.0,0.001297,381.3877,250.1674,150.1979,97.3984,52.7995,442.1995
2019-01-14,274.08,76.44,993.89,10.03,301.35,0.044366,0.00014,0.000227,1092.593,254.0292,157.4497,91.0304,66.4193,418.6844
2019-01-15,275.68,92.68,1001.18,9.29,268.81,6.482978,1.51268,0.003196,209.4054,258.0531,159.1762,110.2974,48.8788,502.8516
2019-01-16,277.71,91.57,999.3,6.74,242.34,1.6982810000000002,0.0,0.000705,251.4984,262.2444,161.199,112.2175,48.9815,512.4514
2019-01-17,276.04,86.52,992.42,6.58,242.93,4.335133,0.864167,0.000904,1042.911,266.6037,168.6779,121.4631,47.2148,550.0292
2019-01-18,272.08,83.3,1008.37,4.7,285.41,0.276826,0.758979,0.006459,1311.563,271.1241,181.4274,140.3729,41.0544,636.0352
2019-01-19,271.64,87.97,1013.5,1.17,198.43,0.00389,0.062242,0.00642,1282.966,275.8171,181.5718,138.1965,43.3754,620.1736
2019-01-20,270.2,84.39,1013.41,1.1,88.27,0.0,0.035677,0.005912,1440.486,280.6705,186.9911,144.9563,42.0348,645.9929
2019-01-21,269.64,84.11,1014.52,3.38,223.79,0.0,0.11402799999999999,0.006229999999999999,1262.13,285.6856,184.3897,134.5154,49.8743,583.581
2019-01-22,268.23,86.39,1005.36,3.23,165.25,0.0,0.028742,0.006352,1427.511,290.8644,189.4611,139.5765,49.8846,597.2965
2019-01-23,266.31,84.79,999.39,4.82,111.15,0.0,0.021891,0.0064150000000000006,1421.498,296.2026,193.4123,139.6168,53.7955,590.8206
2019-01-24,267.81,80.82,1005.89,3.38,103.18,0.0,0.194004,0.0066099999999999996,1168.534,301.709,203.8159,159.0813,44.7346,674.3672
2019-01-25,268.68,79.87,1006.92,1.44,216.63,0.0,0.359079,0.007518,907.5854,307.3725,201.1684,151.8277,49.3407,631.1558
2019-01-26,273.06,95.35,995.02,3.77,231.98,3.0373419999999998,2.1271240000000002,0.017928,325.2544,313.1944,198.7306,142.5876,56.1429,581.7639
2019-01-27,274.78,95.57,983.14,5.24,195.57,2.561458,0.099816,0.014950999999999999,707.1358,319.179,204.6772,157.2086,47.4685,625.9258
2019-01-28,273.99,93.29,984.71,3.38,227.53,0.472955,0.044101999999999995,0.010354,1279.859,325.3167,212.0268,160.0848,51.9421,637.1097
2019-01-29,272.46,92.57,995.81,4.03,267.34,0.071352,0.478788,0.011451000000000001,1389.303,331.6112,222.3926,170.4896,51.903,675.8125
2019-01-30,271.91,84.88,994.17,5.47,123.75,2.9999999999999997e-05,0.002561,0.010549,1306.702,338.0599,226.999,175.2799,51.7191,683.0872
2019-01-31,271.79,89.66,993.89,3.17,155.29,0.000132,0.011847,0.009512999999999999,1204.15,344.6658,233.403,187.0658,46.3371,728.7692
2019-02-01,271.82,89.11,990.31,4.74,124.49,0.603913,0.474326,0.008929000000000001,1084.272,351.4219,226.4698,161.692,64.7778,607.9963
2019-02-02,272.88,94.52,990.47,1.37,321.05,0.08857000000000001,3.349111,0.024595,316.6923,358.3255,227.5097,165.9259,61.5838,618.2372
2019-02-03,272.64,93.99,1006.75,4.15,323.2,0.8023140000000001,0.726567,0.029336,416.8183,365.3799,236.0603,166.827,69.2334,606.4531
2019-02-04,272.32,88.94,1020.01,3.7,224.17,6e-06,0.104806,0.027631,1822.633,372.5795,256.2215,206.5244,49.6971,765.3884
2019-02-05,273.36,89.57,1019.32,4.67,240.26,0.195411,0.43045900000000004,0.022729,1048.973,379.9203,257.8609,205.4228,52.4381,748.0512
2019-02-06,273.69,88.38,1017.68,4.71,203.16,0.007219,0.046067000000000004,0.017771000000000002,1509.058,387.4063,261.5725,205.6999,55.8726,734.1172
2019-02-07,272.92,83.56,1006.36,5.86,198.83,0.41523000000000004,1e-06,0.014388999999999999,1147.93,395.0314,263.0297,200.2162,62.8135,701.3147
2019-02-08,275.4,90.3,1006.37,6.45,204.72,0.015453999999999999,0.090007,0.010029000000000001,1910.236,402.7935,266.9193,199.6362,67.2831,688.0829
2019-02-09,277.34,83.96,998.14,8.15,219.7,1.10291,0.0,0.003889,1713.729,410.6901,266.99,178.2512,88.7388,593.867
2019-02-10,277.78,91.33,990.73,7.64,201.18,8.497086999999999,0.0,0.000917,373.9859,418.7157,262.8673,171.9066,90.9607,569.8115
2019-02-11,276.03,83.83,999.47,8.32,293.01,1.430337,0.033325,0.00025699999999999996,1522.099,426.8718,292.8528,232.0965,60.7563,781.1121
2019-02-12,274.45,82.23,1019.83,5.42,296.81,0.222322,0.034872,0.00040599999999999995,2261.206,435.1586,304.0678,240.4893,63.5784,794.4175
2019-02-13,277.41,92.0,1024.55,6.48,267.67,0.974929,0.0,0.00021400000000000002,305.6701,443.5699,293.9866,212.4576,81.529,675.781
2019-02-14,277.5,86.92,1028.16,3.76,270.19,0.084709,0.0,2.4e-05,2015.07,452.1031,302.1605,230.2966,71.8638,729.8631
