Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI
2019-01-01,291.14,88.56,867.5,1.65,77.64,45.3789,0.0,0.0,2488.328,1496.9625,1109.2054,889.6174,219.5881,1232.7725
2019-01-02,293.87,76.5,865.86,1.54,43.37,5.847599,0.0,0.0,6981.607,1496.2637,1118.7528,930.0318,188.721,1288.5155
2019-01-03,293.52,72.55,866.78,3.23,63.79,1.299587,0.0,0.0,8213.264,1495.4714,1132.1017,957.4181,174.6836,1339.5311
2019-01-04,294.15,69.69,865.7,1.81,348.08,0.470625,0.0,0.0,8702.852,1494.5941,1140.2538,983.6696,156.5841,1385.6865
2019-01-05,296.1,62.63,863.03,2.51,279.37,0.361724,0.0,0.0,7705.792,1493.6371,1123.4814,944.6171,178.8643,1319.2184
2019-01-06,295.84,66.28,862.31,1.23,41.36,0.20077799999999998,0.0,0.0,8991.855,1492.598,1132.3544,971.8157,160.5387,1350.5673
2019-01-07,293.71,76.36,862.83,1.72,356.59,2.230557,0.0,0.0,6512.702,1491.4688,1105.2834,870.8823,234.4011,1183.2257
2019-01-08,295.49,69.6,859.69,1.8,300.37,1.070858,0.0,0.0,8401.802,1490.2535,1136.8472,993.9899,142.8572,1406.2026
2019-01-09,296.97,57.91,860.32,0.92,309.21,0.401161,0.0,0.0,8831.805,1488.959,1139.7024,995.5792,144.1233,1406.0886
2019-01-10,296.96,65.3,860.44,2.22,350.11,0.787964,0.0,0.0,8263.312,1487.5738,1109.8304,887.6083,222.2221,1216.587
2019-01-11,298.45,56.57,859.67,2.75,316.64,0.09590499999999999,0.0,0.0,8887.759,1486.102,1143.1587,1024.6001,118.5586,1462.0917
2019-01-12,299.52,49.61,859.83,0.54,289.65,0.048665,0.0,0.0,9007.352,1484.5432,1131.9078,973.5206,158.3872,1371.1283
2019-01-13,298.81,59.59,861.51,2.13,322.77,0.37156100000000003,0.0,0.0,7453.131,1482.9041,1118.1851,955.9323,162.2527,1336.9914
2019-01-14,298.5,62.28,862.61,1.64,15.04,1.8191540000000002,0.0,0.0,6995.016,1481.1728,1054.2678,692.5018,361.766,918.884
2019-01-15,296.82,71.13,862.49,1.23,338.1,2.879706,0.0,0.0,4452.982,1479.3538,1107.1694,893.9934,213.176,1227.3661
2019-01-16,297.21,61.28,863.06,2.57,111.36,0.278304,0.0,0.0,7307.249,1477.4463,1120.2614,945.2092,175.0522,1309.0386
2019-01-17,296.98,62.05,862.87,0.76,114.04,0.756077,0.0,0.0,8144.846,1475.4563,1087.7229,797.892,289.8309,1084.226
2019-01-18,298.43,54.61,860.92,1.36,282.93,0.100535,0.0,0.0,8866.179,1473.3734,1128.5622,971.8558,156.7064,1372.4318
2019-01-19,297.74,38.22,861.97,3.21,182.76,0.41270100000000004,0.0,0.0,8102.995,1471.2009,1144.6969,989.0562,155.6408,1390.031
2019-01-20,293.64,52.34,868.28,4.19,103.69,0.149361,0.0,0.0,8855.782,1468.9347,1139.5991,975.878,163.7211,1376.7174
2019-01-21,294.51,40.63,867.48,2.04,89.14,1.9e-05,0.0,0.0,9236.064,1466.5845,1169.2808,1030.4342,138.8465,1463.1953
2019-01-22,297.57,29.75,863.82,0.84,122.27,0.0,0.0,0.0,9248.845,1464.1506,1154.7007,1008.2653,146.4353,1428.5083
2019-01-23,298.7,35.15,861.66,0.62,311.36,5.6000000000000006e-05,0.0,0.0,9028.477,1461.6202,1111.3021,893.4766,217.8255,1232.8133
2019-01-24,298.85,42.7,862.14,3.37,40.93,0.000714,0.0,0.0,8919.21,1458.9943,1101.3992,913.5382,187.8611,1263.2755
2019-01-25,298.32,52.08,863.46,2.62,336.62,0.364288,0.0,0.0,8795.85,1456.2833,1118.085,986.8003,131.2846,1394.2832
2019-01-26,296.86,59.82,864.92,2.57,3.67,12.837269000000001,0.0,0.0,7733.526,1453.4869,1072.9338,821.6743,251.2595,1113.1914
2019-01-27,293.61,67.95,866.92,3.39,39.17,1.4654969999999998,0.0,0.0,6821.52,1450.589,1102.42,942.2688,160.1512,1320.5741
2019-01-28,293.13,70.89,867.12,2.74,29.08,2.795137,0.0,0.0,7410.161,1447.6061,1108.282,957.2345,151.0476,1348.244
2019-01-29,294.05,61.36,867.13,2.62,18.37,0.655686,0.0,0.0,8244.899,1444.5297,1108.2817,951.4759,156.8058,1344.2881
2019-01-30,296.37,53.34,865.08,1.52,293.94,0.079836,0.0,0.0,8631.823,1441.3636,1054.3054,768.9221,285.3833,1038.218
2019-01-31,297.31,51.89,864.52,0.15,225.41,0.130445,0.0,0.0,8512.796,1438.1067,1078.7504,873.0466,205.7037,1210.2429
2019-02-01,296.12,62.62,867.11,2.38,81.41,1.505962,0.0,0.0,7807.794,1434.7521,1015.3306,640.1027,375.2279,860.8043
2019-02-02,295.11,72.73,866.77,0.99,24.35,3.088696,0.0,0.0,6905.475,1431.3113,1026.8806,714.9216,311.959,944.0374
2019-02-03,295.52,68.31,864.37,2.0,356.11,5.304683,0.0,0.0,6530.507,1427.7792,1053.6647,822.7514,230.9132,1136.2925
2019-02-04,294.97,67.59,863.71,2.13,337.11,1.3998979999999999,0.0,0.0,6876.094,1424.1575,1076.3844,884.1008,192.2837,1235.0282
2019-02-05,293.11,72.12,866.23,2.26,56.55,0.461624,0.0,0.0,3872.494,1420.4383,1060.5159,823.7576,236.7583,1154.4651
2019-02-06,293.69,65.92,866.02,1.27,330.33,0.261683,0.0,0.0,4612.482,1416.6328,1021.4922,698.562,322.9302,939.5542
2019-02-07,295.76,59.48,866.05,2.46,33.0,0.24381799999999998,0.0,0.0,7592.889,1412.7395,986.3492,597.0538,389.2955,787.9299
2019-02-08,296.29,58.95,865.55,0.54,314.59,0.10435499999999999,0.0,0.0,7792.501,1408.7488,999.5005,656.5336,342.9669,868.2694
2019-02-09,297.78,54.93,863.87,2.07,57.29,0.17619200000000002,0.0,0.0,7571.316,1404.675,1020.9777,724.0572,296.9205,986.5183
2019-02-10,297.28,52.7,863.97,1.63,19.49,0.019222,0.0,0.0,8026.559,1400.5114,1026.3218,764.6551,261.6667,1042.5186
2019-02-11,297.28,52.7,862.05,0.19,239.47,1.044253,0.0,0.0,6761.591,1396.2534,976.2612,593.0497,383.2116,794.4622
2019-02-12,296.12,60.66,861.84,0.41,251.23,3.579817,0.0,0.0,7219.216,1391.9139,1000.119,705.1373,294.9816,957.5105
2019-02-13,294.25,74.85,864.87,3.35,55.79,3.980581,0.0,0.0,5997.431,1387.4854,999.8852,749.8417,250.0436,1024.8484
2019-02-14,292.4,85.45,867.01,3.87,74.53,18.073332,0.0,0.0,3169.06,1382.965,1021.9124,851.6738,170.2386,1208.4519
2019-02-15,293.12,78.8,864.62,2.61,50.52,4.588585,0.0,0.0,6655.613,1378.363,1017.6154,841.9784,175.6369,1173.5939
2019-02-16,294.17,75.62,862.41,1.29,185.54,2.983044,0.0,0.0,7028.484,1373.6757,998.947,766.6956,232.2514,1068.9509
2019-02-17,293.64,56.15,863.73,4.78,139.15,0.028118,0.0,0.0,8562.479,1368.8983,1062.3312,921.4637,140.8674,1329.0499
2019-02-18,292.93,52.53,865.02,3.07,128.18,0.01179,0.0,0.0,8525.382,1364.0347,1058.2915,899.9052,158.3863,1289.7076
2019-02-19,293.86,56.5,865.09,1.01,29.08,0.36912,0.0,0.0,8166.384,1359.0929,1051.6438,898.6678,152.976,1291.8589
2019-02-20,294.7,48.69,865.4,1.8,271.3,0.000152,0.0,0.0,8375.76,1354.0708,1029.4379,845.8844,183.5535,1198.4309
2019-02-21,297.31,45.16,866.71,0.41,69.52,0.006033,0.0,0.0,7939.323,1348.9587,1022.3995,851.5555,170.844,1226.2183
2019-02-22,295.27,67.27,867.26,2.11,6.8,1.247592,0.0,0.0,7220.182,1343.7727,980.822,732.2092,248.6128,1008.2017
2019-02-23,296.08,60.1,863.35,2.74,301.8,0.07557799999999999,0.0,0.0,8102.453,1338.4995,1016.5934,871.9894,144.6041,1262.0325
2019-02-24,297.28,44.95,861.82,1.62,138.86,0.000549,0.0,0.0,8259.259,1333.1524,1004.8504,801.4842,203.3662,1131.227
2019-02-25,295.29,64.59,863.43,2.37,46.72,1.307604,0.0,0.0,6580.239,1327.7223,957.122,674.7012,282.4208,927.6596
2019-02-26,296.2,55.07,862.42,2.4,293.83,0.44627700000000003,0.0,0.0,7835.53,1322.2131,1022.514,900.448,122.066,1328.1201
2019-02-27,297.67,37.56,862.79,1.77,249.91,0.0,0.0,0.0,8151.917,1316.6422,1017.2351,878.2102,139.0249,1290.2812
2019-02-28,296.76,38.67,863.73,1.49,256.25,0.000319,0.0,0.0,8126.486,1310.9841,1009.7238,874.0778,135.6459,1293.91
2019-03-01,297.35,35.02,864.71,0.61,123.53,0.022688999999999997,0.0,0.0,8160.993,1305.2594,991.606,802.7877,188.8184,1166.0985
2019-03-02,297.66,57.89,864.47,2.39,344.55,0.880734,0.0,0.0,7566.182,1299.4565,978.3243,820.1083,158.216,1183.3498
