Date,Temperature,Wind speed,Clear sky GHI
2019-01-01,250.2,6.02,1407.2023
2019-01-02,251.77,4.04,1387.6336
2019-01-03,250.19,5.43,1396.4022
2019-01-04,251.94,3.97,1371.889
2019-01-05,250.09,3.39,1376.3911
2019-01-06,248.79,3.81,1372.7954
2019-01-07,249.78,3.67,1357.9578
2019-01-08,250.53,2.18,1322.0389
2019-01-09,248.92,4.76,1340.642
2019-01-10,249.68,6.62,1342.0398
2019-01-11,249.91,6.26,1326.882
2019-01-12,250.99,7.67,1310.8562
2019-01-13,253.2,5.46,1294.9712
2019-01-14,251.66,5.57,1288.3882
2019-01-15,251.63,6.6,1258.5709
2019-01-16,249.84,4.38,1249.1916
2019-01-17,248.34,4.57,1245.3842
2019-01-18,247.84,6.35,1248.1394
2019-01-19,252.83,8.1,1210.3834
2019-01-20,258.88,7.6,1158.5348
2019-01-21,254.27,9.52,1176.3347
2019-01-22,249.59,8.65,1197.2156
2019-01-23,248.5,5.19,1157.0798
2019-01-24,248.36,4.55,1146.7708
2019-01-25,249.18,2.33,1149.281
2019-01-26,247.53,5.18,1119.625
2019-01-27,249.72,5.33,1106.6694
2019-01-28,248.87,5.15,1082.067
2019-01-29,248.51,5.99,1048.3589
2019-01-30,249.08,6.51,1042.7795
2019-01-31,250.18,4.85,1016.4133
2019-02-01,246.68,6.48,1023.5118
2019-02-02,246.48,3.06,1004.0534
2019-02-03,244.8,5.51,988.8802
2019-02-04,245.23,2.67,962.1057
2019-02-05,241.58,3.39,945.5246
2019-02-06,240.92,4.35,939.9987
2019-02-07,240.86,6.45,920.8398
2019-02-08,240.71,6.74,898.2503
2019-02-09,239.86,8.49,873.4121
2019-02-10,246.6,10.5,833.2288
2019-02-11,250.47,8.44,815.3808
2019-02-12,241.59,8.35,806.918
2019-02-13,239.28,7.11,784.3246
2019-02-14,240.73,8.72,762.1678
2019-02-15,241.77,7.92,742.2028
2019-02-16,241.6,8.07,719.4653
2019-02-17,239.86,8.11,691.6817
2019-02-18,240.72,6.7,680.0823
2019-02-19,241.03,7.24,660.739
2019-02-20,243.45,6.71,635.1552
2019-02-21,242.0,6.42,614.9803
2019-02-22,239.61,5.28,598.6841
2019-02-23,245.53,9.26,570.4927
2019-02-24,241.37,7.59,551.9759
2019-02-25,239.15,6.17,537.5956
2019-02-26,238.72,5.39,516.2186
2019-02-27,238.55,4.68,497.0715
2019-02-28,236.21,5.71,480.1692
2019-03-01,235.37,6.0,467.2026
2019-03-02,239.49,4.72,442.0868
2019-03-03,236.93,6.0,427.3228
2019-03-04,234.5,6.72,414.8052
2019-03-05,233.91,5.86,398.0689
2019-03-06,232.36,6.73,380.8633
2019-03-07,242.02,6.49,353.5974
2019-03-08,240.58,9.64,337.335
2019-03-09,235.26,11.15,330.9894
2019-03-10,228.63,10.53,323.9976
2019-03-11,227.62,10.31,307.6206
2019-03-12,227.98,8.92,293.9909
2019-03-13,228.15,7.28,279.2687
2019-03-14,230.66,5.27,262.7388
2019-03-15,231.62,5.09,246.5422
2019-03-16,231.67,3.32,235.7135
2019-03-17,227.27,5.22,222.692
2019-03-18,227.83,6.54,210.7017
2019-03-19,228.45,5.91,197.7648
2019-03-20,229.63,6.06,185.4651
2019-03-21,226.24,7.76,173.6679
2019-03-22,228.24,7.17,162.4143
2019-03-23,231.69,6.48,150.4717
2019-03-24,232.37,7.17,139.9622
2019-03-25,229.27,7.91,129.0488
2019-03-26,229.58,6.34,121.0151
2019-03-27,236.18,6.51,108.3556
2019-03-28,239.1,8.02,98.9529
2019-03-29,234.1,4.38,91.7646
2019-03-30,229.95,7.51,83.996
2019-03-31,228.52,7.34,74.684
2019-04-01,231.44,6.61,67.3481
2019-04-02,233.38,7.16,59.9861
2019-04-03,229.25,6.72,52.8176
2019-04-04,226.34,7.16,45.4797
2019-04-05,221.82,5.31,40.491
2019-04-06,221.17,9.41,34.9698
2019-04-07,223.37,9.3,29.7966
2019-04-08,222.89,9.15,24.9478
2019-04-09,219.58,8.08,20.4981
2019-04-10,219.14,8.55,16.3044
2019-04-11,222.33,8.73,12.4837
2019-04-12,229.33,9.28,8.9731
2019-04-13,230.51,9.05,6.3626
2019-04-14,224.71,3.84,3.9855
2019-04-15,225.16,8.5,2.1799
2019-04-16,224.12,10.87,0.8116
2019-04-17,230.86,8.82,0.0759
2019-04-18,231.83,7.04,0.0
2019-04-19,225.5,9.23,0.0
2019-04-20,225.41,10.96,0.0
2019-04-21,226.51,10.69,0.0
2019-04-22,231.76,7.55,0.0
2019-04-23,227.98,6.27,0.0
2019-04-24,231.31,3.47,0.0
2019-04-25,226.97,4.01,0.0
2019-04-26,223.56,3.51,0.0
2019-04-27,219.55,2.56,0.0
2019-04-28,217.47,6.33,0.0
2019-04-29,223.98,5.76,0.0
2019-04-30,228.71,4.93,0.0
2019-05-01,231.34,6.01,0.0
2019-05-02,239.48,9.42,0.0
2019-05-03,241.79,5.68,0.0
2019-05-04,230.72,4.78,0.0
2019-05-05,227.19,8.9,0.0
2019-05-06,227.58,8.6,0.0
2019-05-07,228.18,4.39,0.0
2019-05-08,223.52,6.24,0.0
2019-05-09,221.14,5.74,0.0
2019-05-10,220.15,5.42,0.0
2019-05-11,221.39,4.92,0.0
2019-05-12,226.12,5.33,0.0
2019-05-13,223.64,4.54,0.0
2019-05-14,222.43,1.8,0.0
2019-05-15,215.56,5.3,0.0
2019-05-16,216.35,9.29,0.0
2019-05-17,219.59,10.14,0.0
2019-05-18,224.3,6.56,0.0
2019-05-19,228.47,7.22,0.0
2019-05-20,226.66,5.8,0.0
2019-05-21,227.58,5.45,0.0
2019-05-22,230.11,6.94,0.0
2019-05-23,224.19,9.58,0.0
2019-05-24,223.68,6.79,0.0
2019-05-25,224.3,7.53,0.0
2019-05-26,226.21,9.24,0.0
2019-05-27,235.79,12.4,0.0
2019-05-28,237.32,10.81,0.0
2019-05-29,226.52,5.7,0.0
2019-05-30,228.27,13.12,0.0
2019-05-31,227.72,11.4,0.0
2019-06-01,222.06,10.01,0.0
2019-06-02,219.86,8.92,0.0
2019-06-03,213.14,8.47,0.0
2019-06-04,218.28,6.65,0.0
2019-06-05,215.68,8.18,0.0
2019-06-06,216.71,8.49,0.0
2019-06-07,216.94,8.5,0.0
2019-06-08,222.04,7.97,0.0
2019-06-09,229.55,4.6,0.0
2019-06-10,229.47,1.57,0.0
2019-06-11,222.21,1.68,0.0
2019-06-12,225.85,6.42,0.0
2019-06-13,231.73,9.91,0.0
2019-06-14,231.22,5.66,0.0
2019-06-15,228.19,5.54,0.0
2019-06-16,224.68,5.84,0.0
2019-06-17,225.53,6.87,0.0
2019-06-18,220.94,4.54,0.0
2019-06-19,217.14,6.48,0.0
2019-06-20,210.59,10.24,0.0
2019-06-21,209.43,9.41,0.0
2019-06-22,213.97,9.85,0.0
2019-06-23,214.55,9.69,0.0
2019-06-24,217.19,8.45,0.0
2019-06-25,222.85,9.5,0.0
2019-06-26,224.77,8.79,0.0
2019-06-27,216.9,11.09,0.0
2019-06-28,211.42,10.44,0.0
2019-06-29,218.85,11.19,0.0
2019-06-30,219.89,9.15,0.0
2019-07-01,222.9,7.75,0.0
2019-07-02,219.1,6.8,0.0
2019-07-03,221.37,8.48,0.0
2019-07-04,227.79,7.89,0.0
2019-07-05,225.19,10.85,0.0
2019-07-06,223.72,12.54,0.0
2019-07-07,219.92,11.91,0.0
2019-07-08,216.75,11.44,0.0
2019-07-09,222.63,9.92,0.0
2019-07-10,218.9,9.64,0.0
2019-07-11,216.57,11.12,0.0
2019-07-12,218.04,12.09,0.0
2019-07-13,220.61,10.98,0.0
2019-07-14,220.11,8.65,0.0
2019-07-15,218.33,6.63,0.0
2019-07-16,222.19,6.49,0.0
2019-07-17,220.78,5.79,0.0
2019-07-18,221.18,6.23,0.0
2019-07-19,227.83,5.96,0.0
2019-07-20,232.53,7.01,0.0
2019-07-21,235.88,3.73,0.0
2019-07-22,231.49,7.76,0.0
2019-07-23,213.35,10.49,0.0
2019-07-24,210.16,11.66,0.0
2019-07-25,214.04,11.68,0.0
2019-07-26,220.54,7.68,0.0
2019-07-27,217.24,10.86,0.0
2019-07-28,217.77,8.92,0.0
2019-07-29,220.64,5.88,0.0
2019-07-30,222.68,3.16,0.0
2019-07-31,217.13,4.94,0.0
2019-08-01,210.98,7.99,0.0
2019-08-02,214.07,6.23,0.0
2019-08-03,213.54,6.06,0.0
2019-08-04,214.02,8.72,0.0
2019-08-05,208.65,9.85,0.0
2019-08-06,207.04,11.88,0.0
2019-08-07,212.2,10.66,0.0
2019-08-08,217.1,12.53,0.0
2019-08-09,214.16,11.65,0.0
2019-08-10,215.3,7.29,0.0
2019-08-11,215.84,6.29,0.0
2019-08-12,213.39,8.37,0.0
2019-08-13,212.38,7.96,0.0
2019-08-14,218.4,6.57,0.0
2019-08-15,217.46,8.26,0.0
2019-08-16,207.4,12.43,0.0
2019-08-17,211.25,11.21,0.0
2019-08-18,217.32,10.53,0.0
2019-08-19,233.0,10.76,0.0
2019-08-20,229.12,8.2,0.0
2019-08-21,222.46,4.64,0.0
2019-08-22,212.9,9.16,0.0
2019-08-23,215.78,10.39,0.0
2019-08-24,215.61,9.07,0.0
2019-08-25,218.9,8.45,0.0
2019-08-26,218.0,10.49,0.1419
2019-08-27,220.66,10.06,0.9732
2019-08-28,220.3,6.07,2.3866
2019-08-29,221.16,5.67,4.3115
2019-08-30,220.88,7.57,6.6586
2019-08-31,219.64,8.97,9.5217
2019-09-01,220.01,7.4,12.9189
2019-09-02,218.03,9.26,16.59
2019-09-03,219.68,12.38,20.4398
2019-09-04,221.95,11.11,25.1386
2019-09-05,220.44,10.99,30.1663
2019-09-06,215.04,11.94,35.6767
2019-09-07,215.67,10.3,41.3979
2019-09-08,218.57,6.33,47.7535
2019-09-09,220.55,6.09,53.9768
2019-09-10,224.17,7.01,60.8065
2019-09-11,220.75,8.71,67.8444
2019-09-12,224.14,8.69,75.5274
2019-09-13,227.6,7.79,83.74
2019-09-14,218.76,5.74,91.6173
2019-09-15,218.5,7.63,101.4637
2019-09-16,221.04,7.51,110.8619
2019-09-17,216.95,5.68,120.6628
2019-09-18,215.85,7.2,130.1332
2019-09-19,218.08,5.54,139.8106
2019-09-20,219.47,6.76,150.4734
2019-09-21,223.58,8.4,161.6083
2019-09-22,223.61,7.46,172.9016
2019-09-23,222.81,5.85,185.101
2019-09-24,223.8,5.59,196.3942
2019-09-25,225.45,6.74,206.1531
2019-09-26,227.64,6.39,219.964
2019-09-27,223.63,5.13,234.3562
2019-09-28,221.97,7.4,246.399
2019-09-29,223.75,8.81,260.0682
2019-09-30,220.79,8.43,274.8188
2019-10-01,219.83,8.55,288.9336
2019-10-02,224.53,12.04,302.3096
2019-10-03,241.73,11.54,310.8846
2019-10-04,237.38,11.83,328.0983
2019-10-05,232.55,12.82,346.9486
2019-10-06,229.02,10.64,353.8035
2019-10-07,230.05,11.07,376.1506
2019-10-08,229.26,7.68,391.1848
2019-10-09,236.32,8.32,409.8684
2019-10-10,236.98,6.77,423.3182
2019-10-11,233.08,6.36,439.6531
2019-10-12,230.71,6.97,461.2561
2019-10-13,223.93,9.07,482.5235
2019-10-14,224.14,6.84,499.2381
