Date,Temperature,Wind speed,Clear sky GHI
2019-01-01,306.66,3.58,1156.7611
2019-01-02,307.23,1.85,1160.6566
2019-01-03,309.54,1.72,1174.3505
2019-01-04,308.67,3.86,1146.503
2019-01-05,307.73,2.58,1111.1431
2019-01-06,307.96,3.46,1149.6089
2019-01-07,308.53,3.26,1185.5277
2019-01-08,309.83,0.63,1190.5421
2019-01-09,309.37,0.86,1182.6757
2019-01-10,310.21,2.01,1173.2205
2019-01-11,308.36,3.83,1142.6974
2019-01-12,302.67,3.44,1139.3555
2019-01-13,304.91,3.05,1145.1685
2019-01-14,305.68,3.22,1145.6019
2019-01-15,304.78,3.44,1146.634
2019-01-16,303.68,2.6,1140.5164
2019-01-17,305.67,4.09,1131.4457
2019-01-18,306.9,4.28,1127.7195
2019-01-19,307.17,3.71,1120.5825
2019-01-20,304.99,3.99,1130.472
2019-01-21,305.46,3.38,1130.8826
2019-01-22,306.34,2.86,1117.3357
2019-01-23,306.92,3.33,1116.2158
2019-01-24,306.47,5.09,1121.2633
2019-01-25,305.38,4.04,1108.7612
2019-01-26,305.09,3.47,1097.2467
2019-01-27,307.13,2.75,1067.2576
2019-01-28,306.87,2.73,1059.3036
2019-01-29,306.11,3.19,1083.4274
2019-01-30,303.72,3.74,1098.6022
2019-01-31,303.11,1.71,1086.5394
2019-02-01,301.4,5.73,1068.2398
2019-02-02,300.51,8.66,1072.7899
2019-02-03,300.03,9.52,1089.1279
2019-02-04,300.51,9.05,1088.3319
2019-02-05,300.37,8.71,1093.7752
2019-02-06,300.56,8.18,1093.1534
2019-02-07,301.3,6.75,1089.1796
2019-02-08,302.08,3.74,1073.4166
2019-02-09,303.42,4.21,1114.0863
2019-02-10,303.11,2.65,1113.5643
2019-02-11,304.32,0.3,1109.7246
2019-02-12,306.24,3.14,1078.9948
2019-02-13,306.94,1.03,1084.3209
2019-02-14,304.63,3.5,1111.7964
2019-02-15,304.4,2.42,1119.5734
2019-02-16,304.97,1.01,1106.4084
2019-02-17,306.22,2.81,1097.9642
2019-02-18,307.12,2.86,1086.5566
2019-02-19,307.9,1.97,1059.873
2019-02-20,308.1,0.83,1054.1909
2019-02-21,305.11,3.97,1059.9198
2019-02-22,304.16,3.24,1065.5814
2019-02-23,305.07,2.9,1031.9055
2019-02-24,305.25,4.48,1032.2405
2019-02-25,302.64,3.31,1031.8648
2019-02-26,303.08,2.46,1026.4311
2019-02-27,304.22,2.5,1033.9706
2019-02-28,304.52,3.21,1027.9747
2019-03-01,304.49,3.34,1018.7687
2019-03-02,302.71,3.66,1007.477
2019-03-03,302.71,4.98,1011.2572
2019-03-04,303.56,4.65,1000.7064
2019-03-05,304.67,2.08,1001.8275
2019-03-06,305.18,4.11,978.5562
2019-03-07,305.97,4.62,998.5941
2019-03-08,305.83,4.01,1010.5121
2019-03-09,302.47,3.39,985.2753
2019-03-10,302.68,1.84,965.5677
2019-03-11,306.83,1.66,952.5696
2019-03-12,307.62,2.55,937.4568
2019-03-13,307.47,1.68,951.8487
2019-03-14,307.56,1.32,944.2792
2019-03-15,306.94,2.12,950.8436
2019-03-16,306.1,0.96,958.3293
2019-03-17,305.07,1.3,956.7118
2019-03-18,304.73,2.46,936.1207
2019-03-19,306.96,3.71,926.9062
2019-03-20,306.53,5.09,923.0875
2019-03-21,305.91,6.25,921.693
2019-03-22,302.72,10.43,911.939
2019-03-23,300.44,12.03,887.7837
2019-03-24,300.72,8.13,844.4828
2019-03-25,300.47,5.28,852.2484
2019-03-26,300.52,2.9,906.2067
2019-03-27,301.5,4.59,906.6572
2019-03-28,301.28,3.64,898.4804
2019-03-29,302.12,3.29,874.0725
2019-03-30,301.89,6.13,893.9705
2019-03-31,298.93,5.6,894.8826
2019-04-01,300.1,5.16,887.7844
2019-04-02,301.53,4.83,883.107
2019-04-03,301.66,4.94,877.1489
2019-04-04,302.93,4.91,859.3883
2019-04-05,302.72,3.8,852.446
2019-04-06,302.57,4.73,834.6345
2019-04-07,301.98,4.06,832.6167
2019-04-08,301.64,3.86,828.6741
2019-04-09,302.4,4.56,811.7202
2019-04-10,303.12,4.84,814.0538
2019-04-11,302.2,4.39,827.7255
2019-04-12,301.9,4.14,843.2027
2019-04-13,301.29,4.99,813.9949
2019-04-14,300.92,3.14,787.7564
2019-04-15,301.29,3.43,778.0814
2019-04-16,301.05,2.97,769.3428
2019-04-17,301.75,3.78,763.895
2019-04-18,301.04,4.19,771.1288
2019-04-19,300.98,3.74,769.2625
2019-04-20,301.39,2.56,754.5566
2019-04-21,302.86,2.54,736.0931
2019-04-22,302.15,4.25,749.5607
2019-04-23,300.92,4.25,745.002
2019-04-24,300.75,5.7,741.266
2019-04-25,299.95,4.95,735.104
