Date,Temperature,Wind speed,Clear sky GHI
2019-01-01,265.84,3.69,296.8309
2019-01-02,267.79,0.82,277.2014
2019-01-03,268.64,1.57,159.5892
2019-01-04,266.95,4.13,325.2408
2019-01-05,268.65,0.54,334.7802
2019-01-06,268.08,0.64,224.1638
2019-01-07,268.01,3.78,282.4435
2019-01-08,267.64,2.79,377.3279
2019-01-09,268.2,1.58,268.7689
2019-01-10,272.15,2.48,295.6087
2019-01-11,272.26,0.53,254.1677
2019-01-12,272.07,2.6,245.865
2019-01-13,272.13,0.85,356.9348
2019-01-14,270.6,5.98,256.9757
2019-01-15,265.05,4.31,412.4786
2019-01-16,268.28,4.04,378.8843
2019-01-17,271.68,1.69,381.0
2019-01-18,272.47,3.08,313.2812
2019-01-19,271.75,3.19,350.6321
2019-01-20,271.02,5.31,401.7877
2019-01-21,272.51,5.16,410.6137
2019-01-22,273.92,4.9,398.0952
2019-01-23,273.47,1.1,393.2252
2019-01-24,272.44,2.62,309.5001
2019-01-25,270.37,4.2,441.3362
2019-01-26,271.13,1.74,366.9031
2019-01-27,271.9,4.29,332.5711
2019-01-28,272.54,1.54,440.7088
2019-01-29,274.48,0.63,328.2247
2019-01-30,270.06,4.95,391.9929
2019-01-31,267.54,3.86,439.4384
2019-02-01,271.31,2.22,446.0063
2019-02-02,272.57,1.81,297.086
2019-02-03,272.04,3.4,366.7369
2019-02-04,271.28,1.16,318.6024
2019-02-05,269.68,2.83,296.0618
2019-02-06,267.3,2.32,287.4447
2019-02-07,265.81,1.95,514.9401
2019-02-08,265.67,0.88,384.3312
2019-02-09,266.65,1.28,496.3294
2019-02-10,266.09,1.7,393.0082
2019-02-11,268.94,2.99,393.0112
2019-02-12,265.91,1.98,307.0228
2019-02-13,267.77,1.2,360.3966
2019-02-14,265.96,0.85,388.7013
2019-02-15,267.46,6.15,521.4847
2019-02-16,268.61,5.11,567.5471
2019-02-17,271.95,1.85,536.5131
2019-02-18,272.12,1.02,420.2016
2019-02-19,271.66,3.32,360.1028
2019-02-20,273.55,1.44,503.3498
2019-02-21,275.68,0.54,462.6125
2019-02-22,277.45,1.32,427.3015
2019-02-23,276.83,0.66,437.2788
2019-02-24,278.22,2.34,463.4314
2019-02-25,276.37,1.12,370.6996
2019-02-26,275.9,1.48,307.0702
2019-02-27,277.56,1.59,434.5624
2019-02-28,278.54,0.8,398.7405
2019-03-01,279.07,1.16,382.1625
2019-03-02,280.12,2.42,422.7286
