Date,Temperature,Wind speed,Clear sky GHI
2019-01-01,278.65,10.36,124.079
2019-01-02,273.73,8.0,142.2954
2019-01-03,271.35,4.69,140.9799
2019-01-04,273.83,5.22,134.8476
2019-01-05,277.2,4.53,140.0822
2019-01-06,273.15,2.44,146.5467
2019-01-07,275.1,3.54,140.602
2019-01-08,276.96,8.25,119.7993
2019-01-09,274.52,8.06,145.9198
2019-01-10,272.67,4.14,155.5824
2019-01-11,274.25,4.97,141.8058
2019-01-12,276.51,6.72,147.2389
2019-01-13,278.71,8.98,150.1979
2019-01-14,274.08,10.03,157.4497
2019-01-15,275.68,9.29,159.1762
2019-01-16,277.71,6.74,161.199
2019-01-17,276.04,6.58,168.6779
2019-01-18,272.08,4.7,181.4274
2019-01-19,271.64,1.17,181.5718
2019-01-20,270.2,1.1,186.9911
2019-01-21,269.64,3.38,184.3897
2019-01-22,268.23,3.23,189.4611
2019-01-23,266.31,4.82,193.4123
2019-01-24,267.81,3.38,203.8159
2019-01-25,268.68,1.44,201.1684
2019-01-26,273.06,3.77,198.7306
2019-01-27,274.78,5.24,204.6772
2019-01-28,273.99,3.38,212.0268
2019-01-29,272.46,4.03,222.3926
2019-01-30,271.91,5.47,226.999
2019-01-31,271.79,3.17,233.403
2019-02-01,271.82,4.74,226.4698
2019-02-02,272.88,1.37,227.5097
2019-02-03,272.64,4.15,236.0603
2019-02-04,272.32,3.7,256.2215
2019-02-05,273.36,4.67,257.8609
2019-02-06,273.69,4.71,261.5725
2019-02-07,272.92,5.86,263.0297
2019-02-08,275.4,6.45,266.9193
2019-02-09,277.34,8.15,266.99
2019-02-10,277.78,7.64,262.8673
2019-02-11,276.03,8.32,292.8528
2019-02-12,274.45,5.42,304.0678
2019-02-13,277.41,6.48,293.9866
2019-02-14,277.5,3.76,302.1605
2019-02-15,276.05,2.44,315.582
2019-02-16,277.13,4.18,334.79
2019-02-17,277.88,2.61,316.8028
2019-02-18,277.83,3.4,348.7535
2019-02-19,278.17,6.1,324.8472
2019-02-20,278.69,5.12,338.27
2019-02-21,279.98,5.28,331.4542
2019-02-22,274.23,4.36,382.6858
2019-02-23,271.86,3.18,378.9943
2019-02-24,275.07,2.29,362.4861
2019-02-25,277.36,3.61,389.0413
2019-02-26,278.21,3.11,369.321
2019-02-27,279.38,3.26,409.2359
2019-02-28,278.27,5.02,394.9518
2019-03-01,276.52,1.93,380.3869
2019-03-02,276.03,2.74,423.4989
2019-03-03,280.65,7.51,404.8246
2019-03-04,281.58,9.37,420.6722
2019-03-05,278.52,8.64,442.9999
2019-03-06,279.05,5.52,453.0777
