Date,Temperature,Wind speed,Clear sky GHI
2019-01-01,297.13,0.65,950.9763
2019-01-02,298.15,0.76,984.5371
2019-01-03,299.09,0.69,987.7206
2019-01-04,299.07,0.5,984.5824
2019-01-05,298.61,0.19,964.7288
2019-01-06,298.1,0.55,975.3074
2019-01-07,297.73,0.69,975.1705
2019-01-08,298.4,0.07,994.1455
2019-01-09,298.66,0.66,1011.0746
2019-01-10,298.74,0.32,1000.3954
2019-01-11,296.61,0.34,976.8801
2019-01-12,296.29,0.28,985.6082
2019-01-13,297.44,0.55,988.2705
2019-01-14,297.2,0.69,970.9972
2019-01-15,297.5,0.89,988.068
2019-01-16,298.18,0.57,962.491
2019-01-17,298.25,0.67,1002.4934
2019-01-18,298.0,0.78,995.7997
2019-01-19,298.4,0.78,969.3148
2019-01-20,298.5,0.14,966.9886
2019-01-21,298.11,0.54,967.1926
2019-01-22,299.18,0.37,987.4797
2019-01-23,299.66,0.12,994.9399
2019-01-24,298.42,0.58,985.4428
2019-01-25,298.52,0.44,973.9693
2019-01-26,298.09,0.52,972.6204
2019-01-27,297.2,0.69,987.3592
2019-01-28,296.78,0.49,989.6054
2019-01-29,296.96,0.44,1004.2511
2019-01-30,298.12,0.79,995.3406
2019-01-31,298.97,0.48,1013.5818
2019-02-01,299.38,0.22,1003.904
2019-02-02,298.49,0.31,985.9626
2019-02-03,298.42,0.64,996.0253
2019-02-04,298.78,0.33,990.985
2019-02-05,298.5,0.57,992.3397
2019-02-06,298.41,0.59,986.3482
2019-02-07,298.78,0.81,997.1859
2019-02-08,298.34,0.27,962.9678
2019-02-09,299.16,0.14,979.5786
2019-02-10,298.28,0.47,976.9604
2019-02-11,299.12,0.84,963.1966
2019-02-12,298.95,0.53,982.3506
2019-02-13,299.03,0.38,978.532
2019-02-14,297.62,0.68,986.2778
2019-02-15,297.54,0.13,975.7458
2019-02-16,298.1,0.85,979.7836
2019-02-17,298.08,0.91,976.7094
2019-02-18,297.7,0.74,982.2245
2019-02-19,298.12,0.74,981.2926
2019-02-20,298.91,0.3,961.2842
2019-02-21,298.85,0.61,955.2525
2019-02-22,298.28,0.3,957.7128
2019-02-23,297.88,0.4,974.7506
2019-02-24,298.51,0.77,976.9788
2019-02-25,298.02,0.65,964.6374
2019-02-26,297.21,0.59,973.6914
2019-02-27,296.42,0.35,973.7435
2019-02-28,297.25,0.56,972.1976
2019-03-01,296.96,0.26,972.4293
2019-03-02,297.24,0.71,949.0175
2019-03-03,297.41,0.46,963.5294
2019-03-04,296.91,0.67,959.8552
2019-03-05,296.94,0.51,962.3591
2019-03-06,297.36,0.6,957.7587
2019-03-07,296.96,0.45,954.6371
2019-03-08,297.79,0.47,935.6812
2019-03-09,297.44,0.57,953.0725
2019-03-10,297.06,0.56,941.3106
2019-03-11,297.12,0.28,939.6769
2019-03-12,297.71,0.22,915.9503
2019-03-13,297.05,0.29,910.4775
2019-03-14,297.77,0.48,938.524
2019-03-15,298.23,0.7,938.1084
2019-03-16,298.17,0.46,943.0674
2019-03-17,298.35,0.33,905.5109
2019-03-18,299.0,0.55,941.1586
2019-03-19,299.11,0.3,939.6857
2019-03-20,299.12,0.22,910.8137
2019-03-21,298.47,0.5,899.3145
2019-03-22,297.75,0.17,891.1018
2019-03-23,297.81,0.55,903.4385
2019-03-24,297.82,0.6,896.7736
2019-03-25,297.74,0.36,897.1309
2019-03-26,297.72,0.84,881.0924
2019-03-27,297.73,0.81,910.4213
2019-03-28,298.44,0.71,898.6271
