Date,Temperature,Wind speed,Clear sky GHI
2019-01-01,291.14,1.65,1109.2054
2019-01-02,293.87,1.54,1118.7528
2019-01-03,293.52,3.23,1132.1017
2019-01-04,294.15,1.81,1140.2538
2019-01-05,296.1,2.51,1123.4814
2019-01-06,295.84,1.23,1132.3544
2019-01-07,293.71,1.72,1105.2834
2019-01-08,295.49,1.8,1136.8472
2019-01-09,296.97,0.92,1139.7024
2019-01-10,296.96,2.22,1109.8304
2019-01-11,298.45,2.75,1143.1587
2019-01-12,299.52,0.54,1131.9078
2019-01-13,298.81,2.13,1118.1851
2019-01-14,298.5,1.64,1054.2678
2019-01-15,296.82,1.23,1107.1694
2019-01-16,297.21,2.57,1120.2614
2019-01-17,296.98,0.76,1087.7229
2019-01-18,298.43,1.36,1128.5622
2019-01-19,297.74,3.21,1144.6969
2019-01-20,293.64,4.19,1139.5991
2019-01-21,294.51,2.04,1169.2808
2019-01-22,297.57,0.84,1154.7007
2019-01-23,298.7,0.62,1111.3021
2019-01-24,298.85,3.37,1101.3992
2019-01-25,298.32,2.62,1118.085
2019-01-26,296.86,2.57,1072.9338
2019-01-27,293.61,3.39,1102.42
2019-01-28,293.13,2.74,1108.282
2019-01-29,294.05,2.62,1108.2817
2019-01-30,296.37,1.52,1054.3054
2019-01-31,297.31,0.15,1078.7504
2019-02-01,296.12,2.38,1015.3306
2019-02-02,295.11,0.99,1026.8806
2019-02-03,295.52,2.0,1053.6647
2019-02-04,294.97,2.13,1076.3844
2019-02-05,293.11,2.26,1060.5159
2019-02-06,293.69,1.27,1021.4922
2019-02-07,295.76,2.46,986.3492
2019-02-08,296.29,0.54,999.5005
2019-02-09,297.78,2.07,1020.9777
2019-02-10,297.28,1.63,1026.3218
2019-02-11,297.28,0.19,976.2612
2019-02-12,296.12,0.41,1000.119
2019-02-13,294.25,3.35,999.8852
2019-02-14,292.4,3.87,1021.9124
2019-02-15,293.12,2.61,1017.6154
2019-02-16,294.17,1.29,998.947
2019-02-17,293.64,4.78,1062.3312
2019-02-18,292.93,3.07,1058.2915
2019-02-19,293.86,1.01,1051.6438
2019-02-20,294.7,1.8,1029.4379
2019-02-21,297.31,0.41,1022.3995
2019-02-22,295.27,2.11,980.822
2019-02-23,296.08,2.74,1016.5934
2019-02-24,297.28,1.62,1004.8504
2019-02-25,295.29,2.37,957.122
2019-02-26,296.2,2.4,1022.514
2019-02-27,297.67,1.77,1017.2351
2019-02-28,296.76,1.49,1009.7238
2019-03-01,297.35,0.61,991.606
2019-03-02,297.66,2.39,978.3243
2019-03-03,297.84,1.78,951.7188
2019-03-04,296.83,2.64,966.4826
2019-03-05,297.19,3.06,929.3159
2019-03-06,296.1,2.05,929.7955
2019-03-07,296.75,0.64,930.0361
2019-03-08,296.0,1.8,873.8238
2019-03-09,295.32,1.69,927.7861
2019-03-10,296.4,2.55,921.1162
2019-03-11,294.29,2.78,894.5404
2019-03-12,294.44,2.7,910.4249
2019-03-13,296.1,1.16,910.7893
2019-03-14,296.32,3.09,919.3567
2019-03-15,293.63,3.0,954.2477
2019-03-16,295.16,2.1,916.5691
2019-03-17,296.31,0.7,873.0312
2019-03-18,297.0,2.03,874.3502
2019-03-19,296.85,0.42,886.8754
2019-03-20,296.88,0.88,893.0827
2019-03-21,296.85,0.99,889.1013
2019-03-22,294.68,3.97,843.6036
2019-03-23,293.98,3.9,874.1731
2019-03-24,294.62,1.09,849.0208
2019-03-25,297.05,1.82,862.8899
2019-03-26,296.18,2.94,833.4417
2019-03-27,293.71,2.9,837.2021
2019-03-28,296.45,2.28,825.3749
2019-03-29,297.5,0.69,837.1606
2019-03-30,296.41,0.82,821.8077
2019-03-31,296.01,2.14,808.821
2019-04-01,292.43,1.17,786.964
2019-04-02,292.0,3.4,778.2172
2019-04-03,292.19,3.06,809.1587
2019-04-04,293.4,1.79,794.0053
2019-04-05,291.53,0.71,749.6503
2019-04-06,291.42,2.41,788.1408
2019-04-07,291.15,1.67,766.9283
2019-04-08,291.88,1.62,786.6744
2019-04-09,292.76,0.98,769.2205
2019-04-10,292.16,1.01,726.9819
2019-04-11,291.24,0.17,690.4575
2019-04-12,290.1,0.19,657.7963
2019-04-13,290.79,0.83,667.9155
2019-04-14,291.37,1.94,707.8795
2019-04-15,291.99,2.11,730.2314
2019-04-16,290.94,2.72,762.964
2019-04-17,290.47,0.5,758.1311
2019-04-18,291.93,2.27,714.265
2019-04-19,292.44,1.62,722.3132
2019-04-20,292.21,0.19,685.3468
2019-04-21,291.73,2.05,676.7172
2019-04-22,290.04,3.29,686.975
2019-04-23,289.81,3.89,676.9764
2019-04-24,290.81,2.48,697.958
2019-04-25,290.15,1.17,672.7045
2019-04-26,289.63,2.75,691.1901
2019-04-27,290.08,0.97,679.8483
2019-04-28,290.47,1.1,655.7463
2019-04-29,290.84,0.59,630.962
2019-04-30,289.78,0.63,671.9649
2019-05-01,290.12,1.23,673.4322
2019-05-02,289.79,0.64,679.5487
2019-05-03,290.56,1.89,661.7906
2019-05-04,291.85,0.43,640.2896
2019-05-05,290.48,2.59,658.1966
2019-05-06,291.66,1.36,643.1561
2019-05-07,289.72,3.76,630.5426
2019-05-08,289.23,2.93,606.369
2019-05-09,288.76,2.2,610.8971
2019-05-10,288.66,0.9,607.2441
2019-05-11,289.63,0.96,602.2116
2019-05-12,289.74,0.64,594.812
2019-05-13,289.56,1.38,602.7183
2019-05-14,289.42,2.22,617.6973
2019-05-15,289.05,0.76,610.1284
2019-05-16,289.48,1.39,584.1904
2019-05-17,289.37,0.38,575.7601
2019-05-18,289.57,1.41,570.2048
2019-05-19,289.21,0.76,564.5656
2019-05-20,288.46,1.78,580.3496
2019-05-21,289.38,1.6,573.1078
2019-05-22,288.84,1.05,535.6193
2019-05-23,289.68,1.57,557.4122
2019-05-24,288.27,1.46,501.2917
2019-05-25,288.38,1.35,536.3372
2019-05-26,288.07,0.79,560.234
2019-05-27,286.93,0.63,546.8013
2019-05-28,286.99,1.11,529.4994
2019-05-29,286.04,2.16,517.5802
2019-05-30,285.55,2.78,533.7531
2019-05-31,286.0,1.52,538.5705
2019-06-01,285.47,0.68,527.9506
2019-06-02,285.61,2.52,505.6551
2019-06-03,286.55,1.41,546.1482
2019-06-04,287.28,1.07,536.3694
2019-06-05,287.4,3.01,543.9979
2019-06-06,286.96,3.01,541.2551
2019-06-07,286.06,0.48,524.0765
2019-06-08,286.05,3.22,531.6077
2019-06-09,284.31,2.81,548.6022
2019-06-10,285.92,0.84,541.0015
2019-06-11,286.31,0.95,525.8128
2019-06-12,285.35,2.64,536.5998
2019-06-13,284.54,3.0,525.4503
2019-06-14,283.81,0.05,522.057
2019-06-15,284.69,0.51,519.4045
2019-06-16,285.07,0.93,512.5422
2019-06-17,284.58,0.95,535.2387
2019-06-18,284.68,3.36,524.4759
2019-06-19,284.69,2.61,539.6362
2019-06-20,283.92,2.05,529.1929
2019-06-21,284.5,1.65,540.7737
2019-06-22,285.66,1.62,531.2789
2019-06-23,283.83,3.2,525.9448
2019-06-24,283.67,1.14,540.7019
2019-06-25,284.07,0.92,534.8044
2019-06-26,284.2,3.8,518.5079
2019-06-27,285.67,1.58,522.1076
2019-06-28,286.68,2.39,524.9878
2019-06-29,287.99,1.83,523.089
2019-06-30,286.76,1.66,523.2319
2019-07-01,283.44,3.45,541.6537
2019-07-02,281.01,4.4,553.0404
2019-07-03,283.44,2.56,550.115
2019-07-04,283.92,0.83,544.7602
2019-07-05,284.24,3.19,534.3699
2019-07-06,282.51,1.61,530.8707
2019-07-07,284.2,4.86,543.715
2019-07-08,284.36,3.82,536.2262
2019-07-09,285.9,3.88,538.9581
2019-07-10,287.34,1.26,541.0384
2019-07-11,288.63,1.9,557.2956
2019-07-12,288.57,0.38,571.5991
2019-07-13,286.66,1.23,563.4476
2019-07-14,287.15,0.59,559.1158
2019-07-15,287.05,0.4,560.808
2019-07-16,286.42,2.24,571.2026
2019-07-17,286.14,1.92,575.214
2019-07-18,286.64,2.98,564.5419
2019-07-19,285.83,4.94,585.3223
2019-07-20,283.6,5.76,587.0004
2019-07-21,281.25,2.9,583.0569
2019-07-22,282.23,2.43,603.2787
2019-07-23,284.03,3.92,612.7004
2019-07-24,283.43,4.38,610.6028
2019-07-25,285.06,1.02,604.3569
2019-07-26,285.84,2.44,604.15
2019-07-27,285.48,1.43,573.1081
2019-07-28,286.57,1.69,583.5418
2019-07-29,287.59,1.18,596.1946
2019-07-30,288.6,1.51,611.5068
2019-07-31,287.93,3.66,610.4484
2019-08-01,287.05,3.5,595.0621
2019-08-02,286.85,3.39,607.3818
2019-08-03,288.42,2.91,602.5873
2019-08-04,291.18,2.46,628.9802
2019-08-05,291.44,2.25,573.2535
2019-08-06,291.95,2.33,580.7332
2019-08-07,291.33,3.54,591.9954
