Date,Temperature,Wind speed,Clear sky GHI
2019-01-01,284.26,3.91,357.4187
2019-01-02,277.6,0.68,347.6869
2019-01-03,278.02,1.54,358.8463
2019-01-04,276.26,1.4,329.2253
2019-01-05,279.39,2.46,340.6702
2019-01-06,278.77,4.17,371.6645
2019-01-07,273.8,1.72,364.5473
2019-01-08,277.6,3.29,359.9841
2019-01-09,278.49,6.18,366.6881
2019-01-10,271.77,8.42,391.2021
2019-01-11,271.19,5.62,388.5659
2019-01-12,272.08,1.05,368.5677
2019-01-13,271.28,3.59,372.5244
2019-01-14,270.6,3.17,389.8299
2019-01-15,269.4,3.19,397.6818
2019-01-16,270.82,3.1,386.2757
2019-01-17,272.23,1.08,386.5882
2019-01-18,273.64,0.57,395.9683
2019-01-19,273.63,2.07,377.8072
2019-01-20,275.27,4.09,405.7584
2019-01-21,263.66,9.97,460.8268
2019-01-22,265.09,1.89,433.1123
2019-01-23,273.21,4.87,405.1366
2019-01-24,281.19,4.01,406.4102
2019-01-25,272.52,4.44,450.5908
2019-01-26,272.07,0.05,442.0135
2019-01-27,273.76,3.06,444.8509
2019-01-28,272.66,2.44,458.6827
2019-01-29,272.51,2.16,431.9533
2019-01-30,268.19,4.76,479.8956
2019-01-31,261.82,3.74,493.1378
2019-02-01,265.52,1.61,456.7215
2019-02-02,268.01,0.86,459.3026
2019-02-03,274.29,0.92,467.8361
2019-02-04,277.31,1.17,475.2373
2019-02-05,280.84,1.65,466.4239
2019-02-06,280.81,2.34,451.0464
2019-02-07,280.37,1.22,456.2136
2019-02-08,281.24,3.54,513.8765
2019-02-09,271.4,6.19,550.1461
2019-02-10,271.52,0.45,528.0553
2019-02-11,273.22,1.8,491.0888
2019-02-12,273.77,3.51,490.5494
2019-02-13,274.69,4.19,550.5651
2019-02-14,274.14,2.32,541.8735
2019-02-15,280.75,4.73,529.4491
2019-02-16,276.46,4.1,558.1741
2019-02-17,272.62,1.53,535.959
2019-02-18,276.33,3.43,582.2202
2019-02-19,272.89,3.93,593.6064
2019-02-20,272.67,3.19,545.2275
2019-02-21,275.19,1.31,587.2004
2019-02-22,276.91,2.5,573.2256
2019-02-23,274.82,2.84,557.8221
2019-02-24,278.02,2.45,587.2982
2019-02-25,276.13,9.36,666.2104
2019-02-26,275.16,3.04,621.7014
2019-02-27,273.86,2.62,612.1922
2019-02-28,276.45,2.03,643.27
2019-03-01,274.0,3.59,583.2803
2019-03-02,274.95,2.6,634.5054
2019-03-03,274.56,1.62,602.1605
2019-03-04,273.33,4.97,678.4174
2019-03-05,269.98,2.7,695.7916
2019-03-06,268.82,6.33,713.6708
2019-03-07,270.23,3.0,688.5552
2019-03-08,273.05,1.8,659.8888
2019-03-09,275.1,1.42,682.9534
2019-03-10,279.19,3.07,672.8296
2019-03-11,281.9,4.34,707.9577
2019-03-12,277.55,4.52,738.094
2019-03-13,277.96,2.05,719.8406
2019-03-14,283.57,4.26,672.9745
2019-03-15,289.56,5.53,678.5897
2019-03-16,281.01,6.39,761.5814
2019-03-17,276.65,3.1,773.5969
2019-03-18,277.11,2.32,763.5118
2019-03-19,276.85,1.08,780.8411
2019-03-20,276.98,2.32,770.6378
2019-03-21,279.61,2.54,720.5934
2019-03-22,279.47,8.33,789.3799
2019-03-23,276.86,7.79,828.3396
2019-03-24,278.98,2.64,804.7605
2019-03-25,282.99,1.77,740.9022
2019-03-26,277.82,5.32,854.4466
2019-03-27,276.45,2.42,841.871
2019-03-28,278.76,3.79,817.5686
2019-03-29,284.6,2.29,780.7503
2019-03-30,286.46,3.63,768.3875
2019-03-31,285.16,3.7,839.5007
2019-04-01,275.83,5.24,896.1496
2019-04-02,277.43,2.23,858.5698
2019-04-03,281.02,3.62,863.5798
2019-04-04,283.97,1.86,837.4973
2019-04-05,281.62,3.96,808.0824
2019-04-06,283.79,1.37,823.3946
2019-04-07,286.98,3.01,838.4039
2019-04-08,291.08,3.66,803.9502
2019-04-09,291.26,2.99,853.494
2019-04-10,286.6,3.59,909.1498
2019-04-11,284.78,3.49,874.9888
2019-04-12,287.17,4.53,858.1931
2019-04-13,291.87,2.1,840.7109
2019-04-14,290.93,3.84,830.9852
2019-04-15,288.16,6.13,933.7892
2019-04-16,283.22,3.81,912.7871
2019-04-17,286.85,0.9,889.5446
2019-04-18,288.3,3.0,862.9862
2019-04-19,292.33,6.56,871.8171
2019-04-20,292.12,6.21,941.1442
2019-04-21,287.27,1.93,936.512
2019-04-22,288.03,4.55,915.2246
2019-04-23,290.1,1.93,944.3004
2019-04-24,291.48,3.39,975.8807
2019-04-25,290.1,1.49,886.5723
2019-04-26,289.9,2.57,894.9739
2019-04-27,286.6,6.94,1016.6167
2019-04-28,287.75,2.21,953.7458
2019-04-29,283.85,1.92,955.2154
2019-04-30,290.37,1.95,918.6115
2019-05-01,290.81,3.59,898.1918
2019-05-02,293.97,2.02,927.0663
2019-05-03,294.28,1.74,907.8026
2019-05-04,294.07,0.46,940.3262
2019-05-05,291.51,2.35,949.744
2019-05-06,289.99,1.85,990.2595
2019-05-07,291.88,2.63,988.3736
2019-05-08,291.81,1.47,932.2946
2019-05-09,292.37,4.21,960.3637
2019-05-10,293.58,4.29,977.5292
2019-05-11,291.23,2.05,951.3402
2019-05-12,287.72,4.71,964.7764
2019-05-13,284.49,2.97,1001.0684
2019-05-14,285.08,3.74,1040.446
2019-05-15,286.54,3.31,1031.6158
2019-05-16,289.99,2.83,1008.3208
2019-05-17,292.64,2.8,985.6261
2019-05-18,295.43,0.49,953.0207
2019-05-19,295.75,3.5,976.6579
2019-05-20,297.46,4.43,980.7138
2019-05-21,291.09,4.68,1060.3765
2019-05-22,289.29,1.28,1044.2494
2019-05-23,292.89,3.16,983.1516
2019-05-24,295.34,4.05,1036.6843
2019-05-25,294.0,2.21,989.6287
2019-05-26,297.2,2.36,1017.5681
2019-05-27,296.31,2.29,1021.9876
2019-05-28,296.61,2.82,982.1969
2019-05-29,298.88,3.48,987.2308
2019-05-30,297.05,2.85,1012.6754
2019-05-31,296.32,2.79,1038.0193
2019-06-01,296.2,1.19,898.4734
2019-06-02,295.14,2.18,903.1603
2019-06-03,291.54,3.91,1060.708
2019-06-04,289.36,1.76,1035.2153
2019-06-05,293.08,3.51,909.422
2019-06-06,297.29,2.63,1025.1385
2019-06-07,296.33,2.77,999.156
2019-06-08,294.83,3.78,1021.9096
2019-06-09,292.98,5.46,993.1659
2019-06-10,294.5,2.49,1002.5688
2019-06-11,293.86,4.76,1117.2133
2019-06-12,292.27,2.73,1093.5444
2019-06-13,293.33,1.61,1043.3604
2019-06-14,291.15,5.13,1094.0662
2019-06-15,291.84,3.7,1084.3956
2019-06-16,295.56,4.27,990.4249
2019-06-17,297.74,1.75,987.053
2019-06-18,297.41,1.91,994.3265
2019-06-19,297.36,1.89,1008.3193
2019-06-20,298.57,2.8,1012.3998
2019-06-21,296.36,5.06,1057.6305
2019-06-22,294.05,3.51,1101.3674
2019-06-23,294.71,1.35,1084.2069
2019-06-24,296.5,2.09,1001.7048
2019-06-25,298.45,1.85,1055.4133
2019-06-26,298.34,2.88,1070.8702
2019-06-27,300.12,1.42,1046.4243
2019-06-28,299.91,1.37,1001.3555
2019-06-29,300.04,2.43,1024.028
2019-06-30,299.46,3.74,1053.7709
2019-07-01,296.69,2.39,1100.8043
2019-07-02,298.64,2.45,1025.5123
2019-07-03,299.88,2.25,996.9255
2019-07-04,301.22,0.78,974.1553
2019-07-05,300.04,1.69,954.4577
2019-07-06,300.67,1.83,979.0325
2019-07-07,300.02,1.29,978.2824
2019-07-08,296.95,3.92,1004.0941
2019-07-09,296.67,0.73,1017.1571
