# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -79.4063
# Longitude (positive East, ISO 19115): 0.3149
# Altitude (m): 2387.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2022-11-10
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-01-01T00:00:00.0/2019-01-02T00:00:00.0;12976.4502;11257.6182;9533.9170;1723.7009;24206.5039
2019-01-02T00:00:00.0/2019-01-03T00:00:00.0;12930.7666;11101.0684;9421.3232;1679.7451;24033.6934
2019-01-03T00:00:00.0/2019-01-04T00:00:00.0;12880.8564;11171.2178;9596.2324;1574.9850;24572.5566
2019-01-04T00:00:00.0/2019-01-05T00:00:00.0;12826.7373;10975.1123;9215.3555;1759.7567;23657.5117
2019-01-05T00:00:00.0/2019-01-06T00:00:00.0;12768.4297;11011.1289;9371.0781;1640.0513;24181.5371
2019-01-06T00:00:00.0/2019-01-07T00:00:00.0;12705.9541;10982.3633;9405.9629;1576.4004;24408.7246
2019-01-07T00:00:00.0/2019-01-08T00:00:00.0;12639.3350;10863.6621;9199.9434;1663.7194;23889.0605
2019-01-08T00:00:00.0/2019-01-09T00:00:00.0;12568.5967;10576.3115;8492.9629;2083.3496;22111.3066
2019-01-09T00:00:00.0/2019-01-10T00:00:00.0;12493.7686;10725.1357;8996.5098;1728.6254;23619.0625
2019-01-10T00:00:00.0/2019-01-11T00:00:00.0;12414.8779;10736.3184;9244.6201;1491.6982;24483.3438
2019-01-11T00:00:00.0/2019-01-12T00:00:00.0;12331.9561;10615.0557;9066.2900;1548.7657;24161.0195
2019-01-12T00:00:00.0/2019-01-13T00:00:00.0;12245.0361;10486.8496;9043.9629;1442.8868;24256.6387
2019-01-13T00:00:00.0/2019-01-14T00:00:00.0;12154.1514;10359.7695;8950.5371;1409.2322;24138.4902
2019-01-14T00:00:00.0/2019-01-15T00:00:00.0;12059.3379;10307.1055;8803.0391;1504.0660;24029.4141
2019-01-15T00:00:00.0/2019-01-16T00:00:00.0;11960.6318;10068.5674;8269.4980;1799.0690;22596.1445
2019-01-16T00:00:00.0/2019-01-17T00:00:00.0;11858.0713;9993.5332;8204.9424;1788.5909;22397.2832
2019-01-17T00:00:00.0/2019-01-18T00:00:00.0;11751.6943;9963.0732;8411.9600;1551.1136;23285.0703
2019-01-18T00:00:00.0/2019-01-19T00:00:00.0;11641.5410;9985.1152;8480.4736;1504.6414;23825.0273
2019-01-19T00:00:00.0/2019-01-20T00:00:00.0;11527.6523;9683.0674;8373.4043;1309.6635;23701.8574
2019-01-20T00:00:00.0/2019-01-21T00:00:00.0;11410.0723;9268.2783;7980.4980;1287.7803;22810.0117
2019-01-21T00:00:00.0/2019-01-22T00:00:00.0;11288.8721;9410.6777;8128.1460;1282.5311;23506.3555
2019-01-22T00:00:00.0/2019-01-23T00:00:00.0;11164.0361;9577.7246;8311.8301;1265.8948;24281.1895
2019-01-23T00:00:00.0/2019-01-24T00:00:00.0;11035.6406;9256.6387;7974.3726;1282.2656;23547.4746
2019-01-24T00:00:00.0/2019-01-25T00:00:00.0;10903.7324;9174.1660;7742.9551;1431.2111;23009.5508
2019-01-25T00:00:00.0/2019-01-26T00:00:00.0;10768.3584;9194.2480;7956.0146;1238.2333;23960.0977
2019-01-26T00:00:00.0/2019-01-27T00:00:00.0;10629.5703;8957.0000;7486.0176;1470.9818;22826.1426
2019-01-27T00:00:00.0/2019-01-28T00:00:00.0;10487.4189;8853.3555;7516.0366;1337.3192;23104.4863
2019-01-28T00:00:00.0/2019-01-29T00:00:00.0;10341.9570;8656.5361;7344.5811;1311.9545;22803.8008
2019-01-29T00:00:00.0/2019-01-30T00:00:00.0;10193.2383;8386.8711;6855.5562;1531.3147;21532.8516
2019-01-30T00:00:00.0/2019-01-31T00:00:00.0;10041.3203;8342.2363;6928.3921;1413.8442;22007.1289
2019-01-31T00:00:00.0/2019-02-01T00:00:00.0;9886.2607;8131.3066;6778.9873;1352.3195;21780.6699
2019-02-01T00:00:00.0/2019-02-02T00:00:00.0;9728.1201;8188.0947;7006.6880;1181.4067;22994.8125
2019-02-02T00:00:00.0/2019-02-03T00:00:00.0;9566.9580;8032.4272;6871.4785;1160.9487;22907.9746
2019-02-03T00:00:00.0/2019-02-04T00:00:00.0;9402.8389;7911.0415;6691.0762;1219.9653;22565.9590
2019-02-04T00:00:00.0/2019-02-05T00:00:00.0;9235.8262;7696.8457;6481.9541;1214.8914;22071.4062
2019-02-05T00:00:00.0/2019-02-06T00:00:00.0;9065.9873;7564.1968;6340.8687;1223.3276;21887.5957
2019-02-06T00:00:00.0/2019-02-07T00:00:00.0;8893.3877;7519.9893;6413.1362;1106.8534;22679.8281
2019-02-07T00:00:00.0/2019-02-08T00:00:00.0;8718.0967;7366.7183;6317.2700;1049.4482;22735.0801
2019-02-08T00:00:00.0/2019-02-09T00:00:00.0;8540.1816;7186.0024;6146.1270;1039.8754;22465.4102
2019-02-09T00:00:00.0/2019-02-10T00:00:00.0;8359.7119;6987.2969;5880.7310;1106.5659;21435.5020
2019-02-10T00:00:00.0/2019-02-11T00:00:00.0;8176.7583;6665.8306;5579.5337;1086.2965;20458.7578
2019-02-11T00:00:00.0/2019-02-12T00:00:00.0;7991.3906;6523.0464;5513.2290;1009.8170;21000.4570
2019-02-12T00:00:00.0/2019-02-13T00:00:00.0;7803.6787;6455.3438;5430.1860;1025.1577;20870.0098
2019-02-13T00:00:00.0/2019-02-14T00:00:00.0;7613.6934;6274.5972;5207.0303;1067.5668;20335.1680
2019-02-14T00:00:00.0/2019-02-15T00:00:00.0;7421.5049;6097.3428;5083.6226;1013.7203;20218.0059
2019-02-15T00:00:00.0/2019-02-16T00:00:00.0;7227.1826;5937.6221;5033.6357;903.9864;20564.9004
2019-02-16T00:00:00.0/2019-02-17T00:00:00.0;7030.7969;5755.7227;4869.4556;886.2669;20114.3574
2019-02-17T00:00:00.0/2019-02-18T00:00:00.0;6832.4175;5533.4536;4659.0410;874.4125;19470.7070
2019-02-18T00:00:00.0/2019-02-19T00:00:00.0;6632.1143;5440.6582;4587.6543;853.0039;19324.7188
2019-02-19T00:00:00.0/2019-02-20T00:00:00.0;6429.9565;5285.9121;4467.8257;818.0863;18620.2285
2019-02-20T00:00:00.0/2019-02-21T00:00:00.0;6226.0396;5081.2412;4284.3955;796.8458;17938.5742
2019-02-21T00:00:00.0/2019-02-22T00:00:00.0;6021.9995;4919.8423;4144.3809;775.4619;17481.8926
2019-02-22T00:00:00.0/2019-02-23T00:00:00.0;5826.0264;4789.4731;4045.0420;744.4309;17220.2461
2019-02-23T00:00:00.0/2019-02-24T00:00:00.0;5639.6353;4563.9419;3833.3247;730.6171;16456.1855
2019-02-24T00:00:00.0/2019-02-25T00:00:00.0;5458.5039;4415.8071;3707.9868;707.8204;16044.1162
2019-02-25T00:00:00.0/2019-02-26T00:00:00.0;5281.5361;4300.7646;3617.7935;682.9713;15932.2451
2019-02-26T00:00:00.0/2019-02-27T00:00:00.0;5108.1572;4129.7490;3465.8164;663.9329;15443.3545
2019-02-27T00:00:00.0/2019-02-28T00:00:00.0;4938.0146;3976.5718;3331.3713;645.2005;15051.8096
2019-02-28T00:00:00.0/2019-03-01T00:00:00.0;4770.8877;3841.3533;3189.2383;652.1151;14600.4902
2019-03-01T00:00:00.0/2019-03-02T00:00:00.0;4606.6011;3737.6211;3117.0449;620.5763;14542.5928
2019-03-02T00:00:00.0/2019-03-03T00:00:00.0;4445.0557;3536.6941;2928.9973;607.6968;13832.4072
2019-03-03T00:00:00.0/2019-03-04T00:00:00.0;4286.1660;3418.5825;2838.7839;579.7986;13651.6768
2019-03-04T00:00:00.0/2019-03-05T00:00:00.0;4129.8779;3318.4412;2764.1326;554.3085;13586.8643
2019-03-05T00:00:00.0/2019-03-06T00:00:00.0;3976.1443;3184.5515;2647.3359;537.2156;13263.2441
2019-03-06T00:00:00.0/2019-03-07T00:00:00.0;3824.9497;3046.9062;2525.1785;521.7278;12864.7402
2019-03-07T00:00:00.0/2019-03-08T00:00:00.0;3676.2693;2828.7793;2322.5083;506.2710;12026.7666
2019-03-08T00:00:00.0/2019-03-09T00:00:00.0;3530.1152;2698.6797;2213.5894;485.0905;11711.7979
2019-03-09T00:00:00.0/2019-03-10T00:00:00.0;3386.4509;2647.9150;2176.3862;471.5289;11811.0645
2019-03-10T00:00:00.0/2019-03-11T00:00:00.0;3245.3179;2591.9810;2135.2856;456.6953;11880.8887
2019-03-11T00:00:00.0/2019-03-12T00:00:00.0;3106.7122;2460.9648;2016.5894;444.3755;11479.1924
2019-03-12T00:00:00.0/2019-03-13T00:00:00.0;2970.6309;2351.9272;1925.6295;426.2978;11235.0352
2019-03-13T00:00:00.0/2019-03-14T00:00:00.0;2837.0942;2234.1494;1825.9735;408.1760;10937.3535
2019-03-14T00:00:00.0/2019-03-15T00:00:00.0;2706.1255;2101.9104;1709.0746;392.8359;10490.5586
2019-03-15T00:00:00.0/2019-03-16T00:00:00.0;2577.7283;1972.3372;1572.1927;400.1443;9928.6025
2019-03-16T00:00:00.0/2019-03-17T00:00:00.0;2451.9336;1885.7079;1520.3575;365.3504;9848.9082
2019-03-17T00:00:00.0/2019-03-18T00:00:00.0;2328.7434;1781.5358;1428.2069;353.3289;9508.7930
2019-03-18T00:00:00.0/2019-03-19T00:00:00.0;2208.1992;1685.6133;1352.9161;332.6971;9310.2764
2019-03-19T00:00:00.0/2019-03-20T00:00:00.0;2090.3225;1582.1185;1255.1117;327.0069;8903.4443
2019-03-20T00:00:00.0/2019-03-21T00:00:00.0;1975.1145;1483.7208;1177.7653;305.9556;8632.2881
2019-03-21T00:00:00.0/2019-03-22T00:00:00.0;1862.5978;1389.3435;1099.4652;289.8783;8334.3750
2019-03-22T00:00:00.0/2019-03-23T00:00:00.0;1752.8358;1299.3141;1022.3137;277.0005;8027.6821
2019-03-23T00:00:00.0/2019-03-24T00:00:00.0;1645.8124;1203.7738;940.4254;263.3484;7647.1348
2019-03-24T00:00:00.0/2019-03-25T00:00:00.0;1541.5667;1119.6973;870.1264;249.5709;7356.5537
2019-03-25T00:00:00.0/2019-03-26T00:00:00.0;1440.1270;1032.3903;795.4002;236.9901;6991.1538
2019-03-26T00:00:00.0/2019-03-27T00:00:00.0;1341.5280;968.1210;743.7301;224.3909;6825.3486
2019-03-27T00:00:00.0/2019-03-28T00:00:00.0;1245.7992;866.8450;652.0301;214.8149;6233.4678
2019-03-28T00:00:00.0/2019-03-29T00:00:00.0;1152.9697;791.6234;592.3339;199.2895;5926.4731
2019-03-29T00:00:00.0/2019-03-30T00:00:00.0;1063.0719;734.1168;545.7542;188.3626;5736.7153
2019-03-30T00:00:00.0/2019-03-31T00:00:00.0;976.1448;671.9681;499.0802;172.8879;5531.4106
2019-03-31T00:00:00.0/2019-04-01T00:00:00.0;892.2363;597.4720;437.3235;160.1485;5104.8691
2019-04-01T00:00:00.0/2019-04-02T00:00:00.0;811.3853;538.7851;389.3409;149.4442;4806.1777
2019-04-02T00:00:00.0/2019-04-03T00:00:00.0;733.6254;479.8887;343.1612;136.7274;4497.5542
2019-04-03T00:00:00.0/2019-04-04T00:00:00.0;659.0297;422.5407;294.8380;127.7027;4110.2837
2019-04-04T00:00:00.0/2019-04-05T00:00:00.0;587.6232;363.8377;240.2382;123.5995;3570.0579
2019-04-05T00:00:00.0/2019-04-06T00:00:00.0;519.4927;323.9280;216.8811;107.0469;3472.8398
2019-04-06T00:00:00.0/2019-04-07T00:00:00.0;454.6792;279.7585;186.7216;93.0369;3235.9500
2019-04-07T00:00:00.0/2019-04-08T00:00:00.0;393.2829;238.3729;158.5911;79.7818;2980.9746
2019-04-08T00:00:00.0/2019-04-09T00:00:00.0;335.3675;199.5828;129.5684;70.0144;2660.5945
2019-04-09T00:00:00.0/2019-04-10T00:00:00.0;281.0428;163.9849;104.8182;59.1668;2358.5918
