# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -24.7761
# Longitude (positive East, ISO 19115): 134.7550
# Altitude (m): 275.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2022-11-10
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-01-01T00:00:00.0/2019-01-02T00:00:00.0;11922.8125;9254.0889;8257.6504;996.4384;11590.2754
2019-01-02T00:00:00.0/2019-01-03T00:00:00.0;11917.7041;9285.2529;8403.6172;881.6362;11993.0254
2019-01-03T00:00:00.0/2019-01-04T00:00:00.0;11912.0820;9394.8037;8504.6465;890.1575;12083.4238
2019-01-04T00:00:00.0/2019-01-05T00:00:00.0;11905.7715;9172.0244;8009.6895;1162.3354;10838.4541
2019-01-05T00:00:00.0/2019-01-06T00:00:00.0;11898.8340;8889.1445;7322.7979;1566.3467;10039.2734
2019-01-06T00:00:00.0/2019-01-07T00:00:00.0;11891.3174;9196.8711;7966.0078;1230.8630;11144.8047
2019-01-07T00:00:00.0/2019-01-08T00:00:00.0;11883.1436;9484.2217;8577.5781;906.6443;12198.1611
2019-01-08T00:00:00.0/2019-01-09T00:00:00.0;11874.3838;9524.3369;8595.5508;928.7864;12122.5547
2019-01-09T00:00:00.0/2019-01-10T00:00:00.0;11864.9502;9461.4053;8504.6982;956.7073;12037.5039
2019-01-10T00:00:00.0/2019-01-11T00:00:00.0;11854.9375;9385.7637;8374.6768;1011.0868;11730.9180
2019-01-11T00:00:00.0/2019-01-12T00:00:00.0;11844.2422;9141.5791;8170.9404;970.6390;11532.8525
2019-01-12T00:00:00.0/2019-01-13T00:00:00.0;11832.9004;9114.8438;8154.4863;960.3569;11367.5752
2019-01-13T00:00:00.0/2019-01-14T00:00:00.0;11820.9082;9161.3477;8126.4424;1034.9052;11383.0166
2019-01-14T00:00:00.0/2019-01-15T00:00:00.0;11808.3252;9164.8154;8204.5693;960.2459;11504.6504
2019-01-15T00:00:00.0/2019-01-16T00:00:00.0;11795.0410;9173.0723;8186.9531;986.1194;11460.4346
2019-01-16T00:00:00.0/2019-01-17T00:00:00.0;11781.0957;9124.1309;8106.2568;1017.8737;11337.5205
2019-01-17T00:00:00.0/2019-01-18T00:00:00.0;11766.4824;9051.5654;8088.7397;962.8257;11451.6211
2019-01-18T00:00:00.0/2019-01-19T00:00:00.0;11751.2617;9021.7559;8037.9067;983.8494;11132.8555
2019-01-19T00:00:00.0/2019-01-20T00:00:00.0;11735.3223;8964.6602;7806.6812;1157.9795;10883.3877
2019-01-20T00:00:00.0/2019-01-21T00:00:00.0;11718.6709;9043.7764;8026.7842;1016.9924;11078.7832
2019-01-21T00:00:00.0/2019-01-22T00:00:00.0;11701.3848;9047.0605;7951.8345;1095.2258;10994.2041
2019-01-22T00:00:00.0/2019-01-23T00:00:00.0;11683.4697;8938.6855;7774.6455;1164.0399;10650.0654
2019-01-23T00:00:00.0/2019-01-24T00:00:00.0;11664.8193;8929.7266;7821.9766;1107.7501;10726.4658
2019-01-24T00:00:00.0/2019-01-25T00:00:00.0;11645.4717;8970.1064;7918.0410;1052.0651;10986.0293
2019-01-25T00:00:00.0/2019-01-26T00:00:00.0;11625.3994;8870.0898;7868.8721;1001.2182;10849.7109
2019-01-26T00:00:00.0/2019-01-27T00:00:00.0;11604.7324;8777.9736;7711.1606;1066.8130;10620.8086
2019-01-27T00:00:00.0/2019-01-28T00:00:00.0;11583.3125;8538.0605;7134.5181;1403.5426;9745.7676
2019-01-28T00:00:00.0/2019-01-29T00:00:00.0;11561.1533;8474.4287;6896.3174;1578.1118;9513.9229
2019-01-29T00:00:00.0/2019-01-30T00:00:00.0;11538.3789;8667.4189;7505.1685;1162.2510;10439.7354
2019-01-30T00:00:00.0/2019-01-31T00:00:00.0;11514.8604;8788.8174;7877.3491;911.4684;11118.6553
2019-01-31T00:00:00.0/2019-02-01T00:00:00.0;11490.6064;8692.3154;7527.3491;1164.9664;10345.8984
2019-02-01T00:00:00.0/2019-02-02T00:00:00.0;11465.6729;8545.9180;7274.2314;1271.6862;9901.7119
2019-02-02T00:00:00.0/2019-02-03T00:00:00.0;11440.0459;8582.3193;7419.6699;1162.6497;10343.0771
2019-02-03T00:00:00.0/2019-02-04T00:00:00.0;11413.7158;8713.0234;7739.0830;973.9410;10824.9014
2019-02-04T00:00:00.0/2019-02-05T00:00:00.0;11386.6270;8706.6553;7734.9526;971.7023;10847.1533
2019-02-05T00:00:00.0/2019-02-06T00:00:00.0;11358.9199;8750.2012;7812.0107;938.1902;10960.7539
2019-02-06T00:00:00.0/2019-02-07T00:00:00.0;11330.4326;8745.2275;7830.4717;914.7557;11101.3730
2019-02-07T00:00:00.0/2019-02-08T00:00:00.0;11301.2744;8713.4365;7783.6504;929.7861;10912.7539
2019-02-08T00:00:00.0/2019-02-09T00:00:00.0;11271.4121;8587.3330;7283.0781;1304.2552;10128.6660
2019-02-09T00:00:00.0/2019-02-10T00:00:00.0;11240.8086;8912.6904;7766.0703;1146.6202;10944.5117
2019-02-10T00:00:00.0/2019-02-11T00:00:00.0;11209.5605;8908.5146;7993.1812;915.3339;11561.1475
2019-02-11T00:00:00.0/2019-02-12T00:00:00.0;11177.5967;8877.7969;8089.7422;788.0552;11788.1973
2019-02-12T00:00:00.0/2019-02-13T00:00:00.0;11144.9512;8631.9580;7571.7251;1060.2332;10445.9600
2019-02-13T00:00:00.0/2019-02-14T00:00:00.0;11111.5723;8674.5674;7648.8618;1025.7052;11076.5518
2019-02-14T00:00:00.0/2019-02-15T00:00:00.0;11077.5371;8894.3711;8032.9775;861.3934;11669.2588
2019-02-15T00:00:00.0/2019-02-16T00:00:00.0;11042.8213;8956.5869;8095.9819;860.6048;11735.4834
2019-02-16T00:00:00.0/2019-02-17T00:00:00.0;11007.3848;8851.2676;8043.7544;807.5128;11737.1035
