# Coding: utf-8,
# File format version: 2,
# Title: CAMS McClear v3.5 model of clear-sky irradiation.,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.,
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step
#           for a selected location (worldwide coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: MINES ParisTech (France),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear,
# Date begin (ISO 8601): 2019-01-01T00:00:00.0,
# Date end (ISO 8601): 2022-01-01T00:00:00.0,
# Latitude (positive North, ISO 19115): 39.9062
# Longitude (positive East, ISO 19115): 116.3913
# Altitude (m): 47.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s,
# noValue: nan,
# File generated on: 2022-11-10,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI,
2019-01-01T00:00:00.0/2019-01-02T00:00:00.0;3839.0757;2374.6472;1389.9758;984.6713;3899.1458,
2019-01-02T00:00:00.0/2019-01-03T00:00:00.0;3854.8303;2217.6111;1140.8965;1076.7146;3164.1882,
2019-01-03T00:00:00.0/2019-01-04T00:00:00.0;3871.9761;1276.7140;254.2493;1022.4647;689.6105,
2019-01-04T00:00:00.0/2019-01-05T00:00:00.0;3890.5076;2601.9265;1681.9036;920.0229;4725.8765,
2019-01-05T00:00:00.0/2019-01-06T00:00:00.0;3910.4187;2678.2412;1916.4045;761.8368;5396.8853,
2019-01-06T00:00:00.0/2019-01-07T00:00:00.0;3931.6689;1793.3107;574.1949;1219.1157;1535.9810,
2019-01-07T00:00:00.0/2019-01-08T00:00:00.0;3954.3196;2259.5483;1114.3217;1145.2268;3071.4490,
2019-01-08T00:00:00.0/2019-01-09T00:00:00.0;3978.3601;3018.6233;2404.5083;614.1150;6900.0112,
2019-01-09T00:00:00.0/2019-01-10T00:00:00.0;4003.7173;2150.1509;956.0661;1194.0848;2550.9380,
2019-01-10T00:00:00.0/2019-01-11T00:00:00.0;4030.4072;2364.8696;1240.0005;1124.8691;3295.3970,
2019-01-11T00:00:00.0/2019-01-12T00:00:00.0;4058.4175;2033.3416;777.6682;1255.6733;2047.4491,
2019-01-12T00:00:00.0/2019-01-13T00:00:00.0;4087.7339;1966.9199;690.4563;1276.4636;1813.4795,
2019-01-13T00:00:00.0/2019-01-14T00:00:00.0;4118.4336;2855.4788;1960.8746;894.6042;5290.0728,
2019-01-14T00:00:00.0/2019-01-15T00:00:00.0;4150.3481;2055.8054;770.4066;1285.3988;2042.3070,
2019-01-15T00:00:00.0/2019-01-16T00:00:00.0;4183.5625;3299.8289;2751.8408;547.9881;7682.1108,
2019-01-16T00:00:00.0/2019-01-17T00:00:00.0;4218.0166;3031.0742;2193.0454;838.0286;5970.3862,
2019-01-17T00:00:00.0/2019-01-18T00:00:00.0;4253.7012;3047.9998;2238.8186;809.1812;6003.3735,
2019-01-18T00:00:00.0/2019-01-19T00:00:00.0;4290.6626;2506.2493;1284.0607;1222.1885;3284.6365,
2019-01-19T00:00:00.0/2019-01-20T00:00:00.0;4328.7896;2805.0571;1761.6879;1043.3694;4551.8779,
2019-01-20T00:00:00.0/2019-01-21T00:00:00.0;4368.1641;3214.3018;2484.4131;729.8888;6645.1929,
2019-01-21T00:00:00.0/2019-01-22T00:00:00.0;4408.7334;3284.9097;2592.1658;692.7440;6906.6211,
2019-01-22T00:00:00.0/2019-01-23T00:00:00.0;4450.4258;3184.7615;2354.9580;829.8035;6129.5298,
2019-01-23T00:00:00.0/2019-01-24T00:00:00.0;4493.3008;3145.8020;2272.4458;873.3563;5816.6309,
2019-01-24T00:00:00.0/2019-01-25T00:00:00.0;4537.2988;2476.0007;1106.4183;1369.5824;2753.2896,
2019-01-25T00:00:00.0/2019-01-26T00:00:00.0;4582.3779;3530.6899;2879.9431;650.7469;7515.1938,
2019-01-26T00:00:00.0/2019-01-27T00:00:00.0;4628.5884;2935.2249;1750.0037;1185.2213;4284.0659,
2019-01-27T00:00:00.0/2019-01-28T00:00:00.0;4675.9131;2660.5691;1298.4093;1362.1599;3208.7283,
2019-01-28T00:00:00.0/2019-01-29T00:00:00.0;4724.2578;3525.6707;2722.3186;803.3522;6780.8477,
2019-01-29T00:00:00.0/2019-01-30T00:00:00.0;4773.6328;2625.7974;1223.2205;1402.5768;2881.6943,
2019-01-30T00:00:00.0/2019-01-31T00:00:00.0;4823.9839;3135.9429;1887.4027;1248.5402;4599.5161,
2019-01-31T00:00:00.0/2019-02-01T00:00:00.0;4875.3647;3515.5068;2529.4507;986.0562;6259.9248,
2019-02-01T00:00:00.0/2019-02-02T00:00:00.0;4927.7603;3568.0505;2587.3286;980.7219;6233.6416,
2019-02-02T00:00:00.0/2019-02-03T00:00:00.0;4981.0635;2376.6882;780.3356;1596.3525;1778.6704,
2019-02-03T00:00:00.0/2019-02-04T00:00:00.0;5035.2852;2933.8953;1279.0874;1654.8079;2935.5889,
2019-02-04T00:00:00.0/2019-02-05T00:00:00.0;5090.4009;2548.8196;959.7853;1589.0342;2113.7842,
2019-02-05T00:00:00.0/2019-02-06T00:00:00.0;5146.4258;2368.4946;746.3660;1622.1287;1646.2970,
2019-02-06T00:00:00.0/2019-02-07T00:00:00.0;5203.2700;2299.5574;689.3163;1610.2410;1641.7079,
2019-02-07T00:00:00.0/2019-02-08T00:00:00.0;5260.9707;4119.5205;3412.3418;707.1790;7995.3726,
2019-02-08T00:00:00.0/2019-02-09T00:00:00.0;5319.4326;3074.6494;1532.9716;1541.6779;3465.0037,
2019-02-09T00:00:00.0/2019-02-10T00:00:00.0;5378.6602;3970.6353;3055.6831;914.9523;6936.0132,
2019-02-10T00:00:00.0/2019-02-11T00:00:00.0;5438.6709;3144.0652;1604.0404;1540.0248;3465.5620,
2019-02-11T00:00:00.0/2019-02-12T00:00:00.0;5499.3643;3144.0894;1587.8496;1556.2397;3347.2493,
2019-02-12T00:00:00.0/2019-02-13T00:00:00.0;5560.7422;2456.1821;748.3489;1707.8333;1546.0808,
2019-02-13T00:00:00.0/2019-02-14T00:00:00.0;5622.8223;2883.1726;1138.2599;1744.9128;2378.4155,
2019-02-14T00:00:00.0/2019-02-15T00:00:00.0;5685.5054;3109.6106;1359.4043;1750.2062;2922.1853,
2019-02-15T00:00:00.0/2019-02-16T00:00:00.0;5748.8340;4171.8779;3097.6296;1074.2483;6876.6929,
2019-02-16T00:00:00.0/2019-02-17T00:00:00.0;5812.7109;4540.3765;3740.3477;800.0288;8315.7793,
2019-02-17T00:00:00.0/2019-02-18T00:00:00.0;5877.1929;4292.1045;3262.8950;1029.2095;6940.2266,
2019-02-18T00:00:00.0/2019-02-19T00:00:00.0;5942.1650;3361.6125;1629.0631;1732.5494;3253.5500,
2019-02-19T00:00:00.0/2019-02-20T00:00:00.0;6007.6333;2880.8225;984.5673;1896.2552;2121.7034,
2019-02-20T00:00:00.0/2019-02-21T00:00:00.0;6073.6226;4026.7986;2576.3188;1450.4799;5232.0684,
2019-02-21T00:00:00.0/2019-02-22T00:00:00.0;6140.0732;3700.8997;1967.5985;1733.3011;3918.9885,
2019-02-22T00:00:00.0/2019-02-23T00:00:00.0;6206.9526;3418.4119;1545.7556;1872.6561;3052.9426,
2019-02-23T00:00:00.0/2019-02-24T00:00:00.0;6274.2085;3498.2305;1613.3470;1884.8835;3141.5000,
2019-02-24T00:00:00.0/2019-02-25T00:00:00.0;6341.8267;3707.4512;1866.2228;1841.2285;3609.1501,
2019-02-25T00:00:00.0/2019-02-26T00:00:00.0;6409.8457;2965.5967;909.1026;2056.4939;1693.9235,
2019-02-26T00:00:00.0/2019-02-27T00:00:00.0;6478.1421;2456.5620;534.9329;1921.6292;1010.4443,
2019-02-27T00:00:00.0/2019-02-28T00:00:00.0;6546.7793;3476.4995;1419.8517;2056.6479;2663.6707,
2019-02-28T00:00:00.0/2019-03-01T00:00:00.0;6615.6851;3189.9238;1110.7876;2079.1362;2055.8372,
2019-03-01T00:00:00.0/2019-03-02T00:00:00.0;6684.8462;3057.3003;958.4143;2098.8860;1755.5297,
2019-03-02T00:00:00.0/2019-03-03T00:00:00.0;6754.1865;3381.8291;1245.8140;2136.0154;2279.9465,
2019-03-03T00:00:00.0/2019-03-04T00:00:00.0;6823.7568;3057.5479;853.2623;2204.2856;1571.3828,
2019-03-04T00:00:00.0/2019-03-05T00:00:00.0;6893.4517;3947.9121;1897.1318;2050.7803;3414.0981,
2019-03-05T00:00:00.0/2019-03-06T00:00:00.0;6963.3257;4962.4985;3631.9985;1330.5002;7189.3472,
2019-03-06T00:00:00.0/2019-03-07T00:00:00.0;7033.2661;5399.2778;4528.8301;870.4476;8919.6650,
2019-03-07T00:00:00.0/2019-03-08T00:00:00.0;7103.3379;5409.2319;4361.4604;1047.7717;8190.1558,
2019-03-08T00:00:00.0/2019-03-09T00:00:00.0;7173.4155;4404.7988;2418.4299;1986.3691;4300.1064,
2019-03-09T00:00:00.0/2019-03-10T00:00:00.0;7243.5801;3222.9856;791.9347;2431.0508;1382.0616,
2019-03-10T00:00:00.0/2019-03-11T00:00:00.0;7313.7363;3271.9229;854.1506;2417.7722;1699.1772,
2019-03-11T00:00:00.0/2019-03-12T00:00:00.0;7383.8433;5569.5742;4509.7363;1059.8383;8601.2812,
2019-03-12T00:00:00.0/2019-03-13T00:00:00.0;7453.9810;5741.4771;4638.1694;1103.3076;8685.0068,
2019-03-13T00:00:00.0/2019-03-14T00:00:00.0;7523.9692;5700.3398;4661.9927;1038.3472;8789.1895,
2019-03-14T00:00:00.0/2019-03-15T00:00:00.0;7593.9121;5839.1836;4937.7231;901.4603;9300.2168,
2019-03-15T00:00:00.0/2019-03-16T00:00:00.0;7663.7251;5663.0132;4464.1665;1198.8464;7956.8257,
2019-03-16T00:00:00.0/2019-03-17T00:00:00.0;7733.3716;5658.7275;4371.8745;1286.8529;7993.8037,
2019-03-17T00:00:00.0/2019-03-18T00:00:00.0;7802.8882;5318.4702;3603.1499;1715.3201;6113.6143,
2019-03-18T00:00:00.0/2019-03-19T00:00:00.0;7872.1777;4423.0361;1868.3276;2554.7087;3105.0193,
2019-03-19T00:00:00.0/2019-03-20T00:00:00.0;7941.3120;4873.9922;2482.8516;2391.1406;4073.6953,
2019-03-20T00:00:00.0/2019-03-21T00:00:00.0;8010.2090;4111.7144;1336.4357;2775.2791;2659.3394,
2019-03-21T00:00:00.0/2019-03-22T00:00:00.0;8078.8291;6382.3354;5554.7212;827.6146;9880.9258,
2019-03-22T00:00:00.0/2019-03-23T00:00:00.0;8147.2178;6357.6885;5404.8164;952.8721;9622.4863,
2019-03-23T00:00:00.0/2019-03-24T00:00:00.0;8215.2754;6406.7378;5331.5771;1075.1606;9201.6787,
2019-03-24T00:00:00.0/2019-03-25T00:00:00.0;8283.0859;6010.1978;4354.4941;1655.7035;7553.5435,
2019-03-25T00:00:00.0/2019-03-26T00:00:00.0;8350.5615;6327.5654;5151.2197;1176.3457;8596.7461,
2019-03-26T00:00:00.0/2019-03-27T00:00:00.0;8417.6582;5273.5835;2760.9580;2512.6252;4408.7612,
2019-03-27T00:00:00.0/2019-03-28T00:00:00.0;8484.4395;5581.4990;3444.7554;2136.7437;5315.9756,
2019-03-28T00:00:00.0/2019-03-29T00:00:00.0;8550.8301;4954.0303;2161.3093;2792.7212;3494.5798,
2019-03-29T00:00:00.0/2019-03-30T00:00:00.0;8616.7998;5823.0752;3601.7334;2221.3418;6256.1450,
2019-03-30T00:00:00.0/2019-03-31T00:00:00.0;8682.3867;6628.4624;5189.4419;1439.0205;9044.3457,
2019-03-31T00:00:00.0/2019-04-01T00:00:00.0;8747.5000;6786.2998;5638.8755;1147.4242;9610.7256,
2019-04-01T00:00:00.0/2019-04-02T00:00:00.0;8812.2100;6580.3276;5294.2095;1286.1184;8517.2314,
2019-04-02T00:00:00.0/2019-04-03T00:00:00.0;8876.4404;6600.7026;5174.9419;1425.7604;8351.9854,
2019-04-03T00:00:00.0/2019-04-04T00:00:00.0;8940.1602;5974.6851;3717.7798;2256.9055;5933.4722,
2019-04-04T00:00:00.0/2019-04-05T00:00:00.0;9003.4082;6205.1201;4049.0879;2156.0322;6367.8286,
2019-04-05T00:00:00.0/2019-04-06T00:00:00.0;9066.0996;5607.3081;2884.5728;2722.7356;4439.5947,
2019-04-06T00:00:00.0/2019-04-07T00:00:00.0;9128.2979;6115.3042;3787.5908;2327.7136;5901.4951,
2019-04-07T00:00:00.0/2019-04-08T00:00:00.0;9189.8975;6009.0806;3507.5708;2501.5098;5274.7451,
2019-04-08T00:00:00.0/2019-04-09T00:00:00.0;9250.9814;5785.0327;3002.7510;2782.2817;4549.6240,
2019-04-09T00:00:00.0/2019-04-10T00:00:00.0;9311.4688;6170.5381;3674.0330;2496.5049;5708.3730,
2019-04-10T00:00:00.0/2019-04-11T00:00:00.0;9371.3369;6726.6279;4920.8921;1805.7355;7508.8267,
2019-04-11T00:00:00.0/2019-04-12T00:00:00.0;9430.6201;6176.0151;3645.2842;2530.7310;5685.4619,
2019-04-12T00:00:00.0/2019-04-13T00:00:00.0;9489.2520;6529.9287;4339.9922;2189.9365;6448.4399,
2019-04-13T00:00:00.0/2019-04-14T00:00:00.0;9547.2754;6245.6021;3495.5779;2750.0244;5786.4873,
2019-04-14T00:00:00.0/2019-04-15T00:00:00.0;9604.6221;7210.6763;5503.8369;1706.8397;8379.5684,
2019-04-15T00:00:00.0/2019-04-16T00:00:00.0;9661.3369;6927.1548;4909.2593;2017.8956;7248.4556,
2019-04-16T00:00:00.0/2019-04-17T00:00:00.0;9717.3525;6043.1704;3098.5723;2944.5984;4428.7734,
2019-04-17T00:00:00.0/2019-04-18T00:00:00.0;9772.7129;5706.3335;2408.6372;3297.6965;3597.7832,
2019-04-18T00:00:00.0/2019-04-19T00:00:00.0;9827.3594;6792.1719;4531.2480;2260.9238;6590.5190,
2019-04-19T00:00:00.0/2019-04-20T00:00:00.0;9881.2910;5928.8184;2744.8706;3183.9478;3875.3894,
2019-04-20T00:00:00.0/2019-04-21T00:00:00.0;9934.5635;5455.6631;1991.1062;3464.5571;2844.6055,
2019-04-21T00:00:00.0/2019-04-22T00:00:00.0;9987.0723;5883.3872;2572.4626;3310.9243;3681.3860,
2019-04-22T00:00:00.0/2019-04-23T00:00:00.0;10038.8906;6224.3115;3164.5481;3059.7634;4546.2588,
2019-04-23T00:00:00.0/2019-04-24T00:00:00.0;10089.9414;5981.4507;2691.5784;3289.8723;3796.1101,
2019-04-24T00:00:00.0/2019-04-25T00:00:00.0;10140.2393;6085.0273;2802.9062;3282.1211;4376.9473,
2019-04-25T00:00:00.0/2019-04-26T00:00:00.0;10189.8320;7385.5078;5636.5566;1748.9513;8240.2500,
2019-04-26T00:00:00.0/2019-04-27T00:00:00.0;10238.6260;7158.6133;4881.4829;2277.1304;7055.0273,
2019-04-27T00:00:00.0/2019-04-28T00:00:00.0;10286.6465;6515.0967;3486.1021;3028.9946;4974.5137,
2019-04-28T00:00:00.0/2019-04-29T00:00:00.0;10333.9346;5760.4175;2221.1050;3539.3123;3003.1450,
2019-04-29T00:00:00.0/2019-04-30T00:00:00.0;10380.4053;5051.4819;1438.0515;3613.4304;2516.6121,
2019-04-30T00:00:00.0/2019-05-01T00:00:00.0;10426.0801;7969.2817;6630.0527;1339.2290;10334.7334,
2019-05-01T00:00:00.0/2019-05-02T00:00:00.0;10470.9541;8003.4736;6605.1504;1398.3234;9966.1289,
2019-05-02T00:00:00.0/2019-05-03T00:00:00.0;10515.0664;7746.4209;5829.3579;1917.0634;8506.6709,
2019-05-03T00:00:00.0/2019-05-04T00:00:00.0;10558.3311;6939.8110;4198.8467;2740.9646;5865.4863,
2019-05-04T00:00:00.0/2019-05-05T00:00:00.0;10600.7734;6565.6138;3298.2756;3267.3381;4734.7710,
2019-05-05T00:00:00.0/2019-05-06T00:00:00.0;10642.3887;8148.7900;6620.1880;1528.6021;10141.7705,
2019-05-06T00:00:00.0/2019-05-07T00:00:00.0;10683.1689;8389.2861;7180.0801;1209.2058;10801.3086,
2019-05-07T00:00:00.0/2019-05-08T00:00:00.0;10723.1094;7879.9800;6000.1562;1879.8236;8468.4717,
2019-05-08T00:00:00.0/2019-05-09T00:00:00.0;10762.2412;7071.2275;4167.0444;2904.1831;6052.2925,
2019-05-09T00:00:00.0/2019-05-10T00:00:00.0;10800.4902;7439.0811;5057.0430;2382.0378;7157.0957,
2019-05-10T00:00:00.0/2019-05-11T00:00:00.0;10837.8828;6849.7837;3834.6995;3015.0845;5177.2871,
2019-05-11T00:00:00.0/2019-05-12T00:00:00.0;10874.4121;6327.1851;2775.1042;3552.0811;3712.9983,
2019-05-12T00:00:00.0/2019-05-13T00:00:00.0;10910.0762;6509.1475;2865.0259;3644.1218;4611.3569,
2019-05-13T00:00:00.0/2019-05-14T00:00:00.0;10944.8682;8377.2021;6945.3979;1431.8037;9920.1719,
2019-05-14T00:00:00.0/2019-05-15T00:00:00.0;10978.7861;7393.9111;4739.6494;2654.2615;6243.1587,
2019-05-15T00:00:00.0/2019-05-16T00:00:00.0;11011.7939;5747.3130;1850.1624;3897.1504;2494.6423,
2019-05-16T00:00:00.0/2019-05-17T00:00:00.0;11043.9561;6327.9204;2389.4839;3938.4365;3114.3882,
2019-05-17T00:00:00.0/2019-05-18T00:00:00.0;11075.2324;5872.3066;1995.1122;3877.1943;2636.1743,
2019-05-18T00:00:00.0/2019-05-19T00:00:00.0;11105.5908;6263.2803;2311.7048;3951.5757;3150.6709,
2019-05-19T00:00:00.0/2019-05-20T00:00:00.0;11135.0918;7935.9375;5185.2271;2750.7104;8472.7744,
2019-05-20T00:00:00.0/2019-05-21T00:00:00.0;11163.6963;8667.3281;7478.4741;1188.8539;11197.5957,
2019-05-21T00:00:00.0/2019-05-22T00:00:00.0;11191.3818;8641.3066;7401.6670;1239.6398;10967.4326,
2019-05-22T00:00:00.0/2019-05-23T00:00:00.0;11218.1992;8463.9395;7028.4224;1435.5171;10007.0840,
2019-05-23T00:00:00.0/2019-05-24T00:00:00.0;11244.1094;8095.0483;5781.5679;2313.4807;8082.5938,
