# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 52.5170
# Longitude (positive East, ISO 19115): 13.3889
# Altitude (m): 44.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2022-11-10
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-01-01T00:00:00.0/2019-01-02T00:00:00.0;1735.0555;992.6318;533.1909;459.4409;2637.3857
2019-01-02T00:00:00.0/2019-01-03T00:00:00.0;1749.8795;1138.3634;883.2323;255.1311;4611.9087
2019-01-03T00:00:00.0/2019-01-04T00:00:00.0;1766.0570;1127.8395;837.0558;290.7837;4355.7344
2019-01-04T00:00:00.0/2019-01-05T00:00:00.0;1783.5767;1078.7805;723.6996;355.0809;3662.3892
2019-01-05T00:00:00.0/2019-01-06T00:00:00.0;1802.4103;1120.6576;839.5887;281.0689;4291.0576
2019-01-06T00:00:00.0/2019-01-07T00:00:00.0;1822.5944;1172.3733;915.4279;256.9454;4703.3511
2019-01-07T00:00:00.0/2019-01-08T00:00:00.0;1844.0974;1124.8164;787.5661;337.2503;3931.6062
2019-01-08T00:00:00.0/2019-01-09T00:00:00.0;1866.9589;958.3947;237.3340;721.0607;1095.9117
2019-01-09T00:00:00.0/2019-01-10T00:00:00.0;1891.1628;1167.3583;849.3514;318.0069;4169.2183
2019-01-10T00:00:00.0/2019-01-11T00:00:00.0;1916.7191;1244.6592;941.8333;302.8258;4621.7246
2019-01-11T00:00:00.0/2019-01-12T00:00:00.0;1943.5686;1134.4464;704.4403;430.0061;3311.8572
2019-01-12T00:00:00.0/2019-01-13T00:00:00.0;1971.8004;1177.9113;757.0562;420.8552;3539.3801
2019-01-13T00:00:00.0/2019-01-14T00:00:00.0;2001.3390;1201.5830;779.1871;422.3959;3537.5959
2019-01-14T00:00:00.0/2019-01-15T00:00:00.0;2032.2333;1259.5973;728.2430;531.3543;3349.4749
2019-01-15T00:00:00.0/2019-01-16T00:00:00.0;2064.4250;1273.4094;882.3793;391.0302;4022.8130
2019-01-16T00:00:00.0/2019-01-17T00:00:00.0;2097.9556;1289.5916;897.7397;391.8518;4099.6108
2019-01-17T00:00:00.0/2019-01-18T00:00:00.0;2132.8296;1349.4229;971.7045;377.7184;4400.2334
