# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -10.3333
# Longitude (positive East, ISO 19115): -53.2000
# Altitude (m): 300.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2022-11-10
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-01-01T00:00:00.0/2019-01-02T00:00:00.0;10956.0771;7607.8105;5864.4932;1743.3175;8027.8887
2019-01-02T00:00:00.0/2019-01-03T00:00:00.0;10958.0742;7876.2969;6653.3979;1222.8993;9406.6562
2019-01-03T00:00:00.0/2019-01-04T00:00:00.0;10960.0518;7901.7651;6741.4946;1160.2705;9516.0332
2019-01-04T00:00:00.0/2019-01-05T00:00:00.0;10962.0830;7876.6592;6570.1470;1306.5123;9193.0234
2019-01-05T00:00:00.0/2019-01-06T00:00:00.0;10964.1299;7717.8306;6090.4414;1627.3889;8403.0771
2019-01-06T00:00:00.0/2019-01-07T00:00:00.0;10966.1016;7802.4595;6422.8853;1379.5739;8999.5146
2019-01-07T00:00:00.0/2019-01-08T00:00:00.0;10968.1777;7801.3643;6436.4727;1364.8915;8969.8555
2019-01-08T00:00:00.0/2019-01-09T00:00:00.0;10970.1240;7953.1641;6767.6831;1185.4810;9566.6689
2019-01-09T00:00:00.0/2019-01-10T00:00:00.0;10972.0742;8088.5972;7062.1362;1026.4608;10062.4238
2019-01-10T00:00:00.0/2019-01-11T00:00:00.0;10973.9902;8003.1631;6874.1343;1129.0288;9705.2900
2019-01-11T00:00:00.0/2019-01-12T00:00:00.0;10975.8447;7815.0405;6367.7852;1447.2552;8812.0703
2019-01-12T00:00:00.0/2019-01-13T00:00:00.0;10977.5850;7884.8652;6567.7832;1317.0819;9191.6309
2019-01-13T00:00:00.0/2019-01-14T00:00:00.0;10979.2754;7906.1641;6590.9307;1315.2333;9213.3955
2019-01-14T00:00:00.0/2019-01-15T00:00:00.0;10980.8955;7767.9775;6110.8608;1657.1167;8385.0127
2019-01-15T00:00:00.0/2019-01-16T00:00:00.0;10982.3955;7904.5444;6543.9595;1360.5850;9146.1650
2019-01-16T00:00:00.0/2019-01-17T00:00:00.0;10983.7422;7699.9282;5869.9966;1829.9315;7997.9951
2019-01-17T00:00:00.0/2019-01-18T00:00:00.0;10984.9854;8019.9468;6912.2256;1107.7211;9749.1191
