# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -25.7459
# Longitude (positive East, ISO 19115): 28.1879
# Altitude (m): 1338.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2022-11-10
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-01-01T00:00:00.0/2019-01-02T00:00:00.0;11975.7002;8873.6436;7116.9390;1756.7047;9862.1797
2019-01-02T00:00:00.0/2019-01-03T00:00:00.0;11970.1094;8950.0225;7440.2544;1509.7679;10308.1240
2019-01-03T00:00:00.0/2019-01-04T00:00:00.0;11963.7715;9056.8135;7659.3447;1397.4691;10716.2490
2019-01-04T00:00:00.0/2019-01-05T00:00:00.0;11956.7529;9122.0303;7869.3569;1252.6731;11085.4922
2019-01-05T00:00:00.0/2019-01-06T00:00:00.0;11949.0967;8987.8516;7556.9370;1430.9146;10553.7471
2019-01-06T00:00:00.0/2019-01-07T00:00:00.0;11940.7842;9058.8350;7774.5259;1284.3093;10804.5381
2019-01-07T00:00:00.0/2019-01-08T00:00:00.0;11931.7500;8842.2676;6967.0586;1875.2090;9465.8057
2019-01-08T00:00:00.0/2019-01-09T00:00:00.0;11922.0283;9094.7773;7951.9194;1142.8577;11249.6211
2019-01-09T00:00:00.0/2019-01-10T00:00:00.0;11911.6719;9117.6191;7964.6333;1152.9863;11248.7090
2019-01-10T00:00:00.0/2019-01-11T00:00:00.0;11900.5908;8878.6436;7100.8667;1777.7767;9732.6963
2019-01-11T00:00:00.0/2019-01-12T00:00:00.0;11888.8164;9145.2695;8196.8008;948.4685;11696.7334
2019-01-12T00:00:00.0/2019-01-13T00:00:00.0;11876.3457;9055.2627;7788.1650;1267.0974;10969.0264
2019-01-13T00:00:00.0/2019-01-14T00:00:00.0;11863.2324;8945.4805;7647.4585;1298.0216;10695.9316
2019-01-14T00:00:00.0/2019-01-15T00:00:00.0;11849.3828;8434.1426;5540.0146;2894.1282;7351.0723
2019-01-15T00:00:00.0/2019-01-16T00:00:00.0;11834.8301;8857.3555;7151.9473;1705.4083;9818.9287
2019-01-16T00:00:00.0/2019-01-17T00:00:00.0;11819.5703;8962.0908;7561.6733;1400.4178;10472.3086
2019-01-17T00:00:00.0/2019-01-18T00:00:00.0;11803.6504;8701.7832;6383.1362;2318.6470;8673.8076
2019-01-18T00:00:00.0/2019-01-19T00:00:00.0;11786.9873;9028.4980;7774.8467;1253.6509;10979.4541
2019-01-19T00:00:00.0/2019-01-20T00:00:00.0;11769.6074;9157.5752;7912.4492;1245.1260;11120.2480
2019-01-20T00:00:00.0/2019-01-21T00:00:00.0;11751.4775;9116.7930;7807.0239;1309.7687;11013.7393
2019-01-21T00:00:00.0/2019-01-22T00:00:00.0;11732.6758;9354.2461;8243.4736;1110.7723;11705.5625
2019-01-22T00:00:00.0/2019-01-23T00:00:00.0;11713.2051;9237.6055;8066.1226;1171.4827;11428.0664
2019-01-23T00:00:00.0/2019-01-24T00:00:00.0;11692.9619;8890.4170;7147.8130;1742.6038;9862.5068
2019-01-24T00:00:00.0/2019-01-25T00:00:00.0;11671.9541;8811.1934;7308.3052;1502.8887;10106.2041
2019-01-25T00:00:00.0/2019-01-26T00:00:00.0;11650.2666;8944.6797;7894.4023;1050.2770;11154.2656
2019-01-26T00:00:00.0/2019-01-27T00:00:00.0;11627.8955;8583.4707;6573.3945;2010.0759;8905.5312
2019-01-27T00:00:00.0/2019-01-28T00:00:00.0;11604.7119;8819.3604;7538.1504;1281.2100;10564.5928
2019-01-28T00:00:00.0/2019-01-29T00:00:00.0;11580.8486;8866.2559;7657.8760;1208.3806;10785.9521
2019-01-29T00:00:00.0/2019-01-30T00:00:00.0;11556.2373;8866.2539;7611.8071;1254.4465;10754.3047
2019-01-30T00:00:00.0/2019-01-31T00:00:00.0;11530.9092;8434.4434;6151.3770;2283.0664;8305.7441
2019-01-31T00:00:00.0/2019-02-01T00:00:00.0;11504.8535;8630.0029;6984.3730;1645.6295;9681.9434
2019-02-01T00:00:00.0/2019-02-02T00:00:00.0;11478.0166;8122.6450;5120.8218;3001.8232;6886.4346
2019-02-02T00:00:00.0/2019-02-03T00:00:00.0;11450.4902;8215.0449;5719.3726;2495.6724;7552.2988
2019-02-03T00:00:00.0/2019-02-04T00:00:00.0;11422.2334;8429.3174;6582.0112;1847.3058;9090.3398
2019-02-04T00:00:00.0/2019-02-05T00:00:00.0;11393.2598;8611.0752;7072.8062;1538.2693;9880.2256
2019-02-05T00:00:00.0/2019-02-06T00:00:00.0;11363.5068;8484.1270;6590.0605;1894.0663;9235.7207
2019-02-06T00:00:00.0/2019-02-07T00:00:00.0;11333.0625;8171.9375;5588.4961;2583.4417;7516.4336
2019-02-07T00:00:00.0/2019-02-08T00:00:00.0;11301.9160;7890.7939;4776.4302;3114.3638;6303.4395
2019-02-08T00:00:00.0/2019-02-09T00:00:00.0;11269.9902;7996.0039;5252.2690;2743.7349;6946.1553
2019-02-09T00:00:00.0/2019-02-10T00:00:00.0;11237.4004;8167.8218;5792.4580;2375.3638;7892.1465
2019-02-10T00:00:00.0/2019-02-11T00:00:00.0;11204.0908;8210.5742;6117.2407;2093.3335;8340.1484
2019-02-11T00:00:00.0/2019-02-12T00:00:00.0;11170.0273;7810.0898;4744.3975;3065.6926;6355.6978
2019-02-12T00:00:00.0/2019-02-13T00:00:00.0;11135.3115;8000.9517;5641.0981;2359.8530;7660.0840
2019-02-13T00:00:00.0/2019-02-14T00:00:00.0;11099.8828;7999.0820;5998.7334;2000.3489;8198.7871
2019-02-14T00:00:00.0/2019-02-15T00:00:00.0;11063.7197;8175.2988;6813.3901;1361.9088;9667.6152
2019-02-15T00:00:00.0/2019-02-16T00:00:00.0;11026.9043;8140.9229;6735.8276;1405.0953;9388.7510
2019-02-16T00:00:00.0/2019-02-17T00:00:00.0;10989.4053;7991.5762;6133.5649;1858.0110;8551.6074
2019-02-17T00:00:00.0/2019-02-18T00:00:00.0;10951.1865;8498.6494;7371.7095;1126.9393;10632.3994
2019-02-18T00:00:00.0/2019-02-19T00:00:00.0;10912.2773;8466.3320;7199.2417;1267.0903;10317.6611
2019-02-19T00:00:00.0/2019-02-20T00:00:00.0;10872.7432;8413.1504;7189.3423;1223.8079;10334.8711
2019-02-20T00:00:00.0/2019-02-21T00:00:00.0;10832.5664;8235.5029;6767.0752;1468.4277;9587.4473
2019-02-21T00:00:00.0/2019-02-22T00:00:00.0;10791.6699;8179.1958;6812.4443;1366.7516;9809.7461
2019-02-22T00:00:00.0/2019-02-23T00:00:00.0;10750.1816;7846.5757;5857.6733;1988.9020;8065.6133
2019-02-23T00:00:00.0/2019-02-24T00:00:00.0;10707.9961;8132.7476;6975.9150;1156.8325;10096.2598
2019-02-24T00:00:00.0/2019-02-25T00:00:00.0;10665.2188;8038.8032;6411.8740;1626.9294;9049.8164
2019-02-25T00:00:00.0/2019-02-26T00:00:00.0;10621.7783;7656.9756;5397.6094;2259.3662;7421.2764
2019-02-26T00:00:00.0/2019-02-27T00:00:00.0;10577.7051;8180.1118;7203.5840;976.5279;10624.9609
2019-02-27T00:00:00.0/2019-02-28T00:00:00.0;10533.1377;8137.8809;7025.6812;1112.1995;10322.2500
2019-02-28T00:00:00.0/2019-03-01T00:00:00.0;10487.8730;8077.7900;6992.6226;1085.1674;10351.2803
2019-03-01T00:00:00.0/2019-03-02T00:00:00.0;10442.0752;7932.8481;6422.3013;1510.5470;9328.7881
2019-03-02T00:00:00.0/2019-03-03T00:00:00.0;10395.6523;7826.5947;6560.8667;1265.7279;9466.7988
2019-03-03T00:00:00.0/2019-03-04T00:00:00.0;10348.7100;7613.7500;5725.4912;1888.2590;8196.1875
2019-03-04T00:00:00.0/2019-03-05T00:00:00.0;10301.1777;7731.8604;6247.8730;1483.9877;8994.6426
2019-03-05T00:00:00.0/2019-03-06T00:00:00.0;10253.1426;7434.5269;5377.2134;2057.3132;7628.4111
2019-03-06T00:00:00.0/2019-03-07T00:00:00.0;10204.5518;7438.3643;5561.1709;1877.1935;7864.7661
