# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.5 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2019-01-01T00:00:00.0
# Date end (ISO 8601): 2022-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 38.8950
# Longitude (positive East, ISO 19115): -77.0365
# Altitude (m): 10.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2022-11-10
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2019-01-01T00:00:00.0/2019-01-02T00:00:00.0;4021.0854;2859.3494;2369.9392;489.4103;6785.7139
2019-01-02T00:00:00.0/2019-01-03T00:00:00.0;4037.5129;2781.4951;2127.8433;653.6519;5971.7778
2019-01-03T00:00:00.0/2019-01-04T00:00:00.0;4055.3230;2870.7705;2310.7026;560.0678;6519.6572
2019-01-04T00:00:00.0/2019-01-05T00:00:00.0;4074.5090;2633.8022;1690.4573;943.3450;4631.5039
2019-01-05T00:00:00.0/2019-01-06T00:00:00.0;4095.0649;2725.3618;1993.3457;732.0162;5568.4272
2019-01-06T00:00:00.0/2019-01-07T00:00:00.0;4116.9819;2973.3162;2435.5276;537.7886;6863.1206
2019-01-07T00:00:00.0/2019-01-08T00:00:00.0;4140.2510;2916.3784;2335.6113;580.7671;6512.4067
2019-01-08T00:00:00.0/2019-01-09T00:00:00.0;4164.8613;2879.8726;2304.8662;575.0064;6403.7168
2019-01-09T00:00:00.0/2019-01-10T00:00:00.0;4190.8018;2933.5046;2275.1299;658.3747;6309.2676
2019-01-10T00:00:00.0/2019-01-11T00:00:00.0;4218.0596;3129.6165;2675.6121;454.0045;7524.9219
2019-01-11T00:00:00.0/2019-01-12T00:00:00.0;4246.6211;3108.5273;2597.4604;511.0669;7237.1006
2019-01-12T00:00:00.0/2019-01-13T00:00:00.0;4276.4722;2948.5417;2227.4575;721.0844;6015.7563
2019-01-13T00:00:00.0/2019-01-14T00:00:00.0;4307.6484;2980.1951;2372.5420;607.6531;6358.2451
2019-01-14T00:00:00.0/2019-01-15T00:00:00.0;4340.0532;3118.6392;2596.3455;522.2938;7053.1963
2019-01-15T00:00:00.0/2019-01-16T00:00:00.0;4373.7012;3181.4541;2585.6455;595.8087;6968.6221
2019-01-16T00:00:00.0/2019-01-17T00:00:00.0;4408.6289;3090.2058;2345.1912;745.0145;6172.1870
2019-01-17T00:00:00.0/2019-01-18T00:00:00.0;4444.7388;3092.7053;2309.2771;783.4282;6071.7749
2019-01-18T00:00:00.0/2019-01-19T00:00:00.0;4482.0845;3167.7466;2542.9565;624.7899;6686.5942
2019-01-19T00:00:00.0/2019-01-20T00:00:00.0;4520.5894;3022.4580;2095.7378;926.7204;5338.0508
2019-01-20T00:00:00.0/2019-01-21T00:00:00.0;4560.2930;3246.0674;2671.7676;574.2997;7004.7480
2019-01-21T00:00:00.0/2019-01-22T00:00:00.0;4601.1099;3686.6143;3218.7319;467.8823;8646.6230
2019-01-22T00:00:00.0/2019-01-23T00:00:00.0;4643.1455;3464.8987;2927.7920;537.1067;7687.4233
2019-01-23T00:00:00.0/2019-01-24T00:00:00.0;4686.2290;3241.0930;2445.3687;795.7244;6188.5459
2019-01-24T00:00:00.0/2019-01-25T00:00:00.0;4730.4570;3251.2820;2558.3965;692.8857;6459.7070
2019-01-25T00:00:00.0/2019-01-26T00:00:00.0;4775.7563;3604.7266;3050.7366;553.9902;7900.3862
2019-01-26T00:00:00.0/2019-01-27T00:00:00.0;4822.0771;3536.1082;2896.2952;639.8130;7311.5068
2019-01-27T00:00:00.0/2019-01-28T00:00:00.0;4869.4834;3558.8074;3008.4517;550.3557;7579.3232
2019-01-28T00:00:00.0/2019-01-29T00:00:00.0;4917.9028;3669.4614;3089.0520;580.4097;7765.0752
2019-01-29T00:00:00.0/2019-01-30T00:00:00.0;4967.3633;3455.6267;2663.7278;791.8988;6533.9639
2019-01-30T00:00:00.0/2019-01-31T00:00:00.0;5017.7603;3839.1648;3258.3289;580.8359;8168.7314
2019-01-31T00:00:00.0/2019-02-01T00:00:00.0;5069.0747;3945.1021;3258.7170;686.3851;7991.2852
2019-02-01T00:00:00.0/2019-02-02T00:00:00.0;5121.3574;3653.7717;2890.7888;762.9828;6908.7261
2019-02-02T00:00:00.0/2019-02-03T00:00:00.0;5174.5425;3674.4207;2891.4092;783.0115;6852.9775
2019-02-03T00:00:00.0/2019-02-04T00:00:00.0;5228.6455;3742.6890;3025.6816;717.0071;7174.3418
2019-02-04T00:00:00.0/2019-02-05T00:00:00.0;5283.5757;3801.8984;3068.8223;733.0762;7250.4966
2019-02-05T00:00:00.0/2019-02-06T00:00:00.0;5339.3335;3731.3914;2885.1907;846.2006;6696.1914
2019-02-06T00:00:00.0/2019-02-07T00:00:00.0;5395.8940;3608.3716;2552.2939;1056.0776;5807.1797
2019-02-07T00:00:00.0/2019-02-08T00:00:00.0;5453.2310;3649.7092;2645.0596;1004.6497;5915.8936
2019-02-08T00:00:00.0/2019-02-09T00:00:00.0;5511.3179;4111.0122;3455.4695;655.5427;7966.4224
2019-02-09T00:00:00.0/2019-02-10T00:00:00.0;5570.1689;4401.1689;3852.1519;549.0172;9015.2559
2019-02-10T00:00:00.0/2019-02-11T00:00:00.0;5629.6870;4224.4424;3532.6343;691.8081;8013.5840
2019-02-11T00:00:00.0/2019-02-12T00:00:00.0;5689.9209;3928.7104;2941.7798;986.9307;6406.4434
2019-02-12T00:00:00.0/2019-02-13T00:00:00.0;5750.7612;3924.3950;2834.3469;1090.0480;6140.4805
2019-02-13T00:00:00.0/2019-02-14T00:00:00.0;5812.2183;4404.5210;3768.0693;636.4515;8536.8730
2019-02-14T00:00:00.0/2019-02-15T00:00:00.0;5874.2642;4334.9883;3573.3440;761.6443;7886.8120
2019-02-15T00:00:00.0/2019-02-16T00:00:00.0;5936.8721;4235.5928;3405.4062;830.1866;7329.2251
2019-02-16T00:00:00.0/2019-02-17T00:00:00.0;6000.1064;4465.3926;3739.5557;725.8370;8141.0889
2019-02-17T00:00:00.0/2019-02-18T00:00:00.0;6063.7871;4287.6719;3275.8540;1011.8179;6896.0991
2019-02-18T00:00:00.0/2019-02-19T00:00:00.0;6127.9502;4657.7617;3978.4663;679.2957;8538.9268
2019-02-19T00:00:00.0/2019-02-20T00:00:00.0;6192.5693;4748.8516;4089.2461;659.6054;8825.6289
2019-02-20T00:00:00.0/2019-02-21T00:00:00.0;6257.6689;4361.8198;3277.2432;1084.5764;6762.2529
2019-02-21T00:00:00.0/2019-02-22T00:00:00.0;6323.1450;4697.6030;3945.4475;752.1555;8265.8984
2019-02-22T00:00:00.0/2019-02-23T00:00:00.0;6388.9980;4585.8047;3583.7673;1002.0375;7282.5425
2019-02-23T00:00:00.0/2019-02-24T00:00:00.0;6455.2632;4462.5771;3301.5056;1161.0713;6629.5664
2019-02-24T00:00:00.0/2019-02-25T00:00:00.0;6521.8188;4698.3857;3776.2388;922.1469;7652.0034
2019-02-25T00:00:00.0/2019-02-26T00:00:00.0;6588.7563;5329.6836;4763.1987;566.4849;9995.3398
2019-02-26T00:00:00.0/2019-02-27T00:00:00.0;6655.9165;4973.6108;4110.5288;863.0822;8241.0742
2019-02-27T00:00:00.0/2019-02-28T00:00:00.0;6723.3213;4897.5376;3884.1294;1013.4082;7711.9971
2019-02-28T00:00:00.0/2019-03-01T00:00:00.0;6791.0059;5146.1597;4402.7598;743.3998;8773.4053
2019-03-01T00:00:00.0/2019-03-02T00:00:00.0;6858.8501;4666.2422;3067.4514;1598.7909;5823.9976
2019-03-02T00:00:00.0/2019-03-03T00:00:00.0;6926.9121;5076.0430;4163.0366;913.0062;8101.9097
2019-03-03T00:00:00.0/2019-03-04T00:00:00.0;6995.0898;4817.2842;3362.1992;1455.0851;6266.6011
2019-03-04T00:00:00.0/2019-03-05T00:00:00.0;7063.4263;5427.3389;4701.0381;726.3010;9222.1465
2019-03-05T00:00:00.0/2019-03-06T00:00:00.0;7131.8306;5566.3325;4701.7583;864.5744;9142.9170
2019-03-06T00:00:00.0/2019-03-07T00:00:00.0;7200.3379;5709.3667;5021.6372;687.7294;9849.1338
2019-03-07T00:00:00.0/2019-03-08T00:00:00.0;7268.8628;5508.4414;4463.2432;1045.1985;8495.0830
2019-03-08T00:00:00.0/2019-03-09T00:00:00.0;7337.4385;5279.1104;4027.3982;1251.7122;7372.1543
2019-03-09T00:00:00.0/2019-03-10T00:00:00.0;7405.9800;5463.6274;4400.9658;1062.6615;8069.8306
2019-03-10T00:00:00.0/2019-03-11T00:00:00.0;7474.5229;5382.6367;4189.0068;1193.6296;7593.9780
2019-03-11T00:00:00.0/2019-03-12T00:00:00.0;7542.9795;5663.6616;4695.4507;968.2109;8732.5947
2019-03-12T00:00:00.0/2019-03-13T00:00:00.0;7611.3931;5904.7520;5107.4648;797.2871;9568.2588
2019-03-13T00:00:00.0/2019-03-14T00:00:00.0;7679.6670;5758.7251;4884.1504;874.5747;8982.3516
2019-03-14T00:00:00.0/2019-03-15T00:00:00.0;7747.8574;5383.7959;3766.4954;1617.3007;6651.2236
2019-03-15T00:00:00.0/2019-03-16T00:00:00.0;7815.8560;5428.7178;4079.4072;1349.3107;7300.1543
2019-03-16T00:00:00.0/2019-03-17T00:00:00.0;7883.7354;6092.6514;5203.2344;889.4170;9577.5898
2019-03-17T00:00:00.0/2019-03-18T00:00:00.0;7951.4097;6188.7754;5337.9917;850.7839;9754.6426
2019-03-18T00:00:00.0/2019-03-19T00:00:00.0;8018.8545;6108.0942;5140.9526;967.1420;9205.9248
2019-03-19T00:00:00.0/2019-03-20T00:00:00.0;8086.0928;6246.7285;5386.6353;860.0936;9731.3604
2019-03-20T00:00:00.0/2019-03-21T00:00:00.0;8153.0518;6165.1025;5202.4688;962.6339;9228.7598
2019-03-21T00:00:00.0/2019-03-22T00:00:00.0;8219.7764;5764.7471;4225.7310;1539.0161;7154.5933
2019-03-22T00:00:00.0/2019-03-23T00:00:00.0;8286.1689;6315.0391;5417.9268;897.1120;9599.7393
2019-03-23T00:00:00.0/2019-03-24T00:00:00.0;8352.3037;6626.7168;5864.9575;761.7594;10469.4893
2019-03-24T00:00:00.0/2019-03-25T00:00:00.0;8418.0635;6438.0840;5426.0508;1012.0332;9531.0605
2019-03-25T00:00:00.0/2019-03-26T00:00:00.0;8483.5371;5927.2178;4147.1401;1780.0775;6851.0420
2019-03-26T00:00:00.0/2019-03-27T00:00:00.0;8548.6377;6835.5732;6080.7334;754.8400;10705.5752
2019-03-27T00:00:00.0/2019-03-28T00:00:00.0;8613.3301;6734.9678;5781.2178;953.7501;10020.2197
2019-03-28T00:00:00.0/2019-03-29T00:00:00.0;8677.6621;6540.5488;5520.3970;1020.1519;9362.3213
2019-03-29T00:00:00.0/2019-03-30T00:00:00.0;8741.5430;6246.0024;4868.9370;1377.0653;8002.9717
2019-03-30T00:00:00.0/2019-03-31T00:00:00.0;8805.0381;6147.1001;4442.7788;1704.3213;7146.6465
2019-03-31T00:00:00.0/2019-04-01T00:00:00.0;8868.0371;6716.0054;5819.8960;896.1093;9779.0938
2019-04-01T00:00:00.0/2019-04-02T00:00:00.0;8930.6270;7169.1968;6405.6650;763.5316;10974.1875
2019-04-02T00:00:00.0/2019-04-03T00:00:00.0;8992.7217;6868.5581;5911.8120;956.7460;9821.8721
2019-04-03T00:00:00.0/2019-04-04T00:00:00.0;9054.2969;6908.6387;5825.8481;1082.7905;9767.1064
2019-04-04T00:00:00.0/2019-04-05T00:00:00.0;9115.3857;6699.9785;5382.5308;1317.4476;8811.3350
2019-04-05T00:00:00.0/2019-04-06T00:00:00.0;9175.9180;6464.6592;4720.2739;1744.3853;7418.8833
2019-04-06T00:00:00.0/2019-04-07T00:00:00.0;9235.9385;6587.1567;4952.2041;1634.9524;7907.3145
2019-04-07T00:00:00.0/2019-04-08T00:00:00.0;9295.3301;6707.2310;5351.4976;1355.7338;8473.6631
2019-04-08T00:00:00.0/2019-04-09T00:00:00.0;9354.2246;6431.6016;4473.2471;1958.3545;6901.9150
2019-04-09T00:00:00.0/2019-04-10T00:00:00.0;9412.4971;6827.9521;5447.0840;1380.8678;8703.6533
2019-04-10T00:00:00.0/2019-04-11T00:00:00.0;9470.2061;7273.1982;6323.2822;949.9161;10396.3008
2019-04-11T00:00:00.0/2019-04-12T00:00:00.0;9527.2686;6999.9106;5811.4238;1188.4869;9144.6787
2019-04-12T00:00:00.0/2019-04-13T00:00:00.0;9583.7402;6865.5449;5192.7939;1672.7509;8070.4111
2019-04-13T00:00:00.0/2019-04-14T00:00:00.0;9639.5449;6725.6875;4807.2329;1918.4546;7286.1704
2019-04-14T00:00:00.0/2019-04-15T00:00:00.0;9694.7334;6647.8813;4525.7671;2122.1143;6830.0562
2019-04-15T00:00:00.0/2019-04-16T00:00:00.0;9749.2383;7470.3135;6512.7788;957.5350;10359.4082
2019-04-16T00:00:00.0/2019-04-17T00:00:00.0;9803.0625;7302.2969;6065.1714;1237.1255;9617.3555
2019-04-17T00:00:00.0/2019-04-18T00:00:00.0;9856.2656;7116.3564;5627.5840;1488.7723;8641.3496
2019-04-18T00:00:00.0/2019-04-19T00:00:00.0;9908.7354;6903.8892;4970.6494;1933.2395;7648.5029
2019-04-19T00:00:00.0/2019-04-20T00:00:00.0;9960.5547;6974.5371;5057.9863;1916.5505;7608.9297
2019-04-20T00:00:00.0/2019-04-21T00:00:00.0;10011.6377;7529.1533;6344.4224;1184.7313;9706.4189
2019-04-21T00:00:00.0/2019-04-22T00:00:00.0;10062.0039;7492.0962;6191.7612;1300.3350;9624.9902
2019-04-22T00:00:00.0/2019-04-23T00:00:00.0;10111.7041;7321.7964;5691.6602;1630.1362;8796.2832
2019-04-23T00:00:00.0/2019-04-24T00:00:00.0;10160.6357;7554.4028;6458.8403;1095.5626;10091.1631
2019-04-24T00:00:00.0/2019-04-25T00:00:00.0;10208.8662;7807.0459;6818.1919;988.8536;10450.0742
2019-04-25T00:00:00.0/2019-04-26T00:00:00.0;10256.3379;7092.5786;5087.3779;2005.2008;7527.5376
2019-04-26T00:00:00.0/2019-04-27T00:00:00.0;10303.0566;7159.7915;5185.9951;1973.7960;7688.0229
2019-04-27T00:00:00.0/2019-04-28T00:00:00.0;10349.0166;8132.9336;7276.7061;856.2277;11342.7412
