# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-79.406
# Site longitude (positive means East);0.315
# Site altitude (m);2399
# Date beginning;2019-01-01
# Date end;2021-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2019-01-01;24:00;250.20;69.30;721.22;6.02;5.47;0.000000;0.007242;-999.000000;10423.9200
2019-01-02;24:00;251.77;74.82;722.26;4.04;350.36;0.000000;0.129556;-999.000000;9698.9850
2019-01-03;24:00;250.19;73.11;720.36;5.43;5.95;0.000000;0.001918;-999.000000;10274.5000
2019-01-04;24:00;251.94;74.10;723.16;3.97;357.63;0.000000;0.145493;-999.000000;9466.7380
2019-01-05;24:00;250.09;71.83;722.60;3.39;14.33;0.000000;0.000839;-999.000000;10224.7400
2019-01-06;24:00;248.79;72.10;722.91;3.81;12.00;0.000000;0.000376;-999.000000;10167.8800
2019-01-07;24:00;249.78;74.36;725.57;3.67;351.38;0.000000;0.141370;-999.000000;9527.2240
2019-01-08;24:00;250.53;69.54;727.54;2.18;7.87;0.000000;0.186873;-999.000000;9192.1970
2019-01-09;24:00;248.92;68.55;725.25;4.76;20.44;0.000000;0.000027;-999.000000;9983.2890
2019-01-10;24:00;249.68;70.69;727.23;6.62;16.56;0.000000;0.000078;-999.000000;9923.2140
2019-01-11;24:00;249.91;70.60;729.67;6.26;26.40;0.000000;0.000140;-999.000000;9843.4870
2019-01-12;24:00;250.99;71.92;726.84;7.67;26.34;0.000000;0.001293;-999.000000;9680.7650
2019-01-13;24:00;253.20;73.51;733.02;5.46;5.47;0.000000;0.128049;-999.000000;8849.9330
2019-01-14;24:00;251.66;70.89;728.56;5.57;42.90;0.000000;0.000665;-999.000000;9524.3810
2019-01-15;24:00;251.63;73.32;723.80;6.60;1.93;0.000000;0.153369;-999.000000;8701.8020
2019-01-16;24:00;249.84;73.53;728.79;4.38;9.04;0.000000;0.038779;-999.000000;9146.2900
2019-01-17;24:00;248.34;72.48;731.75;4.57;12.21;0.000000;0.073674;-999.000000;8814.0300
2019-01-18;24:00;247.84;74.01;727.55;6.35;0.96;0.000000;0.030433;-999.000000;9067.4400
2019-01-19;24:00;252.83;72.44;730.17;8.10;19.20;0.000000;0.258962;-999.000000;8164.9430
2019-01-20;24:00;258.88;76.30;730.37;7.60;25.92;0.000000;1.145734;-999.000000;7061.1970
2019-01-21;24:00;254.27;64.11;730.98;9.52;41.20;0.000000;0.000042;-999.000000;8646.5760
2019-01-22;24:00;249.59;60.56;731.48;8.65;54.08;0.000000;0.000000;-999.000000;8845.2420
2019-01-23;24:00;248.50;64.51;727.15;5.19;39.37;0.000000;0.000562;-999.000000;8551.9910
2019-01-24;24:00;248.36;72.68;721.40;4.55;314.29;0.000000;0.271072;-999.000000;7292.4180
2019-01-25;24:00;249.18;71.50;721.84;2.33;348.17;0.000000;0.384096;-999.000000;7371.1540
2019-01-26;24:00;247.53;73.13;717.94;5.18;338.31;0.000000;0.365295;-999.000000;7035.3670
2019-01-27;24:00;249.72;73.36;720.03;5.33;344.34;0.000000;0.513729;-999.000000;6613.5670
2019-01-28;24:00;248.87;72.10;723.97;5.15;355.11;0.000000;0.348318;-999.000000;6758.6130
2019-01-29;24:00;248.51;73.37;727.15;5.99;5.29;0.000000;0.020856;-999.000000;7365.8280
2019-01-30;24:00;249.08;76.93;730.85;6.51;352.04;0.000000;0.176226;-999.000000;6508.5680
2019-01-31;24:00;250.18;72.87;729.04;4.85;26.14;0.000000;0.179532;-999.000000;7046.0930
2019-02-01;24:00;246.68;70.39;724.34;6.48;8.67;0.000000;0.034406;-999.000000;7362.6280
2019-02-02;24:00;246.48;70.92;724.89;3.06;20.13;0.000000;0.079481;-999.000000;6880.1110
2019-02-03;24:00;244.80;71.52;720.95;5.51;15.38;0.000000;0.124285;-999.000000;6784.5180
2019-02-04;24:00;245.23;71.09;719.72;2.67;354.12;0.000000;0.235101;-999.000000;6393.6160
2019-02-05;24:00;241.58;68.74;718.93;3.39;21.51;0.000000;0.004442;-999.000000;6979.6860
2019-02-06;24:00;240.92;68.17;716.58;4.35;20.57;0.000000;0.000541;-999.000000;6901.5620
2019-02-07;24:00;240.86;65.69;713.35;6.45;23.47;0.000000;0.000015;-999.000000;6748.3410
2019-02-08;24:00;240.71;67.03;719.56;6.74;19.65;0.000000;0.015357;-999.000000;6489.0200
2019-02-09;24:00;239.86;63.75;718.10;8.49;37.53;0.000000;0.000207;-999.000000;6465.5170
2019-02-10;24:00;246.60;68.04;721.70;10.50;20.23;0.000000;0.006853;-999.000000;6172.6130
2019-02-11;24:00;250.47;69.41;733.33;8.44;7.12;0.000000;0.124324;-999.000000;5485.8970
2019-02-12;24:00;241.59;61.40;726.33;8.35;43.14;0.000000;0.000142;-999.000000;5967.4540
2019-02-13;24:00;239.28;63.20;727.20;7.11;20.24;0.000000;0.010364;-999.000000;5749.2370
2019-02-14;24:00;240.73;64.72;730.73;8.72;30.94;0.000000;0.003733;-999.000000;5591.7780
2019-02-15;24:00;241.77;64.33;730.47;7.92;23.17;0.000000;0.009755;-999.000000;5372.6930
2019-02-16;24:00;241.60;65.15;732.13;8.07;27.50;0.000000;0.017910;-999.000000;5180.5220
2019-02-17;24:00;239.86;66.55;733.47;8.11;23.37;0.000000;0.005141;-999.000000;4947.3170
2019-02-18;24:00;240.72;67.88;741.14;6.70;13.49;0.000000;0.009021;-999.000000;4930.8420
2019-02-19;24:00;241.03;66.63;740.04;7.24;13.55;0.000000;0.001605;-999.000000;4813.7060
2019-02-20;24:00;243.45;68.72;735.27;6.71;3.31;0.000000;0.004266;-999.000000;4145.2830
2019-02-21;24:00;242.00;71.17;727.50;6.42;347.84;0.000000;0.024176;-999.000000;4343.8210
2019-02-22;24:00;239.61;70.13;727.49;5.28;18.72;0.000000;0.053210;-999.000000;4066.8300
2019-02-23;24:00;245.53;75.63;732.93;9.26;352.17;0.000000;0.419248;-999.000000;3165.4020
2019-02-24;24:00;241.37;64.23;734.28;7.59;36.22;0.000000;0.015047;-999.000000;4026.3950
2019-02-25;24:00;239.15;65.61;731.27;6.17;9.78;0.000000;0.021538;-999.000000;3747.4950
2019-02-26;24:00;238.72;70.91;733.48;5.39;353.49;0.000000;0.136705;-999.000000;3406.6590
2019-02-27;24:00;238.55;65.67;734.33;4.68;28.71;0.000000;0.054769;-999.000000;3543.3770
2019-02-28;24:00;236.21;67.43;725.35;5.71;3.99;0.000000;0.009166;-999.000000;3536.3350
2019-03-01;24:00;235.37;65.31;721.63;6.00;358.87;0.000000;0.109504;-999.000000;2960.4260
2019-03-02;24:00;239.49;68.83;722.52;4.72;350.05;0.000000;0.327995;-999.000000;2337.4080
2019-03-03;24:00;236.93;62.48;721.28;6.00;18.34;0.000000;0.041051;-999.000000;2811.9900
2019-03-04;24:00;234.50;57.23;724.45;6.72;16.56;0.000000;0.015428;-999.000000;2959.1570
2019-03-05;24:00;233.91;61.04;725.71;5.86;15.98;0.000000;0.080024;-999.000000;2601.3840
2019-03-06;24:00;232.36;60.95;728.89;6.73;9.12;0.000000;0.033098;-999.000000;2695.2810
2019-03-07;24:00;242.02;69.56;733.87;6.49;6.82;0.000000;0.729140;-999.000000;1699.4320
2019-03-08;24:00;240.58;63.63;731.21;9.64;33.85;0.000000;0.046916;-999.000000;2116.3750
2019-03-09;24:00;235.26;58.08;727.63;11.15;41.29;0.000000;0.001512;-999.000000;2329.6940
2019-03-10;24:00;228.63;52.71;725.16;10.53;53.29;0.000000;0.000005;-999.000000;2377.5820
