# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-18.313
# Site longitude (positive means East);138.516
# Site altitude (m);104
# Date beginning;2019-01-01
# Date end;2021-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2019-01-01;24:00;306.66;29.74;989.21;3.58;104.11;0.006837;0.000000;0.000000;8595.7570
2019-01-02;24:00;307.23;33.56;989.85;1.85;72.40;0.008323;0.000000;0.000000;8696.1770
2019-01-03;24:00;309.54;31.87;990.09;1.72;48.60;0.328775;0.000000;0.000000;8545.8690
2019-01-04;24:00;308.67;36.75;991.41;3.86;7.63;0.524678;0.000000;0.000000;7806.1360
2019-01-05;24:00;307.73;37.02;991.82;2.58;25.81;0.095028;0.000000;0.000000;8064.5720
2019-01-06;24:00;307.96;37.04;992.10;3.46;8.13;0.916448;0.000000;0.000000;8119.3320
2019-01-07;24:00;308.53;34.01;991.28;3.26;341.68;0.014019;0.000000;0.000000;8366.2350
2019-01-08;24:00;309.83;29.35;990.11;0.63;349.83;0.010867;0.000000;0.000000;8078.8760
2019-01-09;24:00;309.37;23.00;989.99;0.86;178.86;0.026598;0.000000;0.000000;8753.8970
2019-01-10;24:00;310.21;28.22;989.82;2.01;42.95;0.348334;0.000000;0.000000;8375.3610
2019-01-11;24:00;308.36;41.31;991.85;3.83;38.01;19.444792;0.000000;0.000000;6693.1290
2019-01-12;24:00;302.67;65.69;994.59;3.44;53.82;9.146167;0.000000;0.000000;3162.6320
2019-01-13;24:00;304.91;50.69;992.58;3.05;18.93;0.173231;0.000000;0.000000;5994.2760
2019-01-14;24:00;305.68;44.86;992.68;3.22;36.91;0.463370;0.000000;0.000000;5870.6390
2019-01-15;24:00;304.78;50.84;993.13;3.44;46.90;2.269739;0.000000;0.000000;5528.6980
2019-01-16;24:00;303.68;57.42;993.09;2.60;19.26;1.565878;0.000000;0.000000;5354.6480
2019-01-17;24:00;305.67;47.59;991.89;4.09;1.43;0.272983;0.000000;0.000000;7412.8280
