# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);39.906
# Site longitude (positive means East);116.391
# Site altitude (m);222
# Date beginning;2019-01-01
# Date end;2021-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2019-01-01;24:00;265.84;41.91;1019.17;3.69;338.13;0.000000;0.000000;0.000000;2389.2770
2019-01-02;24:00;267.79;40.16;1015.49;0.82;172.58;0.000000;0.000000;0.000000;2487.4160
2019-01-03;24:00;268.64;46.13;1014.62;1.57;345.78;0.000000;0.000000;0.000000;1739.7820
2019-01-04;24:00;266.95;29.14;1014.97;4.13;338.29;0.000000;0.000000;0.000000;2766.3190
2019-01-05;24:00;268.65;31.09;1013.48;0.54;151.38;0.000000;0.000001;0.000000;2247.4430
2019-01-06;24:00;268.08;46.26;1011.61;0.64;288.40;0.000000;0.000000;0.000000;2125.9830
2019-01-07;24:00;268.01;33.38;1014.01;3.78;336.25;0.000000;0.000000;0.000000;2105.6110
2019-01-08;24:00;267.64;29.25;1018.51;2.79;338.50;0.000000;0.000000;0.000000;2927.5700
2019-01-09;24:00;268.20;39.63;1010.32;1.58;230.58;0.000000;0.000000;0.000000;2520.4110
2019-01-10;24:00;272.15;43.89;1005.67;2.48;315.56;0.000000;0.000000;0.000000;2753.2050
2019-01-11;24:00;272.26;45.30;1003.83;0.53;341.15;0.000001;0.000000;0.000000;2169.0740
2019-01-12;24:00;272.07;46.26;1005.77;2.60;304.34;0.000000;0.000000;0.000000;2366.8110
2019-01-13;24:00;272.13;40.17;1008.36;0.85;303.81;0.000000;0.000000;0.000000;2972.9290
