# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);52.517
# Site longitude (positive means East);13.389
# Site altitude (m);49
# Date beginning;2019-01-01
# Date end;2021-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2019-01-01;24:00;278.65;85.20;1009.29;10.36;279.41;2.215512;0.000000;0.000000;425.6031
2019-01-02;24:00;273.73;70.35;1016.56;8.00;333.51;0.252759;0.000071;0.000000;901.2187
2019-01-03;24:00;271.35;88.95;1025.61;4.69;327.15;0.145513;0.283176;0.000431;599.6820
2019-01-04;24:00;273.83;95.32;1019.75;5.22;273.80;1.035711;0.558368;0.001678;105.6017
2019-01-05;24:00;277.20;94.53;1013.01;4.53;326.75;3.545524;0.024571;0.001068;582.1570
2019-01-06;24:00;273.15;89.74;1020.76;2.44;341.95;0.057535;0.044661;0.001002;824.0151
2019-01-07;24:00;275.10;96.77;1017.48;3.54;237.34;5.919594;0.032325;0.001060;162.0565
2019-01-08;24:00;276.96;91.72;993.37;8.25;269.50;10.353389;0.016894;0.000338;186.8517
2019-01-09;24:00;274.52;92.32;999.95;8.06;344.23;4.650558;0.366038;0.001249;283.9598
2019-01-10;24:00;272.67;89.83;1015.04;4.14;347.28;0.169375;0.092863;0.001843;927.4834
2019-01-11;24:00;274.25;94.64;1009.00;4.97;262.77;1.069590;2.402686;0.007961;123.8435
