# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-10.333
# Site longitude (positive means East);-53.200
# Site altitude (m);308
# Date beginning;2019-01-01
# Date end;2021-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2019-01-01;24:00;297.13;89.76;975.71;0.65;57.67;8.757284;0.000000;0.000000;3742.6580
2019-01-02;24:00;298.15;86.70;975.92;0.76;119.80;4.903042;0.000000;0.000000;6773.7240
2019-01-03;24:00;299.09;87.10;974.51;0.69;87.19;5.171458;0.000000;0.000000;6638.5390
2019-01-04;24:00;299.07;90.73;975.13;0.50;48.84;11.440325;0.000000;0.000000;5340.8690
2019-01-05;24:00;298.61;90.26;975.11;0.19;288.41;24.832199;0.000000;0.000000;4069.2850
2019-01-06;24:00;298.10;86.57;975.40;0.55;82.04;4.509482;0.000000;0.000000;6572.6040
2019-01-07;24:00;297.73;84.04;975.91;0.69;26.81;4.510062;0.000000;0.000000;6327.5960
2019-01-08;24:00;298.40;82.69;976.16;0.07;106.52;4.721360;0.000000;0.000000;7487.5320
2019-01-09;24:00;298.66;84.14;974.44;0.66;76.82;3.910054;0.000000;0.000000;7324.4850
2019-01-10;24:00;298.74;82.88;974.47;0.32;83.48;6.443449;0.000000;0.000000;6206.3100
2019-01-11;24:00;296.61;92.16;977.00;0.34;4.53;17.988156;0.000000;0.000000;3549.9090
