# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-25.746
# Site longitude (positive means East);28.188
# Site altitude (m);1199
# Date beginning;2019-01-01
# Date end;2021-12-31
# Time reference (hour);UT
# Summarization (period of integration);Day (d)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2019-01-01;24:00;291.14;88.56;867.50;1.65;77.64;45.378900;0.000000;0.000000;2488.3280
2019-01-02;24:00;293.87;76.50;865.86;1.54;43.37;5.847599;0.000000;0.000000;6981.6070
2019-01-03;24:00;293.52;72.55;866.78;3.23;63.79;1.299587;0.000000;0.000000;8213.2640
2019-01-04;24:00;294.15;69.69;865.70;1.81;348.08;0.470625;0.000000;0.000000;8702.8520
2019-01-05;24:00;296.10;62.63;863.03;2.51;279.37;0.361724;0.000000;0.000000;7705.7920
2019-01-06;24:00;295.84;66.28;862.31;1.23;41.36;0.200778;0.000000;0.000000;8991.8550
2019-01-07;24:00;293.71;76.36;862.83;1.72;356.59;2.230557;0.000000;0.000000;6512.7020
2019-01-08;24:00;295.49;69.60;859.69;1.80;300.37;1.070858;0.000000;0.000000;8401.8020
2019-01-09;24:00;296.97;57.91;860.32;0.92;309.21;0.401161;0.000000;0.000000;8831.8050
2019-01-10;24:00;296.96;65.30;860.44;2.22;350.11;0.787964;0.000000;0.000000;8263.3120
2019-01-11;24:00;298.45;56.57;859.67;2.75;316.64;0.095905;0.000000;0.000000;8887.7590
2019-01-12;24:00;299.52;49.61;859.83;0.54;289.65;0.048665;0.000000;0.000000;9007.3520
2019-01-13;24:00;298.81;59.59;861.51;2.13;322.77;0.371561;0.000000;0.000000;7453.1310
2019-01-14;24:00;298.50;62.28;862.61;1.64;15.04;1.819154;0.000000;0.000000;6995.0160
2019-01-15;24:00;296.82;71.13;862.49;1.23;338.10;2.879706;0.000000;0.000000;4452.9820
2019-01-16;24:00;297.21;61.28;863.06;2.57;111.36;0.278304;0.000000;0.000000;7307.2490
2019-01-17;24:00;296.98;62.05;862.87;0.76;114.04;0.756077;0.000000;0.000000;8144.8460
2019-01-18;24:00;298.43;54.61;860.92;1.36;282.93;0.100535;0.000000;0.000000;8866.1790
2019-01-19;24:00;297.74;38.22;861.97;3.21;182.76;0.412701;0.000000;0.000000;8102.9950
2019-01-20;24:00;293.64;52.34;868.28;4.19;103.69;0.149361;0.000000;0.000000;8855.7820
2019-01-21;24:00;294.51;40.63;867.48;2.04;89.14;0.000019;0.000000;0.000000;9236.0640
2019-01-22;24:00;297.57;29.75;863.82;0.84;122.27;0.000000;0.000000;0.000000;9248.8450
2019-01-23;24:00;298.70;35.15;861.66;0.62;311.36;0.000056;0.000000;0.000000;9028.4770
2019-01-24;24:00;298.85;42.70;862.14;3.37;40.93;0.000714;0.000000;0.000000;8919.2100
