Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI
2019-01-01,250.2,69.3,721.22,6.02,5.47,0.0,0.007242,-999.0,10423.92,1622.0563,1407.2023,1191.7396,215.4626,3025.813
2019-01-02,251.77,74.82,722.26,4.04,350.36,0.0,0.129556,-999.0,9698.985,1616.3458,1387.6336,1177.6654,209.9681,3004.2117
2019-01-03,250.19,73.11,720.36,5.43,5.95,0.0,0.001918,-999.0,10274.5,1610.107,1396.4022,1199.5291,196.8731,3071.5696
2019-01-04,251.94,74.1,723.16,3.97,357.63,0.0,0.145493,-999.0,9466.738,1603.3422,1371.889,1151.9194,219.9696,2957.189
2019-01-05,250.09,71.83,722.6,3.39,14.33,0.0,0.000839,-999.0,10224.74,1596.0537,1376.3911,1171.3848,205.0064,3022.6921
2019-01-06,248.79,72.1,722.91,3.81,12.0,0.0,0.000376,-999.0,10167.88,1588.2443,1372.7954,1175.7454,197.05,3051.0906
2019-01-07,249.78,74.36,725.57,3.67,351.38,0.0,0.14137,-999.0,9527.224,1579.9169,1357.9578,1149.9929,207.9649,2986.1326
2019-01-08,250.53,69.54,727.54,2.18,7.87,0.0,0.186873,-999.0,9192.197,1571.0746,1322.0389,1061.6204,260.4187,2763.9133
2019-01-09,248.92,68.55,725.25,4.76,20.44,0.0,2.7000000000000002e-05,-999.0,9983.289,1561.7211,1340.642,1124.5637,216.0782,2952.3828
2019-01-10,249.68,70.69,727.23,6.62,16.56,0.0,7.8e-05,-999.0,9923.214,1551.8597,1342.0398,1155.5775,186.4623,3060.418
2019-01-11,249.91,70.6,729.67,6.26,26.4,0.0,0.00014,-999.0,9843.487,1541.4945,1326.882,1133.2863,193.5957,3020.1274
2019-01-12,250.99,71.92,726.84,7.67,26.34,0.0,0.0012929999999999999,-999.0,9680.765,1530.6295,1310.8562,1130.4954,180.3608,3032.0798
2019-01-13,253.2,73.51,733.02,5.46,5.47,0.0,0.128049,-999.0,8849.933,1519.2689,1294.9712,1118.8171,176.154,3017.3113
2019-01-14,251.66,70.89,728.56,5.57,42.9,0.0,0.000665,-999.0,9524.381,1507.4172,1288.3882,1100.3799,188.0082,3003.6768
2019-01-15,251.63,73.32,723.8,6.6,1.93,0.0,0.153369,-999.0,8701.802,1495.079,1258.5709,1033.6872,224.8836,2824.5181
2019-01-16,249.84,73.53,728.79,4.38,9.04,0.0,0.038779,-999.0,9146.29,1482.2589,1249.1916,1025.6178,223.5739,2799.6604
2019-01-17,248.34,72.48,731.75,4.57,12.21,0.0,0.073674,-999.0,8814.03,1468.9618,1245.3842,1051.495,193.8892,2910.6338
