Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI
2019-01-01,265.84,41.91,1019.17,3.69,338.13,0.0,0.0,0.0,2389.277,479.8845,296.8309,173.747,123.0839,487.3932
2019-01-02,267.79,40.16,1015.49,0.82,172.58,0.0,0.0,0.0,2487.416,481.8538,277.2014,142.6121,134.5893,395.5235
2019-01-03,268.64,46.13,1014.62,1.57,345.78,0.0,0.0,0.0,1739.782,483.997,159.5892,31.7812,127.8081,86.2013
2019-01-04,266.95,29.14,1014.97,4.13,338.29,0.0,0.0,0.0,2766.319,486.3134,325.2408,210.238,115.0029,590.7346
2019-01-05,268.65,31.09,1013.48,0.54,151.38,0.0,1e-06,0.0,2247.443,488.8023,334.7802,239.5506,95.2296,674.6107
2019-01-06,268.08,46.26,1011.61,0.64,288.4,0.0,0.0,0.0,2125.983,491.4586,224.1638,71.7744,152.3895,191.9976
2019-01-07,268.01,33.38,1014.01,3.78,336.25,0.0,0.0,0.0,2105.611,494.29,282.4435,139.2902,143.1534,383.9311
2019-01-08,267.64,29.25,1018.51,2.79,338.5,0.0,0.0,0.0,2927.57,497.295,377.3279,300.5635,76.7644,862.5014
2019-01-09,268.2,39.63,1010.32,1.58,230.58,0.0,0.0,0.0,2520.411,500.4647,268.7689,119.5083,149.2606,318.8672
2019-01-10,272.15,43.89,1005.67,2.48,315.56,0.0,0.0,0.0,2753.205,503.8009,295.6087,155.0001,140.6086,411.9246
2019-01-11,272.26,45.3,1003.83,0.53,341.15,1e-06,0.0,0.0,2169.074,507.3022,254.1677,97.2085,156.9592,255.9311
2019-01-12,272.07,46.26,1005.77,2.6,304.34,0.0,0.0,0.0,2366.811,510.9667,245.865,86.307,159.558,226.6849
2019-01-13,272.13,40.17,1008.36,0.85,303.81,0.0,0.0,0.0,2972.929,514.8042,356.9348,245.1093,111.8255,661.2591
2019-01-14,270.6,33.14,1011.39,5.98,331.74,0.0,1e-06,0.0,2543.702,518.7935,256.9757,96.3008,160.6748,255.2884
2019-01-15,265.05,26.37,1015.25,4.31,323.02,0.0,0.0,0.0,3153.315,522.9453,412.4786,343.9801,68.4985,960.2638
2019-01-16,268.28,27.38,1006.85,4.04,298.29,0.0,0.0,0.0,3101.793,527.2521,378.8843,274.1307,104.7536,746.2983
2019-01-17,271.68,29.94,1005.98,1.69,274.7,0.0,0.0,0.0,3104.452,531.7127,381.0,279.8523,101.1476,750.4217
2019-01-18,272.47,34.63,1006.31,3.08,338.0,0.0,1e-06,0.0,1613.686,536.3328,313.2812,160.5076,152.7736,410.5796
2019-01-19,271.75,35.1,1010.45,3.19,342.36,1e-06,1e-06,0.0,1918.045,541.0987,350.6321,220.211,130.4212,568.9847
2019-01-20,271.02,29.4,1009.87,5.31,306.17,0.0,0.0,0.0,3229.653,546.0205,401.7877,310.5516,91.2361,830.6491
2019-01-21,272.51,31.67,1002.71,5.16,303.5,0.0,0.0,0.0,3200.008,551.0917,410.6137,324.0207,86.593,863.3276
2019-01-22,273.92,31.88,1001.73,4.9,323.78,0.0,0.0,0.0,3174.385,556.3032,398.0952,294.3698,103.7254,766.1912
2019-01-23,273.47,53.64,1006.45,1.1,98.67,1e-06,0.06805900000000001,0.0,3141.715,561.6626,393.2252,284.0557,109.1695,727.0789
2019-01-24,272.44,47.58,1010.76,2.62,18.89,0.0,0.000196,0.0,2526.327,567.1623,309.5001,138.3023,171.1978,344.1612
2019-01-25,270.37,27.91,1018.44,4.2,343.98,0.0,0.0,0.0,3364.077,572.7972,441.3362,359.9929,81.3434,939.3992
2019-01-26,271.13,35.01,1011.17,1.74,203.43,0.0,0.00037400000000000004,0.0,2937.355,578.5736,366.9031,218.7505,148.1527,535.5082
2019-01-27,271.9,30.69,1006.77,4.29,325.98,0.0,1e-06,0.0,2184.504,584.4891,332.5711,162.3012,170.27,401.091
2019-01-28,272.54,30.41,1007.21,1.54,232.72,0.0,0.0,0.0,3453.699,590.5322,440.7088,340.2898,100.419,847.606
2019-01-29,274.48,36.18,1005.16,0.63,330.44,0.0,0.0,0.0,2788.919,596.7041,328.2247,152.9026,175.3221,360.2118
2019-01-30,270.06,20.3,1014.52,4.95,357.51,1.3000000000000001e-05,1.9e-05,0.0,1727.007,602.998,391.9929,235.9253,156.0675,574.9395
2019-01-31,267.54,25.66,1008.24,3.86,290.54,0.0,0.0,0.0,2871.352,609.4206,439.4384,316.1813,123.257,782.4906
2019-02-01,271.31,35.35,997.08,2.22,208.4,0.0,0.0,0.0,3444.054,615.97,446.0063,323.4161,122.5902,779.2052
2019-02-02,272.57,49.64,995.77,1.81,349.25,4e-06,0.0,0.0,2817.662,622.6329,297.086,97.542,199.5441,222.3338
2019-02-03,272.04,28.13,1004.77,3.4,336.12,1.2e-05,1e-06,0.0,3346.43,629.4106,366.7369,159.8859,206.851,366.9486
2019-02-04,271.28,39.66,1000.27,1.16,75.53,0.0,0.0,0.0,3116.443,636.3001,318.6024,119.9732,198.6293,264.223
2019-02-05,269.68,46.54,998.96,2.83,113.05,0.0,0.0011300000000000001,0.0,3449.811,643.3032,296.0618,93.2958,202.7661,205.7871
2019-02-06,267.3,33.52,1007.89,2.32,2.03,2e-05,0.009575,5e-06,3430.076,650.4088,287.4447,86.1645,201.2801,205.2135
2019-02-07,265.81,22.71,1014.68,1.95,11.78,0.0,0.000589,0.0,3675.099,657.6213,514.9401,426.5427,88.3974,999.4216
2019-02-08,265.67,28.34,1012.26,0.88,352.81,0.0,5e-05,0.0,2935.963,664.9291,384.3312,191.6214,192.7097,433.1255
2019-02-09,266.65,27.13,1017.03,1.28,353.12,0.0,7.000000000000001e-06,0.0,3378.516,672.3325,496.3294,381.9604,114.369,867.0016
2019-02-10,266.09,38.99,1012.5,1.7,193.52,0.0,0.002768,0.0,1926.14,679.8339,393.0082,200.505,192.5031,433.1952
2019-02-11,268.94,31.06,1014.05,2.99,27.42,0.0,0.040541,0.0,3453.74,687.4205,393.0112,198.4812,194.53,418.4062
2019-02-12,265.91,55.43,1018.23,1.98,69.44,0.0,0.538072,0.000735,1541.976,695.0928,307.0228,93.5436,213.4792,193.2601
2019-02-13,267.77,40.82,1017.36,1.2,105.74,0.0,0.10353599999999999,0.000566,3846.76,702.8528,360.3966,142.2825,218.1141,297.3019
2019-02-14,265.96,68.01,1010.32,0.85,256.07,0.0,2.999578,0.003019,954.8991,710.6882,388.7013,169.9255,218.7758,365.2732
2019-02-15,267.46,30.02,1012.15,6.15,331.55,0.0,0.0,0.002803,4230.61,718.6042,521.4847,387.2037,134.281,859.5866
2019-02-16,268.61,30.12,1012.63,5.11,333.38,0.0,0.0,0.002306,4465.008,726.5889,567.5471,467.5435,100.0036,1039.4724
2019-02-17,271.95,29.78,1007.5,1.85,318.45,0.0,0.0,0.001495,4369.987,734.6491,536.5131,407.8619,128.6512,867.5283
2019-02-18,272.12,50.58,1002.3,1.02,190.3,0.1008,0.6400100000000001,0.002541,1360.539,742.7706,420.2016,203.6329,216.5687,406.6938
2019-02-19,271.66,45.0,1004.44,3.32,320.96,0.010112999999999999,0.033466,0.005155,2982.992,750.9542,360.1028,123.0709,237.0319,265.2129
2019-02-20,273.55,31.61,1010.25,1.44,331.76,0.0,0.0,0.002898,4350.299,759.2028,503.3498,322.0398,181.31,654.0086
2019-02-21,275.68,33.95,1007.21,0.54,304.6,0.0,0.0,0.0013830000000000001,4375.012,767.5092,462.6125,245.9498,216.6626,489.8736
2019-02-22,277.45,33.06,1008.21,1.32,24.37,0.0,0.0,0.0007599999999999999,2462.3,775.8691,427.3015,193.2194,234.082,381.6178
2019-02-23,276.83,38.57,1005.51,0.66,203.07,0.0,0.0,0.000359,3988.623,784.2761,437.2788,201.6684,235.6104,392.6875
2019-02-24,278.22,33.19,1005.28,2.34,35.44,1e-05,0.0,0.00011399999999999999,4232.226,792.7283,463.4314,233.2778,230.1536,451.1438
2019-02-25,276.37,36.83,1007.33,1.12,129.44,4.2e-05,1e-06,1.6e-05,3415.3,801.2307,370.6996,113.6378,257.0617,211.7404
2019-02-26,275.9,39.71,1006.48,1.48,129.36,0.0008619999999999999,0.00046699999999999997,0.0,2729.159,809.7678,307.0702,66.8666,240.2036,126.3055
2019-02-27,277.56,37.54,1001.65,1.59,323.74,0.0,0.0,0.0,4358.953,818.3474,434.5624,177.4815,257.081,332.9588
2019-02-28,278.54,39.63,1001.75,0.8,218.0,0.0,0.0,0.0,4402.498,826.9606,398.7405,138.8485,259.892,256.9796
2019-03-01,279.07,47.74,1002.37,1.16,213.26,0.0,0.0,0.0,4027.5,835.6058,382.1625,119.8018,262.3608,219.4412
2019-03-02,280.12,41.61,996.65,2.42,212.54,0.0,0.0,0.0,4004.447,844.2733,422.7286,155.7268,267.0019,284.9933
2019-03-03,279.34,44.92,993.73,0.93,228.17,0.0,0.0,0.0,3350.633,852.9696,382.1935,106.6578,275.5357,196.4228
2019-03-04,281.8,32.56,996.63,0.14,46.3,0.0017050000000000001,0.0,0.0,4708.726,861.6815,493.489,237.1415,256.3475,426.7623
2019-03-05,281.21,25.44,1001.64,6.32,336.54,2.4e-05,0.0,0.0,5030.668,870.4157,620.3123,453.9998,166.3125,898.6684
2019-03-06,276.34,28.87,1009.81,4.61,3.23,0.000357,0.0,0.0,5036.579,879.1583,674.9097,566.1038,108.806,1114.9581
2019-03-07,277.72,24.66,1005.25,2.06,212.69,0.0,0.0,0.0,5304.769,887.9172,676.154,545.1826,130.9715,1023.7695
2019-03-08,279.88,32.4,999.83,2.97,194.35,9e-05,0.0,0.0,4207.508,896.6769,550.5998,302.3037,248.2961,537.5133
2019-03-09,277.7,50.86,999.55,1.59,34.92,0.0074329999999999995,0.0,0.0,1538.098,905.4475,402.8732,98.9918,303.8814,172.7577
2019-03-10,277.84,55.94,996.06,0.43,312.03,0.056833,6e-06,1e-06,3837.543,914.217,408.9904,106.7688,302.2215,212.3972
2019-03-11,279.63,23.75,995.69,6.09,326.6,1e-06,0.0,0.0,5583.411,922.9804,696.1968,563.717,132.4798,1075.1602
2019-03-12,276.61,20.2,1000.55,5.04,316.63,0.0,0.0,0.0,5773.073,931.7476,717.6846,579.7712,137.9134,1085.6258
2019-03-13,280.1,24.8,1001.8,3.87,330.86,0.0,0.0,0.0,5683.157,940.4962,712.5425,582.7491,129.7934,1098.6487
2019-03-14,280.03,26.19,1003.0,4.48,328.7,0.0,0.0,0.0,5220.25,949.239,729.898,617.2154,112.6825,1162.5271
2019-03-15,279.53,29.38,1000.81,0.96,331.18,0.0,0.0,0.0,5736.521,957.9656,707.8766,558.0208,149.8558,994.6032
2019-03-16,282.63,30.6,1001.9,3.5,354.72,0.0,0.0,0.0,5619.072,966.6714,707.3409,546.4843,160.8566,999.2255
2019-03-17,285.12,28.87,997.69,3.46,209.37,0.0,0.0,0.0,5419.009,975.361,664.8088,450.3937,214.415,764.2018
2019-03-18,285.7,30.06,989.38,1.16,222.56,0.0,0.0,0.0,4774.601,984.0222,552.8795,233.541,319.3386,388.1274
2019-03-19,289.29,36.6,986.68,3.59,197.63,0.000389,0.0,0.0,4412.66,992.664,609.249,310.3564,298.8926,509.2119
2019-03-20,284.3,48.34,990.85,4.42,334.39,1.23189,0.0,0.0,2574.682,1001.2761,513.9643,167.0545,346.9099,332.4174
2019-03-21,277.57,23.5,1003.91,4.63,345.55,0.0,0.0,0.0,6268.167,1009.8536,797.7919,694.3402,103.4518,1235.1157
2019-03-22,279.32,21.44,1005.52,5.71,325.38,2e-06,0.0,0.0,6176.69,1018.4022,794.7111,675.602,119.109,1202.8108
2019-03-23,277.81,20.13,1004.31,2.41,252.21,0.0,0.0,0.0,6383.689,1026.9094,800.8422,666.4471,134.3951,1150.2098
2019-03-24,283.42,18.02,992.12,3.68,281.4,0.0,0.0,0.0,6213.762,1035.3857,751.2747,544.3118,206.9629,944.1929
2019-03-25,284.86,20.93,994.04,3.02,358.4,4.5e-05,0.0,0.0,6362.272,1043.8202,790.9457,643.9025,147.0432,1074.5933
2019-03-26,282.92,35.67,994.0,1.01,115.89,2.6000000000000002e-05,0.0,0.0,5403.04,1052.2073,659.1979,345.1198,314.0782,551.0952
2019-03-27,284.69,26.26,998.27,0.66,81.98,0.005448,0.0,1e-06,5197.88,1060.5549,697.6874,430.5944,267.093,664.497
2019-03-28,277.02,38.7,997.77,2.75,164.14,0.027714,0.0,2e-06,3370.38,1068.8538,619.2538,270.1637,349.0902,436.8225
2019-03-29,280.02,26.02,996.29,5.81,311.47,0.00543,0.0,0.0,4937.0,1077.1,727.8844,450.2167,277.6677,782.0181
2019-03-30,277.06,21.74,1003.82,5.84,334.08,1e-06,0.0,0.0,6281.943,1085.2983,828.5578,648.6802,179.8776,1130.5432
2019-03-31,281.28,21.2,1003.56,3.49,340.21,0.0,0.0,0.0,6394.194,1093.4375,848.2875,704.8594,143.428,1201.3407
2019-04-01,282.19,23.28,1003.27,1.47,163.75,0.0,0.0,0.0,6514.069,1101.5262,822.5409,661.7762,160.7648,1064.6539
2019-04-02,282.41,25.91,1006.2,1.33,72.04,1e-06,0.0,0.0,6531.582,1109.555,825.0878,646.8677,178.22,1043.9982
2019-04-03,285.41,22.82,999.73,2.36,224.92,0.0,0.0,0.0,6203.458,1117.52,746.8356,464.7225,282.1132,741.684
2019-04-04,290.94,17.1,991.53,3.65,320.11,0.0,0.0,0.0,6427.059,1125.426,775.64,506.136,269.504,795.9786
2019-04-05,285.9,19.56,991.6,2.71,130.17,0.0,0.0,0.0,6163.47,1133.2624,700.9135,360.5716,340.342,554.9493
2019-04-06,284.89,30.47,993.44,2.05,127.49,9e-06,0.0,0.0,5118.574,1141.0372,764.413,473.4488,290.9642,737.6869
2019-04-07,284.31,28.02,994.35,2.15,117.46,0.000518,0.0,0.0,5914.228,1148.7372,751.1351,438.4464,312.6887,659.3431
2019-04-08,283.58,27.85,1000.61,2.45,134.82,2.81903,0.0,0.000397,5363.775,1156.3727,723.1291,375.3439,347.7852,568.703
2019-04-09,279.72,52.37,1001.58,2.51,4.33,0.248808,0.0,0.0015199999999999999,4430.234,1163.9336,771.3173,459.2541,312.0631,713.5466
2019-04-10,285.33,30.0,997.49,0.57,313.99,0.000437,0.0,0.000293,6523.802,1171.4171,840.8285,615.1115,225.7169,938.6033
