Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI
2019-01-01,297.13,89.76,975.71,0.65,57.67,8.757284,0.0,0.0,3742.658,1369.5096,950.9763,733.0616,217.9147,1003.4861
2019-01-02,298.15,86.7,975.92,0.76,119.8,4.903042,0.0,0.0,6773.724,1369.7593,984.5371,831.6747,152.8624,1175.832
2019-01-03,299.09,87.1,974.51,0.69,87.19,5.171458,0.0,0.0,6638.539,1370.0065,987.7206,842.6868,145.0338,1189.5042
2019-01-04,299.07,90.73,975.13,0.5,48.84,11.440325,0.0,0.0,5340.869,1370.2604,984.5824,821.2684,163.314,1149.1279
2019-01-05,298.61,90.26,975.11,0.19,288.41,24.832199,0.0,0.0,4069.285,1370.5162,964.7288,761.3052,203.4236,1050.3846
2019-01-06,298.1,86.57,975.4,0.55,82.04,4.509482,0.0,0.0,6572.604,1370.7627,975.3074,802.8607,172.4467,1124.9393
2019-01-07,297.73,84.04,975.91,0.69,26.81,4.5100620000000005,0.0,0.0,6327.596,1371.0222,975.1705,804.5591,170.6114,1121.2319
2019-01-08,298.4,82.69,976.16,0.07,106.52,4.72136,0.0,0.0,7487.532,1371.2655,994.1455,845.9604,148.1851,1195.8336
2019-01-09,298.66,84.14,974.44,0.66,76.82,3.910054,0.0,0.0,7324.485,1371.5093,1011.0746,882.767,128.3076,1257.803
2019-01-10,298.74,82.88,974.47,0.32,83.48,6.443449,0.0,0.0,6206.31,1371.7488,1000.3954,859.2668,141.1286,1213.1613
2019-01-11,296.61,92.16,977.0,0.34,4.53,17.988156,0.0,0.0,3549.909,1371.9806,976.8801,795.9732,180.9069,1101.5088
2019-01-12,296.29,89.84,976.7,0.28,186.22,5.6826,0.0,0.0,4548.912,1372.1981,985.6082,820.9729,164.6352,1148.9539
2019-01-13,297.44,86.51,976.03,0.55,158.63,4.090424,0.0,0.0,6945.58,1372.4094,988.2705,823.8663,164.4042,1151.6744
2019-01-14,297.2,88.85,976.77,0.69,127.77,6.809533,0.0,0.0,5778.715,1372.6119,970.9972,763.8576,207.1396,1048.1266
2019-01-15,297.5,86.38,976.86,0.89,57.98,2.9224650000000003,0.0,0.0,7262.649,1372.7994,988.068,817.9949,170.0731,1143.2706
2019-01-16,298.18,84.18,977.25,0.57,69.18,1.751738,0.0,0.0,6983.31,1372.9678,962.491,733.7496,228.7414,999.7494
2019-01-17,298.25,90.1,976.57,0.67,139.39,3.496093,0.0,0.0,3571.421,1373.1232,1002.4934,864.0282,138.4651,1218.6399
2019-01-18,298.0,91.86,975.88,0.78,132.64,6.636153999999999,0.0,0.0,3699.235,1373.2564,995.7997,845.4753,150.3243,1184.1606
2019-01-19,298.4,89.62,975.1,0.78,179.03,4.6135660000000005,0.0,0.0,5074.319,1373.3734,969.3148,770.7596,198.5552,1058.9962
2019-01-20,298.5,87.5,975.91,0.14,28.53,5.6785,0.0,0.0,6301.385,1373.4718,966.9886,763.0469,203.9417,1041.3784
2019-01-21,298.11,87.48,976.48,0.54,155.28,2.4809930000000002,0.0,0.0,5263.54,1373.5455,967.1926,757.4874,209.7052,1037.0612
2019-01-22,299.18,85.17,975.99,0.37,166.7,4.774522,0.0,0.0,5344.915,1373.5894,987.4797,827.8919,159.5878,1158.8404
2019-01-23,299.66,83.71,975.16,0.12,202.31,3.127735,0.0,0.0,5631.745,1373.6117,994.9399,832.5357,162.4042,1156.6242
2019-01-24,298.42,89.18,974.99,0.58,21.84,5.477755999999999,0.0,0.0,3796.124,1373.5997,985.4428,808.193,177.2498,1117.6228
2019-01-25,298.52,85.53,975.28,0.44,350.26,4.997801,0.0,0.0,5697.072,1373.564,973.9693,762.9555,211.0138,1046.2186
2019-01-26,298.09,88.88,975.77,0.52,36.49,6.820139,0.0,0.0,5454.829,1373.489,972.6204,773.3436,199.2768,1058.3121
2019-01-27,297.2,90.32,975.41,0.69,69.91,2.732704,0.0,0.0,3909.673,1373.3884,987.3592,830.127,157.2322,1149.7411
2019-01-28,296.78,94.3,975.6,0.49,123.48,40.696596,0.0,0.0,2371.259,1373.2506,989.6054,843.4022,146.2032,1178.5642
2019-01-29,296.96,90.38,977.2,0.44,155.42,48.360996,0.0,0.0,3869.912,1373.0713,1004.2511,889.6796,114.5715,1254.003
2019-01-30,298.12,86.52,975.52,0.79,137.02,3.8178970000000003,0.0,0.0,7264.26,1372.8585,995.3406,850.713,144.6276,1179.215
2019-01-31,298.97,84.17,975.17,0.48,107.13,2.128964,0.0,0.0,6178.91,1372.5985,1013.5818,905.0242,108.5576,1281.3906
2019-02-01,299.38,82.96,974.94,0.22,358.72,9.050983,0.0,0.0,5349.024,1372.3042,1003.904,874.0543,129.8498,1217.1642
2019-02-02,298.49,86.3,975.9,0.31,330.87,61.434431999999994,0.0,0.0,4608.763,1371.9645,985.9626,821.5457,164.4169,1128.2454
2019-02-03,298.42,82.87,975.81,0.64,79.69,1.8606330000000002,0.0,0.0,6410.024,1371.5685,996.0253,840.2279,155.7973,1165.9691
2019-02-04,298.78,82.33,975.0,0.33,122.0,4.821941000000001,0.0,0.0,6222.418,1371.139,990.985,830.6838,160.3012,1151.9939
2019-02-05,298.5,84.95,974.99,0.57,75.88,3.4822349999999997,0.0,0.0,5609.396,1370.6597,992.3397,845.767,146.5727,1174.6762
2019-02-06,298.41,83.99,974.28,0.59,348.74,3.017431,0.0,0.0,7078.96,1370.1246,986.3482,831.6101,154.738,1153.8353
2019-02-07,298.78,88.01,973.27,0.81,14.17,5.449694,0.0,0.0,5677.725,1369.5449,997.1859,878.6184,118.5675,1230.6744
2019-02-08,298.34,90.92,972.84,0.27,0.46,8.058845,0.0,0.0,3864.974,1368.9109,962.9678,765.7232,197.2447,1039.72
2019-02-09,299.16,85.44,973.0,0.14,72.63,5.970924,0.0,0.0,5428.251,1368.2116,979.5786,822.7471,156.8314,1130.5967
2019-02-10,298.28,91.99,973.09,0.47,24.85,6.950375999999999,0.0,0.0,3089.858,1367.4711,976.9604,801.9602,175.0002,1100.1266
