Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI
2019-01-01,284.26,88.55,1004.12,3.91,261.85,3.8012040000000002,0.0,0.0,1616.62,502.6357,357.4187,296.2424,61.1763,848.2142
2019-01-02,277.6,87.61,1014.9,0.68,36.51,0.001532,0.0,0.0,1000.394,504.6891,347.6869,265.9804,81.7065,746.4722
2019-01-03,278.02,87.13,1007.46,1.54,276.85,1.0993620000000002,0.0,0.0,1328.674,506.9154,358.8463,288.8378,70.0085,814.9572
2019-01-04,276.26,89.85,1007.01,1.4,194.79,1.04445,0.0,0.0,896.4858,509.3136,329.2253,211.3072,117.9181,578.938
2019-01-05,279.39,91.57,993.35,2.46,314.68,11.778343,0.0,0.0,1171.52,511.8831,340.6702,249.1682,91.502,696.0534
2019-01-06,278.77,84.86,1006.58,4.17,293.68,0.00301,0.0,0.0,2821.366,514.6227,371.6645,304.441,67.2236,857.8901
2019-01-07,273.8,78.86,1019.71,1.72,52.88,7.900000000000001e-05,5e-06,0.0,1527.989,517.5314,364.5473,291.9514,72.5959,814.0508
2019-01-08,277.6,96.08,1007.71,3.29,183.7,0.334097,0.018956999999999998,0.0005549999999999999,2065.165,520.6077,359.9841,288.1083,71.8758,800.4646
2019-01-09,278.49,80.84,999.01,6.18,283.85,0.713123,0.000275,0.00020800000000000001,2188.875,523.8502,366.6881,284.3912,82.2968,788.6584
2019-01-10,271.77,70.81,1005.84,8.42,298.53,0.000762,0.007774,0.000121,2867.791,527.2574,391.2021,334.4515,56.7506,940.6152
2019-01-11,271.19,71.12,1016.05,5.62,317.84,1.9e-05,0.001994,0.00011100000000000001,3019.81,530.8276,388.5659,324.6826,63.8834,904.6376
2019-01-12,272.08,74.51,1023.01,1.05,96.3,0.181801,0.9356709999999999,0.00028700000000000004,1339.001,534.559,368.5677,278.4322,90.1356,751.9695
2019-01-13,271.28,88.78,1018.54,3.59,57.15,0.006595,19.403824,0.052845,822.8506,538.456,372.5244,296.5678,75.9566,794.7806
2019-01-14,270.6,82.1,1015.13,3.17,5.02,0.0,3.350823,0.101227,3105.918,542.5066,389.8299,324.5432,65.2867,881.6495
2019-01-15,269.4,85.47,1013.66,3.19,310.17,5.6000000000000006e-05,0.0046619999999999995,0.087785,2828.548,546.7127,397.6818,323.2057,74.4761,871.0778
2019-01-16,270.82,86.12,1012.29,3.1,282.45,0.025699,0.000338,0.06389500000000001,2903.83,551.0786,386.2757,293.1489,93.1268,771.5234
2019-01-17,272.23,84.58,1016.87,1.08,46.89,0.086866,0.190374,0.044281,1313.301,555.5924,386.5882,288.6596,97.9285,758.9719
2019-01-18,273.64,91.57,1010.5,0.57,133.34,0.195241,1.5580200000000002,0.045406,2139.652,560.2606,395.9683,317.8696,78.0987,835.8243
2019-01-19,273.63,94.31,1010.97,2.07,88.12,2.569273,0.529513,0.032034,940.4787,565.0737,377.8072,261.9672,115.84,667.2564
2019-01-20,275.27,95.69,992.38,4.09,288.58,33.348303,0.367169,0.025508000000000003,2620.838,570.0366,405.7584,333.971,71.7875,875.5935
2019-01-21,263.66,64.49,1014.3,9.97,310.92,0.0,0.01515,0.017275,3105.613,575.1387,460.8268,402.3415,58.4853,1080.8279
2019-01-22,265.09,70.89,1028.06,1.89,309.75,0.0,8.499999999999999e-05,0.016447,3309.68,580.3932,433.1123,365.974,67.1383,960.9279
2019-01-23,273.21,87.78,1017.54,4.87,179.69,0.067135,0.002707,0.014464,1411.901,585.7786,405.1366,305.6711,99.4655,773.5682
2019-01-24,281.19,95.21,995.34,4.01,222.49,33.962753,0.0,0.003346,1265.374,591.3071,406.4102,319.7996,86.6107,807.4634
2019-01-25,272.52,76.28,1007.63,4.44,289.05,0.00044500000000000003,0.001142,0.0008289999999999999,3252.043,596.9695,450.5908,381.3421,69.2488,987.5483
2019-01-26,272.07,67.16,1014.48,0.05,294.45,0.00324,0.00020299999999999997,0.000617,2422.731,602.7596,442.0135,362.0369,79.9766,913.9384
2019-01-27,273.76,82.48,1009.38,3.06,198.51,0.001531,1.1e-05,0.000381,2853.9,608.6854,444.8509,376.0565,68.7945,947.4154
2019-01-28,272.66,74.25,1008.5,2.44,10.33,7.5e-05,1e-06,0.000223,3547.542,614.7378,458.6827,386.1315,72.5512,970.6344
2019-01-29,272.51,89.68,1003.45,2.16,151.76,4.031723,3.6987879999999995,0.002329,733.0312,620.9204,431.9533,332.966,98.9874,816.7455
2019-01-30,268.19,73.89,1006.89,4.76,283.57,0.148143,0.274527,0.010855,2803.375,627.22,479.8956,407.2911,72.6045,1021.0914
2019-01-31,261.82,60.89,1020.19,3.74,290.6,0.0,3.1e-05,0.010102,3821.307,633.6343,493.1378,407.3396,85.7981,998.9106
2019-02-01,265.52,74.63,1020.1,1.61,46.32,0.0,3.5873839999999997,0.012831,1117.905,640.1697,456.7215,361.3486,95.3728,863.5908
